SampleID	run	experiment	waste	type	type_detail	waste_detail	Day	system	replicate	others	BSFL_detail	treatment_detail	Cluster	name
MG001	2a	4	wine	residue				open	1	residue			1	WWP
MG002	2a	4	wine	residue				open	2	residue			1	WWP
MG003	2a	4	wine	residue				open	4	residue			1	WWP
MG004	2a	4	wine	residue				closed	2	residue			2	WWP
MG005	2a	4	wine	residue				closed	3	residue			2	WWP
MG006	2a	4	wine	residue				closed	4	residue			2	WWP
MG007	2a	5	wine	residue	sterile inoculant			closed	2		R	o	1	WWP
MG008	2a	5	wine	residue	sterile inoculant			closed	3		R	o	1	WWP
MG009	2a	5	wine	residue	sterile inoculant			closed	4		R	o	1	WWP
MG010	2a	5	wine	residue	inoculant			closed	1		R	+	1	WWP
MG011	2a	5	wine	residue	inoculant			closed	2		R	+	1	WWP
MG012	2a	5	wine	residue	inoculant			closed	3		R	+	1	WWP
MG013	2a	5	wine	residue	sterile inoculant			open	1		R	o	1	WWP
MG014	2a	5	wine	residue	sterile inoculant			open	2		R	o	1	WWP
MG015	2a	5	wine	residue	sterile inoculant			open	4		R	o	1	WWP
MG016	2a	5	wine	residue	inoculant			open	1		R	+	1	WWP
MG017	2a	5	wine	residue	inoculant			open	2		R	+	1	WWP
MG018	2a	5	wine	residue	inoculant			open	4		R	+	1	WWP
MG019	2a	5	tomato	residue	sterile inoculant			closed	1		R	o	2	TP
MG020	2a	5	tomato	residue	sterile inoculant			closed	2		R	o	2	TP
MG021	2a	5	tomato	residue	sterile inoculant			closed	3		R	o	2	TP
MG022	2a	5	tomato	residue	inoculant			closed	1		R	+	2	TP
MG023	2a	5	tomato	residue	inoculant			closed	2		R	+	2	TP
MG024	2a	5	tomato	residue	inoculant			closed	3		R	+	2	TP
MG025	2a	5	tomato	residue	treatment_foodwaste			closed	1		R	+	2	TP
MG026	2a	5	tomato	residue	treatment_foodwaste			closed	2		R	+	2	TP
MG027	2a	5	tomato	residue	treatment_foodwaste			closed	3		R	+	2	TP
MG028	2a	5	tomato	residue	inoculant			open	1		R	+	2	TP
MG029	2a	5	tomato	residue	inoculant			open	2		R	+	2	TP
MG030	2a	5	tomato	residue	inoculant			open	3		R	+	2	TP
MG031	2a	5	tomato	residue	treatment_foodwaste			open	1		R	+	2	TP
MG032	2a	5	tomato	residue	treatment_foodwaste			open	2		R	+	2	TP
MG033	2a	5	tomato	residue	treatment_foodwaste			open	3		R	+	2	TP
MG034	2a	4	tomato	residue				closed	2	residue			3	TP
MG035	2a	4	tomato	residue				closed	3	residue			3	TP
MG036	2a	4	tomato	residue				closed	4	residue			3	TP
MG037	2a	4	tomato	residue				open	1	residue			3	TP
MG038	2a	4	tomato	residue				open	2	residue			3	TP
MG039	2a	4	tomato	residue				open	4	residue			3	TP
MG040	2a	4	foodwaste	residue				open	1	residue			4	DFW
MG041	2a	4	foodwaste	residue				open	2	residue			4	DFW
MG042	2a	4	foodwaste	residue				open	3	residue			4	DFW
MG043	2a	4	foodwaste	residue				closed	1	residue			5	DFW
MG044	2a	4	foodwaste	residue				closed	3	residue			5	DFW
MG045	2a	4	foodwaste	residue				closed	4	residue			5	DFW
MG046	2a	1	tomato	residue				closed	1	residue				TP
MG047	2a	1	tomato	residue				closed	2	residue				TP
MG048	2a	1	tomato	residue				closed	3	residue				TP
MG049	2a	1	wine	residue				closed	1	residue				WWP
MG050	2a	1	wine	residue				closed	2	residue				WWP
MG051	2a	1	wine	residue				closed	3	residue				WWP
MG052	2a		foodwaste	waste				open_closed	1	waste				DFW
MG053	2a		foodwaste	waste				open_closed	2	waste				DFW
MG054	2a		tomato	waste				open_closed	1	waste				TP
MG055	2a		tomato	waste				open_closed	2	waste				TP
MG056	2a		wine	waste				open_closed	1	waste				WWP
MG057	2a		wine	waste				open_closed	2	waste				WWP
MG058	2a	5	wine	inoculant				open	1	inoculant				WWP
MG059	2a	5	wine	inoculant				closed	1	inoculant				WWP
MG060	2a	3	fly	inoculant					1	inoculant				
MG061	2a	3	wine	inoculant				closed	1	inoculant				WWP
MG062	2a	3	tomato	inoculant				closed	1	inoculant				TP
MG063	2a	5	tomato	inoculant				closed	1	inoculant				TP
MG064	2a	5	foodwaste	inoculant				open	1	inoculant				DFW
MG065	2a	4	tomato	larvae				open	1				2	TP
MG066	2a	4	tomato	larvae				open	2				2	TP
MG067	2a	4	tomato	larvae				open	3				2	TP
MG068	2a	4	foodwaste	larvae				open	2				3	DFW
MG069	2a	4	foodwaste	larvae				open	3				3	DFW
MG070	2a	4	foodwaste	larvae				open	4				3	DFW
MG071	2a	4	tomato	larvae				closed	2				2	TP
MG072	2a	4	tomato	larvae				closed	3				2	TP
MG073	2a	4	tomato	larvae				closed	4				2	TP
MG074	2a	4	foodwaste	larvae				closed	1				4	DFW
MG075	2a	4	foodwaste	larvae				closed	3				4	DFW
MG076	2a	4	foodwaste	larvae				closed	4				4	DFW
MG077	2a	5	tomato	larvae	sterile inoculant			closed	1		L	o	2	TP
MG078	2a	5	tomato	larvae	sterile inoculant			closed	2		L	o	2	TP
MG079	2a	5	tomato	larvae	sterile inoculant			closed	3		L	o	2	TP
MG080	2a	5	tomato	larvae	inoculant			closed	1		L	+	2	TP
MG081	2a	5	tomato	larvae	inoculant			closed	2		L	+	2	TP
MG082	2a	5	tomato	larvae	inoculant			closed	3		L	+	2	TP
MG083	2a	5	tomato	larvae	treatment_foodwaste			closed	1		L	+	2	TP
MG084	2a	5	tomato	larvae	treatment_foodwaste			closed	2		L	+	2	TP
MG085	2a	5	tomato	larvae	treatment_foodwaste			closed	3		L	+	2	TP
MG086	2a	5	tomato	larvae	inoculant			open	1		L	+	2	TP
MG087	2a	5	tomato	larvae	inoculant			open	2		L	+	2	TP
MG088	2a	5	tomato	larvae	inoculant			open	3		L	+	2	TP
MG089	2a	5	tomato	larvae	treatment_foodwaste			open	1		L	+	2	TP
MG090	2a	5	tomato	larvae	treatment_foodwaste			open	2		L	+	2	TP
MG091	2a	5	tomato	larvae	treatment_foodwaste			open	3		L	+	2	TP
MG092	2a	4	wine	larvae				closed	1				1	WWP
MG093	2a	4	wine	larvae				closed	2				1	WWP
MG094	2a	4	wine	larvae				closed	3				1	WWP
Blank1a	2a		blank	lib_prep_blank					1					
Blank2a	2a		blank	lib_prep_blank					2					
MG095	2a	4	wine	larvae				open	2				1	WWP
MG096	2a	4	wine	larvae				open	3				1	WWP
MG097	2a	4	wine	larvae				open	4				1	WWP
MG098	2a	5	wine	larvae	sterile inoculant			closed	1		L	o	1	WWP
MG099	2a	5	wine	larvae	sterile inoculant			closed	3		L	o	1	WWP
MG100	2a	5	wine	larvae	sterile inoculant			closed	4		L	o	1	WWP
MG101	2a	5	wine	larvae	inoculant			closed	2		L	+	1	WWP
MG102	2a	5	wine	larvae	inoculant			closed	3		L	+	1	WWP
MG103	2a	5	wine	larvae	inoculant			closed	4		L	+	1	WWP
MG104	2a	5	wine	larvae	sterile inoculant			open	1		L	o	1	WWP
MG105	2a	5	wine	larvae	sterile inoculant			open	2		L	o	1	WWP
MG106	2a	5	wine	larvae	sterile inoculant			open	3		L	o	1	WWP
MG107	2a	5	wine	larvae	inoculant			open	1		L	+	1	WWP
MG108	2a	5	wine	larvae	inoculant			open	3		L	+	1	WWP
MG109	2a	5	wine	larvae	inoculant			open	4		L	+	1	WWP
MG110	2a	5	5DOL	5DOL					1	5DOL				
MG111	2a	4	5DOL	5DOL					2	5DOL				
KitBlank	2a		blank	extraction_blank					1					
MG004-redo	2b	4	wine	residue				closed	2	residue			2	WWP
MG010-redo	2b	5	wine	residue	sterile inoculant			closed	1		R	o	1	WWP
MG056-redo	2b		wine	residue					1					WWP
MG057-redo	2b		wine	residue					2					WWP
MG095-redo	2b	4	wine	larvae				open	2				1	WWP
