#OTU ID	0CR1	0CRR	0HR1	0L3	0SR1	12CL1	12CL2	12CL3	12CL4g	12CL4	12CO1	12CO3	12CR1	12CR2	12CR3	12CR4	12H01	12HL1	12HL2	12HL3g	12HL3-strich	12HR1	12HR2	12HR3	12S02	12SL1	12SL2	12SL3	12SO1	12SO3	12SR1	12SR2	12SR3	3CL1	3CL2	3CL3	3CR1	3CR2	3CR3	3HL1	3HL2	3HR1	3HR2	3SL1	3SL2	3SL3	3SR1	3SR2	3SR3	6CL1	6CL2	6CL3	6CR1	6CR2	6CR3	6HL1	6HL2	6HL3	6HR1	6HR2	6HR3	6SL1	6SL2	6SL3	6SR1	6SR2	6SR3	9CL1	9CL2	9CL3	9CR1	9CR2	9CR3	9HL1	9HL2	9HL3	9HR1	9HR2	9HR3	9SL1	9SL2	9SR1	9SR2	9SR3	Blank1a	Blank2a	C-day-1	C-day-2a	C-day-2b	C-day-2c	C-day-3	C-day-4	CF	KitBlank	MG001	MG002	MG003	MG004	MG004-redo	MG005	MG006	MG007	MG008	MG009	MG010	MG010-redo	MG011	MG012	MG013	MG014	MG015	MG016	MG017	MG018	MG019	MG020	MG021	MG022	MG023	MG024	MG025	MG026	MG027	MG028	MG029	MG030	MG031	MG032	MG033	MG034	MG035	MG036	MG037	MG038	MG039	MG040	MG041	MG042	MG043	MG044	MG045	MG046	MG047	MG048	MG049	MG050	MG051	MG052	MG053	MG054	MG055	MG056	MG056-redo	MG057	MG057-redo	MG058	MG059	MG060	MG061	MG062	MG063	MG064	MG065	MG066	MG067	MG068	MG069	MG070	MG071	MG072	MG073	MG074	MG075	MG076	MG077	MG078	MG079	MG080	MG081	MG082	MG083	MG084	MG085	MG086	MG087	MG088	MG089	MG090	MG091	MG092	MG093	MG094	MG095	MG095-redo	MG096	MG096-redo	MG097	MG097-redo	MG098	MG099	MG100	MG101	MG102	MG103	MG104	MG105	MG106	MG107	MG108	MG109	MG110	MG111	MG111-redo	Mock1-L	Mock1-R	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC11	NC12	NC13	OL1	ZymoMock319F-1	ZymoMock319F-2	ZymoMock319F-3	ZymoMock341F-1	ZymoMock341F-2	ZymoMock341F-3	Consensus Lineage
ZOTU119	7496	0	15	1	2306	6	0	0	4	0	3	17	0	0	0	0	0	0	0	0	0	3	0	0	504	2	0	2	408	395	2	4	0	0	2	1	539	143	285	0	2	2	5	0	0	0	8	3	4	2	1	0	97	74	80	0	0	0	0	0	4	0	0	0	0	3	1	0	0	0	2	3	2	1	0	0	0	0	2	1	0	2	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6545	3096	0	0	0	0	0	0	0	0	1	0	0	0	0	3	5	3	6	10	8	5	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
ZOTU492	336	0	151	0	826	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	14	0	0	0	12	9	0	0	1	0	0	0	29	75	35	0	1	101	5	0	0	0	16	0	4	1	0	0	138	23	49	0	0	0	21	19	14	1	0	0	0	3	1	0	0	1	2	3	11	0	0	0	14	5	4	1	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__; f__; g__; s__
ZOTU37	9038	0	10429	6	3540	1	0	0	0	0	48	332	2	2	0	2	84	0	1	0	0	3	1	1	7702	1	1	1	7016	8066	2	4	0	3	2	1	3075	560	2506	2	3	1201	85	1	0	1	34	21	64	1	0	0	89	66	117	0	0	0	155	140	114	2	1	0	5	2	1	0	4	0	7	6	6	2	0	1	9	4	1	1	0	14	6	5	0	0	0	1	0	0	3	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	2	6	2	3	6	0	3	7	6	1	0	1	4	5	4	0	0	0	0	0	1	1	3	6	0	0	0	1418	1603	210	162	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
ZOTU210	2354	0	0	1	1219	0	0	16	2	0	1	12	0	0	0	0	0	1	0	44	51	2	0	0	908	1	0	0	542	465	2	2	0	1	0	0	304	114	167	1	0	0	4	0	0	0	19	2	2	0	0	3	38	30	34	0	0	34	0	0	3	1	2	1	2	1	0	2	2	0	0	1	0	3	0	230	0	0	0	0	0	1	0	0	0	0	0	0	65	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99	25	1	0	1	0	1474	1	15	1	0	0	1	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
ZOTU113	642	0	3707	0	210	0	1	1	0	0	352	270	1	0	0	0	1105	0	0	0	0	0	0	0	686	29	0	0	614	904	0	0	0	0	0	0	171	62	142	0	0	679	47	0	0	0	9	0	31	0	0	0	17	9	8	0	0	0	45	42	28	0	0	11	0	2	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	1	5	0	0	1	6	0	0	0	0	1	2	1	0	0	0	16	6	3	0	0	0	4	4	0	11	3	4	6	6	2	19	23	14	1	2	2	2	1	5	0	0	0	0	0	0	14	1	7	0	2	0	242	198	138	19	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	94	64	115	0	44	0	150	0	368	0	0	2	1	469	11437	0	1	0	907	735	97	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
ZOTU361	2	0	3643	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	169	19	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	7	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ZOTU203	5895	0	0	2	1030	0	0	0	0	1	4	16	0	0	0	0	0	0	0	0	0	0	0	0	403	1	0	0	288	354	0	1	0	1	1	0	405	109	235	0	1	0	6	0	0	0	11	2	0	0	0	1	63	40	50	0	0	0	0	0	3	0	0	0	1	3	0	12	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
ZOTU62	363	1	4	1	66	2	0	61	1	36	2559	7061	1876	1897	2	1766	950	0	0	67	0	201	259	194	2260	161	2	0	1860	98	46	30	20	1	33	2	3133	1059	3486	337	2	84	10	2027	2	3	17	6	7	467	0	0	4182	1531	1767	1	25	1	40	51	43	2	0	0	48	10	6	79	95	339	1687	1185	961	10	0	1	51	31	16	0	0	48	117	18	0	0	0	3	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	3	18	14	37	25	29	9	30	33	26	25	23	34	20	15	27	11	25	28	23	0	0	0	9	2	12	24	11	39	6	1	0	78	78	150	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	6	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU197	2041	0	1	8	750	22	301	70	1	20	1	9	0	0	3	0	0	87	17	7	47	0	0	1	1185	1	1	9	684	815	26	2	0	94	238	0	360	111	173	0	228	0	6	1	539	0	8	6	8	11	2	47	38	23	27	28	4	108	1	0	4	253	203	0	2	2	0	4	1	1	0	3	3	7	0	126	0	0	1	3	11	3	0	1	0	0	1	38	439	99	0	360	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	306	1027	8	1	9	123	54	1	9	3	0	110	0	59	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
ZOTU158	99	174	2026	1	78	0	0	0	0	0	140	53	0	0	0	2	325	0	0	0	0	9	4	4	36	1	0	0	39	31	9	3	1	0	1	0	61	26	54	0	421	1666	152	0	0	0	24	14	122	0	0	0	3	22	13	0	0	0	231	266	210	0	0	0	1	0	11	0	1	0	0	2	0	0	0	0	17	9	4	0	0	4	1	1	0	0	0	1	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	5	9	15	0	0	3	0	0	0	786	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5714	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
