1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BB0000005EEF7841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:51:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:51:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  7151
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:51:01 PM,C,23.177
12/12/19 2:01:01 PM,C,22.927
12/12/19 2:11:01 PM,C,22.864
12/12/19 2:21:01 PM,C,22.864
12/12/19 2:31:01 PM,C,22.864
12/12/19 2:41:01 PM,C,22.864
12/12/19 2:51:01 PM,C,22.864
12/12/19 3:01:01 PM,C,22.864
12/12/19 3:11:01 PM,C,22.864
12/12/19 3:21:01 PM,C,22.864
12/12/19 3:31:01 PM,C,22.927
12/12/19 3:41:01 PM,C,23.802
12/12/19 3:51:01 PM,C,23.302
12/12/19 4:01:01 PM,C,23.052
12/12/19 4:11:01 PM,C,22.864
12/12/19 4:21:01 PM,C,22.802
12/12/19 4:31:01 PM,C,22.739
12/12/19 4:41:01 PM,C,22.739
12/12/19 4:51:01 PM,C,22.739
12/12/19 5:01:01 PM,C,22.677
12/12/19 5:11:01 PM,C,22.677
12/12/19 5:21:01 PM,C,22.614
12/12/19 5:31:01 PM,C,22.614
12/12/19 5:41:01 PM,C,22.614
12/12/19 5:51:01 PM,C,22.552
12/12/19 6:01:01 PM,C,22.552
12/12/19 6:11:01 PM,C,22.552
12/12/19 6:21:01 PM,C,22.614
12/12/19 6:31:01 PM,C,22.802
12/12/19 6:41:01 PM,C,21.676
12/12/19 6:51:01 PM,C,22.051
12/12/19 7:01:01 PM,C,22.301
12/12/19 7:11:01 PM,C,22.739
12/12/19 7:21:01 PM,C,23.49
12/12/19 7:31:01 PM,C,24.178
12/12/19 7:41:01 PM,C,24.74
12/12/19 7:51:01 PM,C,25.303
12/12/19 8:01:01 PM,C,25.74
12/12/19 8:11:01 PM,C,26.178
12/12/19 8:21:01 PM,C,26.553
12/12/19 8:31:01 PM,C,26.865
12/12/19 8:41:01 PM,C,27.177
12/12/19 8:51:01 PM,C,27.365
12/12/19 9:01:01 PM,C,27.615
12/12/19 9:11:01 PM,C,27.802
12/12/19 9:21:01 PM,C,27.927
12/12/19 9:31:01 PM,C,28.114
12/12/19 9:41:01 PM,C,28.239
12/12/19 9:51:01 PM,C,28.302
12/12/19 10:01:01 PM,C,28.427
12/12/19 10:11:01 PM,C,28.489
12/12/19 10:21:01 PM,C,28.614
12/12/19 10:31:01 PM,C,28.676
12/12/19 10:41:01 PM,C,28.739
12/12/19 10:51:01 PM,C,28.801
12/12/19 11:01:01 PM,C,28.864
12/12/19 11:11:01 PM,C,28.926
12/12/19 11:21:01 PM,C,28.989
12/12/19 11:31:01 PM,C,28.989
12/12/19 11:41:01 PM,C,28.989
12/12/19 11:51:01 PM,C,28.989
12/13/19 12:01:01 AM,C,28.989
12/13/19 12:11:01 AM,C,28.989
12/13/19 12:21:01 AM,C,28.926
12/13/19 12:31:01 AM,C,28.864
12/13/19 12:41:01 AM,C,28.864
12/13/19 12:51:01 AM,C,28.801
12/13/19 1:01:01 AM,C,28.739
12/13/19 1:11:01 AM,C,28.739
12/13/19 1:21:01 AM,C,28.676
12/13/19 1:31:01 AM,C,28.676
12/13/19 1:41:01 AM,C,28.676
12/13/19 1:51:01 AM,C,28.676
12/13/19 2:01:01 AM,C,28.676
12/13/19 2:11:01 AM,C,28.739
12/13/19 2:21:01 AM,C,28.739
12/13/19 2:31:01 AM,C,28.801
12/13/19 2:41:01 AM,C,28.864
12/13/19 2:51:01 AM,C,28.926
12/13/19 3:01:01 AM,C,28.989
12/13/19 3:11:01 AM,C,29.051
12/13/19 3:21:01 AM,C,29.176
12/13/19 3:31:01 AM,C,29.301
12/13/19 3:41:01 AM,C,29.363
12/13/19 3:51:01 AM,C,29.488
12/13/19 4:01:01 AM,C,29.675
12/13/19 4:11:01 AM,C,29.8
12/13/19 4:21:01 AM,C,29.925
12/13/19 4:31:01 AM,C,30.05
12/13/19 4:41:01 AM,C,30.237
12/13/19 4:51:01 AM,C,30.425
12/13/19 5:01:01 AM,C,30.612
12/13/19 5:11:01 AM,C,30.799
12/13/19 5:21:01 AM,C,30.986
12/13/19 5:31:01 AM,C,31.174
12/13/19 5:41:01 AM,C,31.361
12/13/19 5:51:01 AM,C,31.548
12/13/19 6:01:01 AM,C,31.798
12/13/19 6:11:01 AM,C,31.922
12/13/19 6:21:01 AM,C,32.109
12/13/19 6:31:01 AM,C,32.297
12/13/19 6:41:01 AM,C,32.484
12/13/19 6:51:01 AM,C,32.609
12/13/19 7:01:01 AM,C,32.796
12/13/19 7:11:01 AM,C,32.983
12/13/19 7:21:01 AM,C,33.232
12/13/19 7:31:01 AM,C,33.419
12/13/19 7:41:01 AM,C,33.669
12/13/19 7:51:01 AM,C,33.856
12/13/19 8:01:01 AM,C,34.105
12/13/19 8:11:01 AM,C,34.292
12/13/19 8:21:01 AM,C,34.48
12/13/19 8:31:01 AM,C,34.604
12/13/19 8:41:01 AM,C,34.729
12/13/19 8:51:01 AM,C,34.854
12/13/19 9:01:01 AM,C,34.916
12/13/19 9:11:01 AM,C,35.041
12/13/19 9:21:01 AM,C,35.103
12/13/19 9:31:01 AM,C,35.228
12/13/19 9:41:01 AM,C,35.352
12/13/19 9:51:01 AM,C,35.477
12/13/19 10:01:01 AM,C,35.602
12/13/19 10:11:01 AM,C,35.789
12/13/19 10:21:01 AM,C,35.976
12/13/19 10:31:01 AM,C,36.163
12/13/19 10:41:01 AM,C,36.35
12/13/19 10:51:01 AM,C,36.537
12/13/19 11:01:01 AM,C,36.723
12/13/19 11:11:01 AM,C,36.848
12/13/19 11:21:01 AM,C,37.035
12/13/19 11:31:01 AM,C,37.222
12/13/19 11:41:01 AM,C,37.347
12/13/19 11:51:01 AM,C,37.533
12/13/19 12:01:01 PM,C,37.72
12/13/19 12:11:01 PM,C,37.907
12/13/19 12:21:01 PM,C,38.094
12/13/19 12:31:01 PM,C,38.281
12/13/19 12:41:01 PM,C,38.468
12/13/19 12:51:01 PM,C,38.717
12/13/19 1:01:01 PM,C,38.904
12/13/19 1:11:01 PM,C,39.028
12/13/19 1:21:01 PM,C,39.215
12/13/19 1:31:01 PM,C,39.34
12/13/19 1:41:01 PM,C,39.464
12/13/19 1:51:01 PM,C,39.589
12/13/19 2:01:01 PM,C,39.713
12/13/19 2:11:01 PM,C,39.776
12/13/19 2:21:01 PM,C,39.838
12/13/19 2:31:01 PM,C,39.9
12/13/19 2:41:01 PM,C,39.962
12/13/19 2:51:01 PM,C,40.025
12/13/19 3:01:01 PM,C,40.025
12/13/19 3:11:01 PM,C,40.087
12/13/19 3:21:01 PM,C,40.087
12/13/19 3:31:01 PM,C,40.149
12/13/19 3:41:01 PM,C,40.149
12/13/19 3:51:01 PM,C,40.149
12/13/19 4:01:01 PM,C,40.211
12/13/19 4:11:01 PM,C,40.211
12/13/19 4:21:01 PM,C,40.211
12/13/19 4:31:01 PM,C,40.211
12/13/19 4:41:01 PM,C,40.211
12/13/19 4:51:01 PM,C,40.211
12/13/19 5:01:01 PM,C,40.149
12/13/19 5:11:01 PM,C,40.149
12/13/19 5:21:01 PM,C,40.087
12/13/19 5:31:01 PM,C,40.087
12/13/19 5:41:01 PM,C,40.087
12/13/19 5:51:01 PM,C,40.025
12/13/19 6:01:01 PM,C,40.025
12/13/19 6:11:01 PM,C,39.962
12/13/19 6:21:01 PM,C,39.9
12/13/19 6:31:01 PM,C,39.9
12/13/19 6:41:01 PM,C,39.9
12/13/19 6:51:01 PM,C,39.838
12/13/19 7:01:01 PM,C,39.838
12/13/19 7:11:01 PM,C,39.776
12/13/19 7:21:01 PM,C,39.776
12/13/19 7:31:01 PM,C,39.713
12/13/19 7:41:01 PM,C,39.713
12/13/19 7:51:01 PM,C,39.589
12/13/19 8:01:01 PM,C,39.464
12/13/19 8:11:01 PM,C,39.402
12/13/19 8:21:01 PM,C,39.277
12/13/19 8:31:01 PM,C,39.153
12/13/19 8:41:01 PM,C,39.091
12/13/19 8:51:01 PM,C,39.028
12/13/19 9:01:01 PM,C,38.966
12/13/19 9:11:01 PM,C,38.904
12/13/19 9:21:01 PM,C,38.841
12/13/19 9:31:01 PM,C,38.779
12/13/19 9:41:01 PM,C,38.717
12/13/19 9:51:01 PM,C,38.655
12/13/19 10:01:01 PM,C,38.53
12/13/19 10:11:01 PM,C,38.53
12/13/19 10:21:01 PM,C,38.468
12/13/19 10:31:01 PM,C,38.406
12/13/19 10:41:01 PM,C,38.343
12/13/19 10:51:01 PM,C,38.281
12/13/19 11:01:01 PM,C,38.219
12/13/19 11:11:01 PM,C,38.156
12/13/19 11:21:01 PM,C,38.094
12/13/19 11:31:01 PM,C,38.032
12/13/19 11:41:01 PM,C,37.97
12/13/19 11:51:01 PM,C,37.845
12/14/19 12:01:01 AM,C,37.845
12/14/19 12:11:01 AM,C,37.783
12/14/19 12:21:01 AM,C,37.72
12/14/19 12:31:01 AM,C,37.596
12/14/19 12:41:01 AM,C,37.533
12/14/19 12:51:01 AM,C,37.471
12/14/19 1:01:01 AM,C,37.409
12/14/19 1:11:01 AM,C,37.347
12/14/19 1:21:01 AM,C,37.284
12/14/19 1:31:01 AM,C,37.222
12/14/19 1:41:01 AM,C,37.16
12/14/19 1:51:01 AM,C,37.16
12/14/19 2:01:01 AM,C,37.097
12/14/19 2:11:01 AM,C,37.035
12/14/19 2:21:01 AM,C,37.035
12/14/19 2:31:01 AM,C,36.973
12/14/19 2:41:01 AM,C,36.973
12/14/19 2:51:01 AM,C,36.91
12/14/19 3:01:01 AM,C,36.91
12/14/19 3:11:01 AM,C,36.91
12/14/19 3:21:01 AM,C,36.848
12/14/19 3:31:01 AM,C,36.848
