1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6F0000005EF66841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:54:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:54:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  4569
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:54:01 PM,C,23.124
12/12/19 2:04:01 PM,C,22.937
12/12/19 2:14:01 PM,C,22.937
12/12/19 2:24:01 PM,C,22.874
12/12/19 2:34:01 PM,C,22.874
12/12/19 2:44:01 PM,C,22.937
12/12/19 2:54:01 PM,C,22.937
12/12/19 3:04:01 PM,C,22.937
12/12/19 3:14:01 PM,C,22.937
12/12/19 3:24:01 PM,C,22.937
12/12/19 3:34:01 PM,C,22.937
12/12/19 3:44:01 PM,C,23.187
12/12/19 3:54:01 PM,C,22.937
12/12/19 4:04:01 PM,C,22.812
12/12/19 4:14:01 PM,C,22.749
12/12/19 4:24:01 PM,C,22.749
12/12/19 4:34:01 PM,C,22.749
12/12/19 4:44:01 PM,C,22.749
12/12/19 4:54:01 PM,C,22.749
12/12/19 5:04:01 PM,C,22.749
12/12/19 5:14:01 PM,C,22.749
12/12/19 5:24:01 PM,C,22.686
12/12/19 5:34:01 PM,C,22.686
12/12/19 5:44:01 PM,C,22.686
12/12/19 5:54:01 PM,C,22.686
12/12/19 6:04:01 PM,C,22.624
12/12/19 6:14:01 PM,C,22.624
12/12/19 6:24:01 PM,C,22.812
12/12/19 6:34:01 PM,C,22.999
12/12/19 6:44:01 PM,C,21.686
12/12/19 6:54:01 PM,C,22.374
12/12/19 7:04:01 PM,C,22.436
12/12/19 7:14:01 PM,C,22.686
12/12/19 7:24:01 PM,C,23.249
12/12/19 7:34:01 PM,C,23.937
12/12/19 7:44:01 PM,C,24.625
12/12/19 7:54:01 PM,C,25.125
12/12/19 8:04:01 PM,C,25.625
12/12/19 8:14:01 PM,C,26.063
12/12/19 8:24:01 PM,C,26.437
12/12/19 8:34:01 PM,C,26.812
12/12/19 8:44:01 PM,C,27.062
12/12/19 8:54:01 PM,C,27.312
12/12/19 9:04:01 PM,C,27.562
12/12/19 9:14:01 PM,C,27.75
12/12/19 9:24:01 PM,C,27.937
12/12/19 9:34:01 PM,C,28.062
12/12/19 9:44:01 PM,C,28.187
12/12/19 9:54:01 PM,C,28.312
12/12/19 10:04:01 PM,C,28.437
12/12/19 10:14:01 PM,C,28.499
12/12/19 10:24:01 PM,C,28.562
12/12/19 10:34:01 PM,C,28.624
12/12/19 10:44:01 PM,C,28.687
12/12/19 10:54:01 PM,C,28.749
12/12/19 11:04:01 PM,C,28.811
12/12/19 11:14:01 PM,C,28.874
12/12/19 11:24:01 PM,C,28.936
12/12/19 11:34:01 PM,C,28.936
12/12/19 11:44:01 PM,C,28.999
12/12/19 11:54:01 PM,C,28.999
12/13/19 12:04:01 AM,C,28.999
12/13/19 12:14:01 AM,C,28.999
12/13/19 12:24:01 AM,C,28.936
12/13/19 12:34:01 AM,C,28.936
12/13/19 12:44:01 AM,C,28.874
12/13/19 12:54:01 AM,C,28.874
12/13/19 1:04:01 AM,C,28.874
12/13/19 1:14:01 AM,C,28.811
12/13/19 1:24:01 AM,C,28.811
12/13/19 1:34:01 AM,C,28.811
12/13/19 1:44:01 AM,C,28.874
12/13/19 1:54:01 AM,C,28.874
12/13/19 2:04:01 AM,C,28.874
12/13/19 2:14:01 AM,C,28.936
12/13/19 2:24:01 AM,C,28.999
12/13/19 2:34:01 AM,C,29.061
12/13/19 2:44:01 AM,C,29.124
12/13/19 2:54:01 AM,C,29.249
12/13/19 3:04:01 AM,C,29.311
12/13/19 3:14:01 AM,C,29.436
12/13/19 3:24:01 AM,C,29.561
12/13/19 3:34:01 AM,C,29.686
12/13/19 3:44:01 AM,C,29.748
12/13/19 3:54:01 AM,C,29.873
12/13/19 4:04:01 AM,C,30.06
12/13/19 4:14:01 AM,C,30.185
12/13/19 4:24:01 AM,C,30.373
12/13/19 4:34:01 AM,C,30.497
12/13/19 4:44:01 AM,C,30.685
12/13/19 4:54:01 AM,C,30.872
12/13/19 5:04:01 AM,C,31.059
12/13/19 5:14:01 AM,C,31.247
12/13/19 5:24:01 AM,C,31.434
12/13/19 5:34:01 AM,C,31.621
12/13/19 5:44:01 AM,C,31.808
12/13/19 5:54:01 AM,C,31.996
12/13/19 6:04:01 AM,C,32.183
12/13/19 6:14:01 AM,C,32.308
12/13/19 6:24:01 AM,C,32.557
12/13/19 6:34:01 AM,C,32.745
12/13/19 6:44:01 AM,C,32.932
12/13/19 6:54:01 AM,C,33.119
12/13/19 7:04:01 AM,C,33.306
12/13/19 7:14:01 AM,C,33.556
12/13/19 7:24:01 AM,C,33.743
12/13/19 7:34:01 AM,C,33.93
12/13/19 7:44:01 AM,C,34.18
12/13/19 7:54:01 AM,C,34.367
12/13/19 8:04:01 AM,C,34.554
12/13/19 8:14:01 AM,C,34.741
12/13/19 8:24:01 AM,C,34.866
12/13/19 8:34:01 AM,C,34.99
12/13/19 8:44:01 AM,C,35.115
12/13/19 8:54:01 AM,C,35.24
12/13/19 9:04:01 AM,C,35.365
12/13/19 9:14:01 AM,C,35.489
12/13/19 9:24:01 AM,C,35.614
12/13/19 9:34:01 AM,C,35.739
12/13/19 9:44:01 AM,C,35.926
12/13/19 9:54:01 AM,C,36.051
