1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E70000005EEFD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:52:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:52:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  7140
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:52:01 PM,C,23.222
12/12/19 2:02:01 PM,C,23.035
12/12/19 2:12:01 PM,C,22.972
12/12/19 2:22:01 PM,C,22.972
12/12/19 2:32:01 PM,C,22.972
12/12/19 2:42:01 PM,C,22.972
12/12/19 2:52:01 PM,C,22.972
12/12/19 3:02:01 PM,C,22.972
12/12/19 3:12:01 PM,C,22.972
12/12/19 3:22:01 PM,C,22.972
12/12/19 3:32:01 PM,C,22.972
12/12/19 3:42:01 PM,C,23.41
12/12/19 3:52:01 PM,C,23.097
12/12/19 4:02:01 PM,C,22.972
12/12/19 4:12:01 PM,C,22.909
12/12/19 4:22:01 PM,C,22.847
12/12/19 4:32:01 PM,C,22.847
12/12/19 4:42:01 PM,C,22.847
12/12/19 4:52:01 PM,C,22.847
12/12/19 5:02:01 PM,C,22.847
12/12/19 5:12:01 PM,C,22.847
12/12/19 5:22:01 PM,C,22.784
12/12/19 5:32:01 PM,C,22.784
12/12/19 5:42:01 PM,C,22.784
12/12/19 5:52:01 PM,C,22.722
12/12/19 6:02:01 PM,C,22.722
12/12/19 6:12:01 PM,C,22.659
12/12/19 6:22:01 PM,C,22.847
12/12/19 6:32:01 PM,C,23.097
12/12/19 6:42:01 PM,C,21.659
12/12/19 6:52:01 PM,C,22.159
12/12/19 7:02:01 PM,C,22.472
12/12/19 7:12:01 PM,C,22.909
12/12/19 7:22:01 PM,C,23.472
12/12/19 7:32:01 PM,C,24.035
12/12/19 7:42:01 PM,C,24.535
12/12/19 7:52:01 PM,C,25.035
12/12/19 8:02:01 PM,C,25.473
