1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2F000000586E9E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:57:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:57:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  10957
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:57:01 PM,C,23.023
12/12/19 2:07:01 PM,C,22.96
12/12/19 2:17:01 PM,C,22.96
12/12/19 2:27:01 PM,C,22.96
12/12/19 2:37:01 PM,C,22.96
12/12/19 2:47:01 PM,C,22.96
12/12/19 2:57:01 PM,C,22.96
12/12/19 3:07:01 PM,C,22.96
12/12/19 3:17:01 PM,C,22.96
12/12/19 3:27:01 PM,C,22.96
12/12/19 3:37:01 PM,C,24.086
12/12/19 3:47:01 PM,C,23.773
12/12/19 3:57:01 PM,C,23.335
12/12/19 4:07:01 PM,C,23.148
12/12/19 4:17:01 PM,C,23.023
12/12/19 4:27:01 PM,C,22.96
12/12/19 4:37:01 PM,C,22.96
12/12/19 4:47:01 PM,C,22.898
12/12/19 4:57:01 PM,C,22.835
12/12/19 5:07:01 PM,C,22.835
12/12/19 5:17:01 PM,C,22.773
12/12/19 5:27:01 PM,C,22.773
12/12/19 5:37:01 PM,C,22.773
12/12/19 5:47:01 PM,C,22.71
12/12/19 5:57:01 PM,C,22.71
12/12/19 6:07:01 PM,C,22.648
12/12/19 6:17:01 PM,C,22.648
12/12/19 6:27:01 PM,C,22.898
12/12/19 6:37:01 PM,C,22.272
12/12/19 6:47:01 PM,C,21.96
12/12/19 6:57:01 PM,C,22.335
12/12/19 7:07:01 PM,C,22.397
12/12/19 7:17:01 PM,C,22.46
12/12/19 7:27:01 PM,C,22.71
12/12/19 7:37:01 PM,C,23.148
12/12/19 7:47:01 PM,C,23.648
12/12/19 7:57:01 PM,C,24.211
12/12/19 8:07:01 PM,C,24.711
12/12/19 8:17:01 PM,C,25.211
12/12/19 8:27:01 PM,C,25.648
12/12/19 8:37:01 PM,C,26.023
12/12/19 8:47:01 PM,C,26.336
12/12/19 8:57:01 PM,C,26.648
12/12/19 9:07:01 PM,C,26.898
12/12/19 9:17:01 PM,C,27.148
12/12/19 9:27:01 PM,C,27.336
12/12/19 9:37:01 PM,C,27.523
12/12/19 9:47:01 PM,C,27.711
12/12/19 9:57:01 PM,C,27.835
12/12/19 10:07:01 PM,C,27.96
12/12/19 10:17:01 PM,C,28.085
12/12/19 10:27:01 PM,C,28.148
12/12/19 10:37:01 PM,C,28.273
12/12/19 10:47:01 PM,C,28.335
12/12/19 10:57:01 PM,C,28.398
12/12/19 11:07:01 PM,C,28.46
12/12/19 11:17:01 PM,C,28.523
12/12/19 11:27:01 PM,C,28.585
12/12/19 11:37:01 PM,C,28.585
12/12/19 11:47:01 PM,C,28.648
12/12/19 11:57:01 PM,C,28.71
12/13/19 12:07:01 AM,C,28.71
12/13/19 12:17:01 AM,C,28.773
12/13/19 12:27:01 AM,C,28.773
12/13/19 12:37:01 AM,C,28.835
12/13/19 12:47:01 AM,C,28.835
12/13/19 12:57:01 AM,C,28.897
12/13/19 1:07:01 AM,C,28.897
12/13/19 1:17:01 AM,C,28.96
12/13/19 1:27:01 AM,C,29.022
12/13/19 1:37:01 AM,C,29.022
12/13/19 1:47:01 AM,C,29.085
12/13/19 1:57:01 AM,C,29.147
12/13/19 2:07:01 AM,C,29.21
12/13/19 2:17:01 AM,C,29.272
12/13/19 2:27:01 AM,C,29.335
12/13/19 2:37:01 AM,C,29.397
12/13/19 2:47:01 AM,C,29.522
12/13/19 2:57:01 AM,C,29.584
12/13/19 3:07:01 AM,C,29.709
12/13/19 3:17:01 AM,C,29.834
12/13/19 3:27:01 AM,C,29.959
12/13/19 3:37:01 AM,C,30.084
12/13/19 3:47:01 AM,C,30.271
12/13/19 3:57:01 AM,C,30.396
12/13/19 4:07:01 AM,C,30.584
12/13/19 4:17:01 AM,C,30.708
12/13/19 4:27:01 AM,C,30.896
12/13/19 4:37:01 AM,C,31.083
12/13/19 4:47:01 AM,C,31.333
12/13/19 4:57:01 AM,C,31.52
12/13/19 5:07:01 AM,C,31.77
12/13/19 5:17:01 AM,C,31.957
12/13/19 5:27:01 AM,C,32.207
12/13/19 5:37:01 AM,C,32.456
12/13/19 5:47:01 AM,C,32.644
12/13/19 5:57:01 AM,C,32.893
12/13/19 6:07:01 AM,C,33.143
12/13/19 6:17:01 AM,C,33.393
12/13/19 6:27:01 AM,C,33.642
