1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC0000005EF67341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:58:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:58:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  5341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:58:01 PM,C,23.105
12/12/19 2:08:01 PM,C,22.98
12/12/19 2:18:01 PM,C,22.98
12/12/19 2:28:01 PM,C,22.98
12/12/19 2:38:01 PM,C,22.98
12/12/19 2:48:01 PM,C,22.98
12/12/19 2:58:01 PM,C,22.98
12/12/19 3:08:01 PM,C,22.98
12/12/19 3:18:01 PM,C,22.98
12/12/19 3:28:01 PM,C,22.98
12/12/19 3:38:01 PM,C,23.793
12/12/19 3:48:01 PM,C,23.48
12/12/19 3:58:01 PM,C,23.293
12/12/19 4:08:01 PM,C,23.23
12/12/19 4:18:01 PM,C,23.167
12/12/19 4:28:01 PM,C,23.105
12/12/19 4:38:01 PM,C,23.042
12/12/19 4:48:01 PM,C,22.98
12/12/19 4:58:01 PM,C,22.917
12/12/19 5:08:01 PM,C,22.917
12/12/19 5:18:01 PM,C,22.855
12/12/19 5:28:01 PM,C,22.855
12/12/19 5:38:01 PM,C,22.792
12/12/19 5:48:01 PM,C,22.792
12/12/19 5:58:01 PM,C,22.73
12/12/19 6:08:01 PM,C,22.73
12/12/19 6:18:01 PM,C,22.73
12/12/19 6:28:01 PM,C,23.042
12/12/19 6:38:01 PM,C,21.792
12/12/19 6:48:01 PM,C,22.167
12/12/19 6:58:01 PM,C,22.355
12/12/19 7:08:01 PM,C,22.605
12/12/19 7:18:01 PM,C,23.167
12/12/19 7:28:01 PM,C,23.793
12/12/19 7:38:01 PM,C,24.418
12/12/19 7:48:01 PM,C,25.043
12/12/19 7:58:01 PM,C,25.605
12/12/19 8:08:01 PM,C,26.168
12/12/19 8:18:01 PM,C,26.605
12/12/19 8:28:01 PM,C,27.043
12/12/19 8:38:01 PM,C,27.418
12/12/19 8:48:01 PM,C,27.793
12/12/19 8:58:01 PM,C,28.043
12/12/19 9:08:01 PM,C,28.293
12/12/19 9:18:01 PM,C,28.542
12/12/19 9:28:01 PM,C,28.73
12/12/19 9:38:01 PM,C,28.855
12/12/19 9:48:01 PM,C,29.042
12/12/19 9:58:01 PM,C,29.167
12/12/19 10:08:01 PM,C,29.292
12/12/19 10:18:01 PM,C,29.355
12/12/19 10:28:01 PM,C,29.479
12/12/19 10:38:01 PM,C,29.542
12/12/19 10:48:01 PM,C,29.604
12/12/19 10:58:01 PM,C,29.667
12/12/19 11:08:01 PM,C,29.667
12/12/19 11:18:01 PM,C,29.729
12/12/19 11:28:01 PM,C,29.729
12/12/19 11:38:01 PM,C,29.792
12/12/19 11:48:01 PM,C,29.854
12/12/19 11:58:01 PM,C,29.854
12/13/19 12:08:01 AM,C,29.854
12/13/19 12:18:01 AM,C,29.917
12/13/19 12:28:01 AM,C,29.917
12/13/19 12:38:01 AM,C,29.979
12/13/19 12:48:01 AM,C,29.979
12/13/19 12:58:01 AM,C,30.042
12/13/19 1:08:01 AM,C,30.104
12/13/19 1:18:01 AM,C,30.104
12/13/19 1:28:01 AM,C,30.167
12/13/19 1:38:01 AM,C,30.229
12/13/19 1:48:01 AM,C,30.291
12/13/19 1:58:01 AM,C,30.354
12/13/19 2:08:01 AM,C,30.416
12/13/19 2:18:01 AM,C,30.479
12/13/19 2:28:01 AM,C,30.541
12/13/19 2:38:01 AM,C,30.666
12/13/19 2:48:01 AM,C,30.729
12/13/19 2:58:01 AM,C,30.791
12/13/19 3:08:01 AM,C,30.916
12/13/19 3:18:01 AM,C,30.979
12/13/19 3:28:01 AM,C,31.103
12/13/19 3:38:01 AM,C,31.166
12/13/19 3:48:01 AM,C,31.228
12/13/19 3:58:01 AM,C,31.291
12/13/19 4:08:01 AM,C,31.416
12/13/19 4:18:01 AM,C,31.478
12/13/19 4:28:01 AM,C,31.541
12/13/19 4:38:01 AM,C,31.603
12/13/19 4:48:01 AM,C,31.728
12/13/19 4:58:01 AM,C,31.79
12/13/19 5:08:01 AM,C,31.853
12/13/19 5:18:01 AM,C,31.915
12/13/19 5:28:01 AM,C,31.978
12/13/19 5:38:01 AM,C,32.04
12/13/19 5:48:01 AM,C,32.103
12/13/19 5:58:01 AM,C,32.165
12/13/19 6:08:01 AM,C,32.227
12/13/19 6:18:01 AM,C,32.352
12/13/19 6:28:01 AM,C,32.415
12/13/19 6:38:01 AM,C,32.477
12/13/19 6:48:01 AM,C,32.54
12/13/19 6:58:01 AM,C,32.602
12/13/19 7:08:01 AM,C,32.602
12/13/19 7:18:01 AM,C,32.665
12/13/19 7:28:01 AM,C,32.665
12/13/19 7:38:01 AM,C,32.665
12/13/19 7:48:01 AM,C,32.665
12/13/19 7:58:01 AM,C,32.602
12/13/19 8:08:01 AM,C,32.602
12/13/19 8:18:01 AM,C,32.602
12/13/19 8:28:01 AM,C,32.602
12/13/19 8:38:01 AM,C,32.602
12/13/19 8:48:01 AM,C,32.602
12/13/19 8:58:01 AM,C,32.602
12/13/19 9:08:01 AM,C,32.602
