1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7B0000005EF3AB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:52:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:52:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  5339
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:52:01 PM,C,23.355
12/12/19 2:02:01 PM,C,23.042
12/12/19 2:12:01 PM,C,22.979
12/12/19 2:22:01 PM,C,22.979
12/12/19 2:32:01 PM,C,22.979
12/12/19 2:42:01 PM,C,22.979
12/12/19 2:52:01 PM,C,22.979
12/12/19 3:02:01 PM,C,22.979
12/12/19 3:12:01 PM,C,22.979
12/12/19 3:22:01 PM,C,22.979
12/12/19 3:32:01 PM,C,23.042
12/12/19 3:42:01 PM,C,24.105
12/12/19 3:52:01 PM,C,23.48
12/12/19 4:02:01 PM,C,23.23
12/12/19 4:12:01 PM,C,23.105
12/12/19 4:22:01 PM,C,23.042
12/12/19 4:32:01 PM,C,22.979
12/12/19 4:42:01 PM,C,22.979
12/12/19 4:52:01 PM,C,22.917
12/12/19 5:02:01 PM,C,22.854
12/12/19 5:12:01 PM,C,22.854
12/12/19 5:22:01 PM,C,22.792
12/12/19 5:32:01 PM,C,22.792
12/12/19 5:42:01 PM,C,22.792
12/12/19 5:52:01 PM,C,22.729
12/12/19 6:02:01 PM,C,22.729
12/12/19 6:12:01 PM,C,22.667
12/12/19 6:22:01 PM,C,22.792
12/12/19 6:32:01 PM,C,22.979
12/12/19 6:42:01 PM,C,21.29
12/12/19 6:52:01 PM,C,22.354
12/12/19 7:02:01 PM,C,22.542
12/12/19 7:12:01 PM,C,22.542
12/12/19 7:22:01 PM,C,23.042
12/12/19 7:32:01 PM,C,23.855
12/12/19 7:42:01 PM,C,24.605
12/12/19 7:52:01 PM,C,25.23
12/12/19 8:02:01 PM,C,25.73
12/12/19 8:12:01 PM,C,26.168
12/12/19 8:22:01 PM,C,26.543
12/12/19 8:32:01 PM,C,26.918
12/12/19 8:42:01 PM,C,27.168
12/12/19 8:52:01 PM,C,27.418
12/12/19 9:02:01 PM,C,27.605
12/12/19 9:12:01 PM,C,27.792
12/12/19 9:22:01 PM,C,27.98
12/12/19 9:32:01 PM,C,28.105
12/12/19 9:42:01 PM,C,28.23
12/12/19 9:52:01 PM,C,28.355
12/12/19 10:02:01 PM,C,28.417
12/12/19 10:12:01 PM,C,28.48
12/12/19 10:22:01 PM,C,28.604
12/12/19 10:32:01 PM,C,28.667
12/12/19 10:42:01 PM,C,28.667
12/12/19 10:52:01 PM,C,28.729
12/12/19 11:02:01 PM,C,28.792
12/12/19 11:12:01 PM,C,28.792
12/12/19 11:22:01 PM,C,28.854
12/12/19 11:32:01 PM,C,28.854
12/12/19 11:42:01 PM,C,28.917
12/12/19 11:52:01 PM,C,28.917
12/13/19 12:02:01 AM,C,28.979
12/13/19 12:12:01 AM,C,28.979
12/13/19 12:22:01 AM,C,28.979
12/13/19 12:32:01 AM,C,29.042
12/13/19 12:42:01 AM,C,29.042
12/13/19 12:52:01 AM,C,29.104
12/13/19 1:02:01 AM,C,29.104
12/13/19 1:12:01 AM,C,29.167
12/13/19 1:22:01 AM,C,29.167
12/13/19 1:32:01 AM,C,29.229
12/13/19 1:42:01 AM,C,29.229
12/13/19 1:52:01 AM,C,29.291
12/13/19 2:02:01 AM,C,29.354
12/13/19 2:12:01 AM,C,29.354
12/13/19 2:22:01 AM,C,29.416
12/13/19 2:32:01 AM,C,29.541
12/13/19 2:42:01 AM,C,29.604
12/13/19 2:52:01 AM,C,29.666
12/13/19 3:02:01 AM,C,29.791
12/13/19 3:12:01 AM,C,29.853
12/13/19 3:22:01 AM,C,29.978
12/13/19 3:32:01 AM,C,30.041
12/13/19 3:42:01 AM,C,30.166
12/13/19 3:52:01 AM,C,30.29
12/13/19 4:02:01 AM,C,30.415
12/13/19 4:12:01 AM,C,30.54
12/13/19 4:22:01 AM,C,30.665
12/13/19 4:32:01 AM,C,30.79
12/13/19 4:42:01 AM,C,30.977
12/13/19 4:52:01 AM,C,31.102
12/13/19 5:02:01 AM,C,31.289
12/13/19 5:12:01 AM,C,31.476
12/13/19 5:22:01 AM,C,31.664
12/13/19 5:32:01 AM,C,31.851
12/13/19 5:42:01 AM,C,32.038
12/13/19 5:52:01 AM,C,32.225
12/13/19 6:02:01 AM,C,32.412
12/13/19 6:12:01 AM,C,32.662
12/13/19 6:22:01 AM,C,32.912
12/13/19 6:32:01 AM,C,33.099
12/13/19 6:42:01 AM,C,33.348
12/13/19 6:52:01 AM,C,33.598
12/13/19 7:02:01 AM,C,33.847
12/13/19 7:12:01 AM,C,34.097
12/13/19 7:22:01 AM,C,34.346
12/13/19 7:32:01 AM,C,34.596
12/13/19 7:42:01 AM,C,34.845
12/13/19 7:52:01 AM,C,35.095
12/13/19 8:02:01 AM,C,35.344
12/13/19 8:12:01 AM,C,35.593
12/13/19 8:22:01 AM,C,35.78
12/13/19 8:32:01 AM,C,35.905
12/13/19 8:42:01 AM,C,36.092
12/13/19 8:52:01 AM,C,36.217
12/13/19 9:02:01 AM,C,36.341
12/13/19 9:12:01 AM,C,36.404
12/13/19 9:22:01 AM,C,36.466
12/13/19 9:32:01 AM,C,36.466
12/13/19 9:42:01 AM,C,36.528
12/13/19 9:52:01 AM,C,36.591
12/13/19 10:02:01 AM,C,36.591
12/13/19 10:12:01 AM,C,36.591
12/13/19 10:22:01 AM,C,36.778
12/13/19 10:32:01 AM,C,36.965
12/13/19 10:42:01 AM,C,37.089
12/13/19 10:52:01 AM,C,37.152
12/13/19 11:02:01 AM,C,37.152
12/13/19 11:12:01 AM,C,37.152
12/13/19 11:22:01 AM,C,37.089
12/13/19 11:32:01 AM,C,37.027
12/13/19 11:42:01 AM,C,36.965
12/13/19 11:52:01 AM,C,36.902
12/13/19 12:02:01 PM,C,36.902
12/13/19 12:12:01 PM,C,36.84
12/13/19 12:22:01 PM,C,36.778
12/13/19 12:32:01 PM,C,36.778
12/13/19 12:42:01 PM,C,36.715
