1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7700000069AA0041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:55:01 PST 2019
Mission Sample Count:  1292
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:55:01 PST 2019
Total Mission Samples:  1292
Total Device Samples:  7583
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:55:01 PM,C,23.075
12/12/19 2:05:01 PM,C,22.888
12/12/19 2:15:01 PM,C,22.825
12/12/19 2:25:01 PM,C,22.825
12/12/19 2:35:01 PM,C,22.825
12/12/19 2:45:01 PM,C,22.825
12/12/19 2:55:01 PM,C,22.825
12/12/19 3:05:01 PM,C,22.825
12/12/19 3:15:01 PM,C,22.825
12/12/19 3:25:01 PM,C,22.825
12/12/19 3:35:01 PM,C,23.138
12/12/19 3:45:01 PM,C,23.201
12/12/19 3:55:01 PM,C,23.013
12/12/19 4:05:01 PM,C,22.888
12/12/19 4:15:01 PM,C,22.825
12/12/19 4:25:01 PM,C,22.763
12/12/19 4:35:01 PM,C,22.763
12/12/19 4:45:01 PM,C,22.763
12/12/19 4:55:01 PM,C,22.7
12/12/19 5:05:01 PM,C,22.7
12/12/19 5:15:01 PM,C,22.7
12/12/19 5:25:01 PM,C,22.638
12/12/19 5:35:01 PM,C,22.638
12/12/19 5:45:01 PM,C,22.638
12/12/19 5:55:01 PM,C,22.575
12/12/19 6:05:01 PM,C,22.575
12/12/19 6:15:01 PM,C,22.575
12/12/19 6:25:01 PM,C,22.763
12/12/19 6:35:01 PM,C,22.888
12/12/19 6:45:01 PM,C,22.888
12/12/19 6:55:01 PM,C,21.762
12/12/19 7:05:01 PM,C,22.075
12/12/19 7:15:01 PM,C,22.95
12/12/19 7:25:01 PM,C,23.701
12/12/19 7:35:01 PM,C,24.326
12/12/19 7:45:01 PM,C,24.764
12/12/19 7:55:01 PM,C,25.264
12/12/19 8:05:01 PM,C,25.639
12/12/19 8:15:01 PM,C,25.951
12/12/19 8:25:01 PM,C,26.264
12/12/19 8:35:01 PM,C,26.514
12/12/19 8:45:01 PM,C,26.763
12/12/19 8:55:01 PM,C,26.951
12/12/19 9:05:01 PM,C,27.076
12/12/19 9:15:01 PM,C,27.263
12/12/19 9:25:01 PM,C,27.388
12/12/19 9:35:01 PM,C,27.513
12/12/19 9:45:01 PM,C,27.638
12/12/19 9:55:01 PM,C,27.763
12/12/19 10:05:01 PM,C,27.825
12/12/19 10:15:01 PM,C,27.888
12/12/19 10:25:01 PM,C,27.95
12/12/19 10:35:01 PM,C,28.013
12/12/19 10:45:01 PM,C,28.075
12/12/19 10:55:01 PM,C,28.138
12/12/19 11:05:01 PM,C,28.2
12/12/19 11:15:01 PM,C,28.263
12/12/19 11:25:01 PM,C,28.325
12/12/19 11:35:01 PM,C,28.325
12/12/19 11:45:01 PM,C,28.325
12/12/19 11:55:01 PM,C,28.325
12/13/19 12:05:01 AM,C,28.387
12/13/19 12:15:01 AM,C,28.387
12/13/19 12:25:01 AM,C,28.387
12/13/19 12:35:01 AM,C,28.387
12/13/19 12:45:01 AM,C,28.387
12/13/19 12:55:01 AM,C,28.387
12/13/19 1:05:01 AM,C,28.45
12/13/19 1:15:01 AM,C,28.45
12/13/19 1:25:01 AM,C,28.575
12/13/19 1:35:01 AM,C,28.637
12/13/19 1:45:01 AM,C,28.7
12/13/19 1:55:01 AM,C,28.762
12/13/19 2:05:01 AM,C,28.825
12/13/19 2:15:01 AM,C,28.887
12/13/19 2:25:01 AM,C,28.887
12/13/19 2:35:01 AM,C,28.949
12/13/19 2:45:01 AM,C,29.012
12/13/19 2:55:01 AM,C,29.012
12/13/19 3:05:01 AM,C,29.074
12/13/19 3:15:01 AM,C,29.074
12/13/19 3:25:01 AM,C,29.137
12/13/19 3:35:01 AM,C,29.137
12/13/19 3:45:01 AM,C,29.199
12/13/19 3:55:01 AM,C,29.199
