1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5700000069AB3041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:49:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:49:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  5339
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:49:01 PM,C,23.177
12/12/19 1:59:01 PM,C,22.927
12/12/19 2:09:01 PM,C,22.864
12/12/19 2:19:01 PM,C,22.864
12/12/19 2:29:01 PM,C,22.864
12/12/19 2:39:01 PM,C,22.864
12/12/19 2:49:01 PM,C,22.864
12/12/19 2:59:01 PM,C,22.864
12/12/19 3:09:01 PM,C,22.864
12/12/19 3:19:01 PM,C,22.864
12/12/19 3:29:01 PM,C,22.864
12/12/19 3:39:01 PM,C,23.615
12/12/19 3:49:01 PM,C,23.052
12/12/19 3:59:01 PM,C,22.802
12/12/19 4:09:01 PM,C,22.739
12/12/19 4:19:01 PM,C,22.802
12/12/19 4:29:01 PM,C,22.864
12/12/19 4:39:01 PM,C,22.927
12/12/19 4:49:01 PM,C,22.864
12/12/19 4:59:01 PM,C,22.802
12/12/19 5:09:01 PM,C,22.739
12/12/19 5:19:01 PM,C,22.739
12/12/19 5:29:01 PM,C,22.677
12/12/19 5:39:01 PM,C,22.677
12/12/19 5:49:01 PM,C,22.677
12/12/19 5:59:01 PM,C,22.614
12/12/19 6:09:01 PM,C,22.552
12/12/19 6:19:01 PM,C,22.677
12/12/19 6:29:01 PM,C,21.676
12/12/19 6:39:01 PM,C,22.114
12/12/19 6:49:01 PM,C,22.176
12/12/19 6:59:01 PM,C,22.176
12/12/19 7:09:01 PM,C,22.301
12/12/19 7:19:01 PM,C,22.614
12/12/19 7:29:01 PM,C,23.052
12/12/19 7:39:01 PM,C,23.552
12/12/19 7:49:01 PM,C,24.053
12/12/19 7:59:01 PM,C,24.553
12/12/19 8:09:01 PM,C,24.928
12/12/19 8:19:01 PM,C,25.303
12/12/19 8:29:01 PM,C,25.615
12/12/19 8:39:01 PM,C,25.928
12/12/19 8:49:01 PM,C,26.178
12/12/19 8:59:01 PM,C,26.365
12/12/19 9:09:01 PM,C,26.552
12/12/19 9:19:01 PM,C,26.74
12/12/19 9:29:01 PM,C,26.865
12/12/19 9:39:01 PM,C,27.052
12/12/19 9:49:01 PM,C,27.115
12/12/19 9:59:01 PM,C,27.24
12/12/19 10:09:01 PM,C,27.365
12/12/19 10:19:01 PM,C,27.427
12/12/19 10:29:01 PM,C,27.49
12/12/19 10:39:01 PM,C,27.552
12/12/19 10:49:01 PM,C,27.614
12/12/19 10:59:01 PM,C,27.677
12/12/19 11:09:01 PM,C,27.739
12/12/19 11:19:01 PM,C,27.802
12/12/19 11:29:01 PM,C,27.864
12/12/19 11:39:01 PM,C,27.864
12/12/19 11:49:01 PM,C,27.927
12/12/19 11:59:01 PM,C,27.927
12/13/19 12:09:01 AM,C,27.989
12/13/19 12:19:01 AM,C,27.989
12/13/19 12:29:01 AM,C,27.989
12/13/19 12:39:01 AM,C,27.989
12/13/19 12:49:01 AM,C,28.052
12/13/19 12:59:01 AM,C,28.052
12/13/19 1:09:01 AM,C,28.052
12/13/19 1:19:01 AM,C,28.052
12/13/19 1:29:01 AM,C,28.052
12/13/19 1:39:01 AM,C,28.114
12/13/19 1:49:01 AM,C,28.114
12/13/19 1:59:01 AM,C,28.177
12/13/19 2:09:01 AM,C,28.239
12/13/19 2:19:01 AM,C,28.301
12/13/19 2:29:01 AM,C,28.364
12/13/19 2:39:01 AM,C,28.426
12/13/19 2:49:01 AM,C,28.489
12/13/19 2:59:01 AM,C,28.551
12/13/19 3:09:01 AM,C,28.614
12/13/19 3:19:01 AM,C,28.676
12/13/19 3:29:01 AM,C,28.738
12/13/19 3:39:01 AM,C,28.863
12/13/19 3:49:01 AM,C,28.926
12/13/19 3:59:01 AM,C,29.051
12/13/19 4:09:01 AM,C,29.176
12/13/19 4:19:01 AM,C,29.238
12/13/19 4:29:01 AM,C,29.363
12/13/19 4:39:01 AM,C,29.55
12/13/19 4:49:01 AM,C,29.675
12/13/19 4:59:01 AM,C,29.8
12/13/19 5:09:01 AM,C,29.987
12/13/19 5:19:01 AM,C,30.112
12/13/19 5:29:01 AM,C,30.299
12/13/19 5:39:01 AM,C,30.486
12/13/19 5:49:01 AM,C,30.611
12/13/19 5:59:01 AM,C,30.798
12/13/19 6:09:01 AM,C,30.985
12/13/19 6:19:01 AM,C,31.173
12/13/19 6:29:01 AM,C,31.36
12/13/19 6:39:01 AM,C,31.609
12/13/19 6:49:01 AM,C,31.796
12/13/19 6:59:01 AM,C,31.984
12/13/19 7:09:01 AM,C,32.171
12/13/19 7:19:01 AM,C,32.358
12/13/19 7:29:01 AM,C,32.545
12/13/19 7:39:01 AM,C,32.732
12/13/19 7:49:01 AM,C,32.919
12/13/19 7:59:01 AM,C,33.169
12/13/19 8:09:01 AM,C,33.418
12/13/19 8:19:01 AM,C,33.605
12/13/19 8:29:01 AM,C,33.854
12/13/19 8:39:01 AM,C,34.166
12/13/19 8:49:01 AM,C,34.415
12/13/19 8:59:01 AM,C,34.727
12/13/19 9:09:01 AM,C,35.039
12/13/19 9:19:01 AM,C,35.288
12/13/19 9:29:01 AM,C,35.6
12/13/19 9:39:01 AM,C,35.911
12/13/19 9:49:01 AM,C,36.223
12/13/19 9:59:01 AM,C,36.472
12/13/19 10:09:01 AM,C,36.783
12/13/19 10:19:01 AM,C,37.095
12/13/19 10:29:01 AM,C,37.344
12/13/19 10:39:01 AM,C,37.655
12/13/19 10:49:01 AM,C,37.967
12/13/19 10:59:01 AM,C,38.278
12/13/19 11:09:01 AM,C,38.527
12/13/19 11:19:01 AM,C,38.838
12/13/19 11:29:01 AM,C,39.149
12/13/19 11:39:01 AM,C,39.461
12/13/19 11:49:01 AM,C,39.772
12/13/19 11:59:01 AM,C,40.021
12/13/19 12:09:01 PM,C,40.27
12/13/19 12:19:01 PM,C,40.456
12/13/19 12:29:01 PM,C,40.705
12/13/19 12:39:01 PM,C,40.954
12/13/19 12:49:01 PM,C,41.141
12/13/19 12:59:01 PM,C,41.327
12/13/19 1:09:01 PM,C,41.514
12/13/19 1:19:01 PM,C,41.638
12/13/19 1:29:01 PM,C,41.763
12/13/19 1:39:01 PM,C,41.949
12/13/19 1:49:01 PM,C,42.012
12/13/19 1:59:01 PM,C,42.136
12/13/19 2:09:01 PM,C,42.26
12/13/19 2:19:01 PM,C,42.322
12/13/19 2:29:01 PM,C,42.385
12/13/19 2:39:01 PM,C,42.447
12/13/19 2:49:01 PM,C,42.447
12/13/19 2:59:01 PM,C,42.509
12/13/19 3:09:01 PM,C,42.509
12/13/19 3:19:01 PM,C,42.571
12/13/19 3:29:01 PM,C,42.571
