1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2E000000586D3041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:58:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:58:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  11494
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:58:01 PM,C,22.968
12/12/19 2:08:01 PM,C,22.906
12/12/19 2:18:01 PM,C,22.843
12/12/19 2:28:01 PM,C,22.843
12/12/19 2:38:01 PM,C,22.843
12/12/19 2:48:01 PM,C,22.843
12/12/19 2:58:01 PM,C,22.843
12/12/19 3:08:01 PM,C,22.906
12/12/19 3:18:01 PM,C,22.906
12/12/19 3:28:01 PM,C,22.906
12/12/19 3:38:01 PM,C,23.468
12/12/19 3:48:01 PM,C,23.031
12/12/19 3:58:01 PM,C,22.843
12/12/19 4:08:01 PM,C,22.718
12/12/19 4:18:01 PM,C,22.718
12/12/19 4:28:01 PM,C,22.781
12/12/19 4:38:01 PM,C,22.781
12/12/19 4:48:01 PM,C,22.781
12/12/19 4:58:01 PM,C,22.781
12/12/19 5:08:01 PM,C,22.718
12/12/19 5:18:01 PM,C,22.718
12/12/19 5:28:01 PM,C,22.718
12/12/19 5:38:01 PM,C,22.718
12/12/19 5:48:01 PM,C,22.656
12/12/19 5:58:01 PM,C,22.656
12/12/19 6:08:01 PM,C,22.656
12/12/19 6:18:01 PM,C,22.781
12/12/19 6:28:01 PM,C,21.53
12/12/19 6:38:01 PM,C,21.718
12/12/19 6:48:01 PM,C,21.843
12/12/19 6:58:01 PM,C,21.968
12/12/19 7:08:01 PM,C,22.03
12/12/19 7:18:01 PM,C,22.093
