1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C9000000586B0941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:46:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:46:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  7856
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:46:01 PM,C,23.281
12/12/19 1:56:01 PM,C,23.03
12/12/19 2:06:01 PM,C,22.968
12/12/19 2:16:01 PM,C,22.968
12/12/19 2:26:01 PM,C,22.968
12/12/19 2:36:01 PM,C,22.968
12/12/19 2:46:01 PM,C,22.968
12/12/19 2:56:01 PM,C,22.968
12/12/19 3:06:01 PM,C,22.968
12/12/19 3:16:01 PM,C,22.968
12/12/19 3:26:01 PM,C,22.968
12/12/19 3:36:01 PM,C,23.093
12/12/19 3:46:01 PM,C,23.406
12/12/19 3:56:01 PM,C,23.281
12/12/19 4:06:01 PM,C,23.155
12/12/19 4:16:01 PM,C,23.093
12/12/19 4:26:01 PM,C,23.03
12/12/19 4:36:01 PM,C,23.03
12/12/19 4:46:01 PM,C,22.968
12/12/19 4:56:01 PM,C,22.905
12/12/19 5:06:01 PM,C,22.905
12/12/19 5:16:01 PM,C,22.843
12/12/19 5:26:01 PM,C,22.843
12/12/19 5:36:01 PM,C,22.843
12/12/19 5:46:01 PM,C,22.78
12/12/19 5:56:01 PM,C,22.78
12/12/19 6:06:01 PM,C,22.718
12/12/19 6:16:01 PM,C,22.718
12/12/19 6:26:01 PM,C,22.843
12/12/19 6:36:01 PM,C,22.968
12/12/19 6:46:01 PM,C,22.843
12/12/19 6:56:01 PM,C,21.967
12/12/19 7:06:01 PM,C,22.217
12/12/19 7:16:01 PM,C,22.655
12/12/19 7:26:01 PM,C,23.218
12/12/19 7:36:01 PM,C,23.781
12/12/19 7:46:01 PM,C,24.406
12/12/19 7:56:01 PM,C,24.906
12/12/19 8:06:01 PM,C,25.406
12/12/19 8:16:01 PM,C,25.906
12/12/19 8:26:01 PM,C,26.281
12/12/19 8:36:01 PM,C,26.656
12/12/19 8:46:01 PM,C,26.969
12/12/19 8:56:01 PM,C,27.281
12/12/19 9:06:01 PM,C,27.531
12/12/19 9:16:01 PM,C,27.718
12/12/19 9:26:01 PM,C,27.968
12/12/19 9:36:01 PM,C,28.155
12/12/19 9:46:01 PM,C,28.28
12/12/19 9:56:01 PM,C,28.468
12/12/19 10:06:01 PM,C,28.593
12/12/19 10:16:01 PM,C,28.655
12/12/19 10:26:01 PM,C,28.78
12/12/19 10:36:01 PM,C,28.905
12/12/19 10:46:01 PM,C,28.967
12/12/19 10:56:01 PM,C,29.03
12/12/19 11:06:01 PM,C,29.092
12/12/19 11:16:01 PM,C,29.155
12/12/19 11:26:01 PM,C,29.217
12/12/19 11:36:01 PM,C,29.217
12/12/19 11:46:01 PM,C,29.28
12/12/19 11:56:01 PM,C,29.28
12/13/19 12:06:01 AM,C,29.342
12/13/19 12:16:01 AM,C,29.342
12/13/19 12:26:01 AM,C,29.404
12/13/19 12:36:01 AM,C,29.404
12/13/19 12:46:01 AM,C,29.404
12/13/19 12:56:01 AM,C,29.467
12/13/19 1:06:01 AM,C,29.467
12/13/19 1:16:01 AM,C,29.467
12/13/19 1:26:01 AM,C,29.467
12/13/19 1:36:01 AM,C,29.529
12/13/19 1:46:01 AM,C,29.529
12/13/19 1:56:01 AM,C,29.529
12/13/19 2:06:01 AM,C,29.529
12/13/19 2:16:01 AM,C,29.592
12/13/19 2:26:01 AM,C,29.592
12/13/19 2:36:01 AM,C,29.592
12/13/19 2:46:01 AM,C,29.654
12/13/19 2:56:01 AM,C,29.717
12/13/19 3:06:01 AM,C,29.717
12/13/19 3:16:01 AM,C,29.717
12/13/19 3:26:01 AM,C,29.779
12/13/19 3:36:01 AM,C,29.841
12/13/19 3:46:01 AM,C,29.841
12/13/19 3:56:01 AM,C,29.904
12/13/19 4:06:01 AM,C,29.966
12/13/19 4:16:01 AM,C,30.029
12/13/19 4:26:01 AM,C,30.091
12/13/19 4:36:01 AM,C,30.216
12/13/19 4:46:01 AM,C,30.278
12/13/19 4:56:01 AM,C,30.341
12/13/19 5:06:01 AM,C,30.466
12/13/19 5:16:01 AM,C,30.591
12/13/19 5:26:01 AM,C,30.653
12/13/19 5:36:01 AM,C,30.778
12/13/19 5:46:01 AM,C,30.903
12/13/19 5:56:01 AM,C,31.027
12/13/19 6:06:01 AM,C,31.152
12/13/19 6:16:01 AM,C,31.277
12/13/19 6:26:01 AM,C,31.464
12/13/19 6:36:01 AM,C,31.589
12/13/19 6:46:01 AM,C,31.776
12/13/19 6:56:01 AM,C,31.963
12/13/19 7:06:01 AM,C,32.151
12/13/19 7:16:01 AM,C,32.275
12/13/19 7:26:01 AM,C,32.463
12/13/19 7:36:01 AM,C,32.65
12/13/19 7:46:01 AM,C,32.837
12/13/19 7:56:01 AM,C,32.962
12/13/19 8:06:01 AM,C,33.149
12/13/19 8:16:01 AM,C,33.336
12/13/19 8:26:01 AM,C,33.461
12/13/19 8:36:01 AM,C,33.648
12/13/19 8:46:01 AM,C,33.835
12/13/19 8:56:01 AM,C,34.022
12/13/19 9:06:01 AM,C,34.209
12/13/19 9:16:01 AM,C,34.458
12/13/19 9:26:01 AM,C,34.646
12/13/19 9:36:01 AM,C,34.833
12/13/19 9:46:01 AM,C,35.082
12/13/19 9:56:01 AM,C,35.269
12/13/19 10:06:01 AM,C,35.394
12/13/19 10:16:01 AM,C,35.518
12/13/19 10:26:01 AM,C,35.643
12/13/19 10:36:01 AM,C,35.705
12/13/19 10:46:01 AM,C,35.83
12/13/19 10:56:01 AM,C,35.955
12/13/19 11:06:01 AM,C,36.017
12/13/19 11:16:01 AM,C,36.079
12/13/19 11:26:01 AM,C,36.204
12/13/19 11:36:01 AM,C,36.266
12/13/19 11:46:01 AM,C,36.391
12/13/19 11:56:01 AM,C,36.516
12/13/19 12:06:01 PM,C,36.578
12/13/19 12:16:01 PM,C,36.703
12/13/19 12:26:01 PM,C,36.827
12/13/19 12:36:01 PM,C,36.89
12/13/19 12:46:01 PM,C,36.952
12/13/19 12:56:01 PM,C,37.014
12/13/19 1:06:01 PM,C,37.076
12/13/19 1:16:01 PM,C,37.076
12/13/19 1:26:01 PM,C,37.139
12/13/19 1:36:01 PM,C,37.139
12/13/19 1:46:01 PM,C,37.201
12/13/19 1:56:01 PM,C,37.201
12/13/19 2:06:01 PM,C,37.263
12/13/19 2:16:01 PM,C,37.326
12/13/19 2:26:01 PM,C,37.326
12/13/19 2:36:01 PM,C,37.388
12/13/19 2:46:01 PM,C,37.45
12/13/19 2:56:01 PM,C,37.45
12/13/19 3:06:01 PM,C,37.513
12/13/19 3:16:01 PM,C,37.513
12/13/19 3:26:01 PM,C,37.513
12/13/19 3:36:01 PM,C,37.575
12/13/19 3:46:01 PM,C,37.575
12/13/19 3:56:01 PM,C,37.575
12/13/19 4:06:01 PM,C,37.575
12/13/19 4:16:01 PM,C,37.513
12/13/19 4:26:01 PM,C,37.513
