1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5C0000005868BD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:49:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:49:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  9700
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:49:01 PM,C,23.273
12/12/19 1:59:01 PM,C,22.96
12/12/19 2:09:01 PM,C,22.96
12/12/19 2:19:01 PM,C,22.96
12/12/19 2:29:01 PM,C,22.898
12/12/19 2:39:01 PM,C,22.898
12/12/19 2:49:01 PM,C,22.96
12/12/19 2:59:01 PM,C,22.96
12/12/19 3:09:01 PM,C,22.96
12/12/19 3:19:01 PM,C,22.96
12/12/19 3:29:01 PM,C,22.96
12/12/19 3:39:01 PM,C,23.711
12/12/19 3:49:01 PM,C,23.21
12/12/19 3:59:01 PM,C,23.023
12/12/19 4:09:01 PM,C,22.96
12/12/19 4:19:01 PM,C,22.96
12/12/19 4:29:01 PM,C,22.96
12/12/19 4:39:01 PM,C,22.898
12/12/19 4:49:01 PM,C,22.898
12/12/19 4:59:01 PM,C,22.835
12/12/19 5:09:01 PM,C,22.835
12/12/19 5:19:01 PM,C,22.835
12/12/19 5:29:01 PM,C,22.773
12/12/19 5:39:01 PM,C,22.773
12/12/19 5:49:01 PM,C,22.773
12/12/19 5:59:01 PM,C,22.71
12/12/19 6:09:01 PM,C,22.71
12/12/19 6:19:01 PM,C,22.523
12/12/19 6:29:01 PM,C,21.647
12/12/19 6:39:01 PM,C,22.272
12/12/19 6:49:01 PM,C,22.335
12/12/19 6:59:01 PM,C,22.397
12/12/19 7:09:01 PM,C,22.585
12/12/19 7:19:01 PM,C,23.21
12/12/19 7:29:01 PM,C,24.023
12/12/19 7:39:01 PM,C,24.648
12/12/19 7:49:01 PM,C,25.148
12/12/19 7:59:01 PM,C,25.648
12/12/19 8:09:01 PM,C,26.023
12/12/19 8:19:01 PM,C,26.398
12/12/19 8:29:01 PM,C,26.648
12/12/19 8:39:01 PM,C,26.961
12/12/19 8:49:01 PM,C,27.148
12/12/19 8:59:01 PM,C,27.398
12/12/19 9:09:01 PM,C,27.523
12/12/19 9:19:01 PM,C,27.711
12/12/19 9:29:01 PM,C,27.835
12/12/19 9:39:01 PM,C,27.96
12/12/19 9:49:01 PM,C,28.085
12/12/19 9:59:01 PM,C,28.148
12/12/19 10:09:01 PM,C,28.273
12/12/19 10:19:01 PM,C,28.335
12/12/19 10:29:01 PM,C,28.398
12/12/19 10:39:01 PM,C,28.46
12/12/19 10:49:01 PM,C,28.523
12/12/19 10:59:01 PM,C,28.585
12/12/19 11:09:01 PM,C,28.585
12/12/19 11:19:01 PM,C,28.648
12/12/19 11:29:01 PM,C,28.71
12/12/19 11:39:01 PM,C,28.71
12/12/19 11:49:01 PM,C,28.71
12/12/19 11:59:01 PM,C,28.772
12/13/19 12:09:01 AM,C,28.772
12/13/19 12:19:01 AM,C,28.835
12/13/19 12:29:01 AM,C,28.835
12/13/19 12:39:01 AM,C,28.835
12/13/19 12:49:01 AM,C,28.897
12/13/19 12:59:01 AM,C,28.897
12/13/19 1:09:01 AM,C,28.897
12/13/19 1:19:01 AM,C,28.897
12/13/19 1:29:01 AM,C,28.96
12/13/19 1:39:01 AM,C,28.96
12/13/19 1:49:01 AM,C,29.022
12/13/19 1:59:01 AM,C,29.022
12/13/19 2:09:01 AM,C,29.085
12/13/19 2:19:01 AM,C,29.085
12/13/19 2:29:01 AM,C,29.147
12/13/19 2:39:01 AM,C,29.147
12/13/19 2:49:01 AM,C,29.21
12/13/19 2:59:01 AM,C,29.272
12/13/19 3:09:01 AM,C,29.335
12/13/19 3:19:01 AM,C,29.397
12/13/19 3:29:01 AM,C,29.459
12/13/19 3:39:01 AM,C,29.584
12/13/19 3:49:01 AM,C,29.647
12/13/19 3:59:01 AM,C,29.772
12/13/19 4:09:01 AM,C,29.834
12/13/19 4:19:01 AM,C,29.959
12/13/19 4:29:01 AM,C,30.084
12/13/19 4:39:01 AM,C,30.209
12/13/19 4:49:01 AM,C,30.334
12/13/19 4:59:01 AM,C,30.459
12/13/19 5:09:01 AM,C,30.584
12/13/19 5:19:01 AM,C,30.708
12/13/19 5:29:01 AM,C,30.896
12/13/19 5:39:01 AM,C,31.083
12/13/19 5:49:01 AM,C,31.208
12/13/19 5:59:01 AM,C,31.395
12/13/19 6:09:01 AM,C,31.582
12/13/19 6:19:01 AM,C,31.77
12/13/19 6:29:01 AM,C,31.895
12/13/19 6:39:01 AM,C,32.144
12/13/19 6:49:01 AM,C,32.269
12/13/19 6:59:01 AM,C,32.456
12/13/19 7:09:01 AM,C,32.644
12/13/19 7:19:01 AM,C,32.831
12/13/19 7:29:01 AM,C,33.018
12/13/19 7:39:01 AM,C,33.268
12/13/19 7:49:01 AM,C,33.455
12/13/19 7:59:01 AM,C,33.642
12/13/19 8:09:01 AM,C,33.954
12/13/19 8:19:01 AM,C,34.141
12/13/19 8:29:01 AM,C,34.391
12/13/19 8:39:01 AM,C,34.64
12/13/19 8:49:01 AM,C,34.828
12/13/19 8:59:01 AM,C,35.077
12/13/19 9:09:01 AM,C,35.327
12/13/19 9:19:01 AM,C,35.514
12/13/19 9:29:01 AM,C,35.639
12/13/19 9:39:01 AM,C,35.826
12/13/19 9:49:01 AM,C,35.951
12/13/19 9:59:01 AM,C,36.075
12/13/19 10:09:01 AM,C,36.013
12/13/19 10:19:01 AM,C,36.138
12/13/19 10:29:01 AM,C,36.262
12/13/19 10:39:01 AM,C,36.387
12/13/19 10:49:01 AM,C,36.449
12/13/19 10:59:01 AM,C,36.574
12/13/19 11:09:01 AM,C,36.699
12/13/19 11:19:01 AM,C,36.761
12/13/19 11:29:01 AM,C,36.886
12/13/19 11:39:01 AM,C,36.948
12/13/19 11:49:01 AM,C,37.073
12/13/19 11:59:01 AM,C,37.135
12/13/19 12:09:01 PM,C,37.198
12/13/19 12:19:01 PM,C,37.26
12/13/19 12:29:01 PM,C,37.323
12/13/19 12:39:01 PM,C,37.385
12/13/19 12:49:01 PM,C,37.385
12/13/19 12:59:01 PM,C,37.447
12/13/19 1:09:01 PM,C,37.447
12/13/19 1:19:01 PM,C,37.51
12/13/19 1:29:01 PM,C,37.51
12/13/19 1:39:01 PM,C,37.572
12/13/19 1:49:01 PM,C,37.572
12/13/19 1:59:01 PM,C,37.572
12/13/19 2:09:01 PM,C,37.572
12/13/19 2:19:01 PM,C,37.572
12/13/19 2:29:01 PM,C,37.572
12/13/19 2:39:01 PM,C,37.572
12/13/19 2:49:01 PM,C,37.51
12/13/19 2:59:01 PM,C,37.51
12/13/19 3:09:01 PM,C,37.51
12/13/19 3:19:01 PM,C,37.447
12/13/19 3:29:01 PM,C,37.447
12/13/19 3:39:01 PM,C,37.447
12/13/19 3:49:01 PM,C,37.385
12/13/19 3:59:01 PM,C,37.385
12/13/19 4:09:01 PM,C,37.323
12/13/19 4:19:01 PM,C,37.323
12/13/19 4:29:01 PM,C,37.26
12/13/19 4:39:01 PM,C,37.198
12/13/19 4:49:01 PM,C,37.198
12/13/19 4:59:01 PM,C,37.135
12/13/19 5:09:01 PM,C,37.073
12/13/19 5:19:01 PM,C,37.011
12/13/19 5:29:01 PM,C,37.011
12/13/19 5:39:01 PM,C,36.948
12/13/19 5:49:01 PM,C,36.948
12/13/19 5:59:01 PM,C,36.886
12/13/19 6:09:01 PM,C,36.886
12/13/19 6:19:01 PM,C,36.824
12/13/19 6:29:01 PM,C,36.824
12/13/19 6:39:01 PM,C,36.824
12/13/19 6:49:01 PM,C,36.761
12/13/19 6:59:01 PM,C,36.761
12/13/19 7:09:01 PM,C,36.699
12/13/19 7:19:01 PM,C,36.699
12/13/19 7:29:01 PM,C,36.637
12/13/19 7:39:01 PM,C,36.637
12/13/19 7:49:01 PM,C,36.574
12/13/19 7:59:01 PM,C,36.637
12/13/19 8:09:01 PM,C,36.699
12/13/19 8:19:01 PM,C,36.761
12/13/19 8:29:01 PM,C,36.824
12/13/19 8:39:01 PM,C,36.824
12/13/19 8:49:01 PM,C,36.824
12/13/19 8:59:01 PM,C,36.886
12/13/19 9:09:01 PM,C,36.886
12/13/19 9:19:01 PM,C,36.886
12/13/19 9:29:01 PM,C,36.886
12/13/19 9:39:01 PM,C,36.886
12/13/19 9:49:01 PM,C,36.824
12/13/19 9:59:01 PM,C,36.824
12/13/19 10:09:01 PM,C,36.824
12/13/19 10:19:01 PM,C,36.761
12/13/19 10:29:01 PM,C,36.761
12/13/19 10:39:01 PM,C,36.699
12/13/19 10:49:01 PM,C,36.699
12/13/19 10:59:01 PM,C,36.699
12/13/19 11:09:01 PM,C,36.699
12/13/19 11:19:01 PM,C,36.637
12/13/19 11:29:01 PM,C,36.637
12/13/19 11:39:01 PM,C,36.637
12/13/19 11:49:01 PM,C,36.637
12/13/19 11:59:01 PM,C,36.637
12/14/19 12:09:01 AM,C,36.637
12/14/19 12:19:01 AM,C,36.637
12/14/19 12:29:01 AM,C,36.574
12/14/19 12:39:01 AM,C,36.574
12/14/19 12:49:01 AM,C,36.512
12/14/19 12:59:01 AM,C,36.512
12/14/19 1:09:01 AM,C,36.574
12/14/19 1:19:01 AM,C,36.574
12/14/19 1:29:01 AM,C,36.574
12/14/19 1:39:01 AM,C,36.512
12/14/19 1:49:01 AM,C,36.449
12/14/19 1:59:01 AM,C,36.449
12/14/19 2:09:01 AM,C,36.449
12/14/19 2:19:01 AM,C,36.449
12/14/19 2:29:01 AM,C,36.449
12/14/19 2:39:01 AM,C,36.449
12/14/19 2:49:01 AM,C,36.387
12/14/19 2:59:01 AM,C,36.387
12/14/19 3:09:01 AM,C,36.387
12/14/19 3:19:01 AM,C,36.387
12/14/19 3:29:01 AM,C,36.325
12/14/19 3:39:01 AM,C,36.325
12/14/19 3:49:01 AM,C,36.325
12/14/19 3:59:01 AM,C,36.325
12/14/19 4:09:01 AM,C,36.325
12/14/19 4:19:01 AM,C,36.262
12/14/19 4:29:01 AM,C,36.262
12/14/19 4:39:01 AM,C,36.2
12/14/19 4:49:01 AM,C,36.2
12/14/19 4:59:01 AM,C,36.2
12/14/19 5:09:01 AM,C,36.2
12/14/19 5:19:01 AM,C,36.2
12/14/19 5:29:01 AM,C,36.2
12/14/19 5:39:01 AM,C,36.2
12/14/19 5:49:01 AM,C,36.2
12/14/19 5:59:01 AM,C,36.2
12/14/19 6:09:01 AM,C,36.138
12/14/19 6:19:01 AM,C,36.138
12/14/19 6:29:01 AM,C,36.138
12/14/19 6:39:01 AM,C,36.075
12/14/19 6:49:01 AM,C,36.138
12/14/19 6:59:01 AM,C,36.138
12/14/19 7:09:01 AM,C,36.138
12/14/19 7:19:01 AM,C,36.138
12/14/19 7:29:01 AM,C,36.138
12/14/19 7:39:01 AM,C,36.138
12/14/19 7:49:01 AM,C,36.138
12/14/19 7:59:01 AM,C,36.138
12/14/19 8:09:01 AM,C,36.2
12/14/19 8:19:01 AM,C,36.2
12/14/19 8:29:01 AM,C,36.2
12/14/19 8:39:01 AM,C,36.138
12/14/19 8:49:01 AM,C,36.138
12/14/19 8:59:01 AM,C,36.138
12/14/19 9:09:01 AM,C,36.138
12/14/19 9:19:01 AM,C,36.138
12/14/19 9:29:01 AM,C,36.138
12/14/19 9:39:01 AM,C,36.2
12/14/19 9:49:01 AM,C,36.2
12/14/19 9:59:01 AM,C,36.138
12/14/19 10:09:01 AM,C,36.138
12/14/19 10:19:01 AM,C,36.075
12/14/19 10:29:01 AM,C,36.138
12/14/19 10:39:01 AM,C,36.075
12/14/19 10:49:01 AM,C,36.075
12/14/19 10:59:01 AM,C,36.013
12/14/19 11:09:01 AM,C,36.013
12/14/19 11:19:01 AM,C,36.013
12/14/19 11:29:01 AM,C,36.013
12/14/19 11:39:01 AM,C,36.075
12/14/19 11:49:01 AM,C,36.138
12/14/19 11:59:01 AM,C,36.2
12/14/19 12:09:01 PM,C,36.2
12/14/19 12:19:01 PM,C,36.2
12/14/19 12:29:01 PM,C,36.262
12/14/19 12:39:01 PM,C,36.262
12/14/19 12:49:01 PM,C,36.262
12/14/19 12:59:01 PM,C,36.2
12/14/19 1:09:01 PM,C,36.138
12/14/19 1:19:01 PM,C,36.075
12/14/19 1:29:01 PM,C,36.075
12/14/19 1:39:01 PM,C,36.075
12/14/19 1:49:01 PM,C,36.138
12/14/19 1:59:01 PM,C,36.138
12/14/19 2:09:01 PM,C,36.2
12/14/19 2:19:01 PM,C,36.262
12/14/19 2:29:01 PM,C,36.262
12/14/19 2:39:01 PM,C,36.262
12/14/19 2:49:01 PM,C,36.262
12/14/19 2:59:01 PM,C,36.262
12/14/19 3:09:01 PM,C,36.2
12/14/19 3:19:01 PM,C,36.2
12/14/19 3:29:01 PM,C,36.138
12/14/19 3:39:01 PM,C,36.138
12/14/19 3:49:01 PM,C,36.138
12/14/19 3:59:01 PM,C,36.138
12/14/19 4:09:01 PM,C,36.138
12/14/19 4:19:01 PM,C,36.138
12/14/19 4:29:01 PM,C,36.138
12/14/19 4:39:01 PM,C,36.2
12/14/19 4:49:01 PM,C,36.262
12/14/19 4:59:01 PM,C,36.262
12/14/19 5:09:01 PM,C,36.262
12/14/19 5:19:01 PM,C,36.262
12/14/19 5:29:01 PM,C,36.262
12/14/19 5:39:01 PM,C,36.262
12/14/19 5:49:01 PM,C,36.262
12/14/19 5:59:01 PM,C,36.262
12/14/19 6:09:01 PM,C,36.2
12/14/19 6:19:01 PM,C,36.2
12/14/19 6:29:01 PM,C,36.2
12/14/19 6:39:01 PM,C,36.2
12/14/19 6:49:01 PM,C,36.2
12/14/19 6:59:01 PM,C,36.2
12/14/19 7:09:01 PM,C,36.138
12/14/19 7:19:01 PM,C,36.138
12/14/19 7:29:01 PM,C,36.138
12/14/19 7:39:01 PM,C,36.138
12/14/19 7:49:01 PM,C,36.138
12/14/19 7:59:01 PM,C,36.138
12/14/19 8:09:01 PM,C,36.138
12/14/19 8:19:01 PM,C,36.138
12/14/19 8:29:01 PM,C,36.138
12/14/19 8:39:01 PM,C,36.2
12/14/19 8:49:01 PM,C,36.138
12/14/19 8:59:01 PM,C,36.138
12/14/19 9:09:01 PM,C,36.138
12/14/19 9:19:01 PM,C,36.075
12/14/19 9:29:01 PM,C,36.075
12/14/19 9:39:01 PM,C,36.138
12/14/19 9:49:01 PM,C,36.138
12/14/19 9:59:01 PM,C,36.138
12/14/19 10:09:01 PM,C,36.138
12/14/19 10:19:01 PM,C,36.138
12/14/19 10:29:01 PM,C,36.075
12/14/19 10:39:01 PM,C,36.075
12/14/19 10:49:01 PM,C,36.075
12/14/19 10:59:01 PM,C,36.075
12/14/19 11:09:01 PM,C,36.013
12/14/19 11:19:01 PM,C,36.013
12/14/19 11:29:01 PM,C,36.013
12/14/19 11:39:01 PM,C,35.951
12/14/19 11:49:01 PM,C,35.888
12/14/19 11:59:01 PM,C,35.826
12/15/19 12:09:01 AM,C,35.763
12/15/19 12:19:01 AM,C,35.701
12/15/19 12:29:01 AM,C,35.639
12/15/19 12:39:01 AM,C,35.514
12/15/19 12:49:01 AM,C,35.451
12/15/19 12:59:01 AM,C,35.389
12/15/19 1:09:01 AM,C,35.327
12/15/19 1:19:01 AM,C,35.264
12/15/19 1:29:01 AM,C,35.202
12/15/19 1:39:01 AM,C,35.14
12/15/19 1:49:01 AM,C,35.077
12/15/19 1:59:01 AM,C,35.077
12/15/19 2:09:01 AM,C,35.015
12/15/19 2:19:01 AM,C,34.952
12/15/19 2:29:01 AM,C,34.89
12/15/19 2:39:01 AM,C,34.89
12/15/19 2:49:01 AM,C,34.828
12/15/19 2:59:01 AM,C,34.828
12/15/19 3:09:01 AM,C,34.703
12/15/19 3:19:01 AM,C,34.703
12/15/19 3:29:01 AM,C,34.64
12/15/19 3:39:01 AM,C,34.578
12/15/19 3:49:01 AM,C,34.516
12/15/19 3:59:01 AM,C,34.453
12/15/19 4:09:01 AM,C,34.391
12/15/19 4:19:01 AM,C,34.329
12/15/19 4:29:01 AM,C,34.204
12/15/19 4:39:01 AM,C,34.141
12/15/19 4:49:01 AM,C,34.079
12/15/19 4:59:01 AM,C,33.954
12/15/19 5:09:01 AM,C,33.892
12/15/19 5:19:01 AM,C,33.829
12/15/19 5:29:01 AM,C,33.705
12/15/19 5:39:01 AM,C,33.642
12/15/19 5:49:01 AM,C,33.58
12/15/19 5:59:01 AM,C,33.517
12/15/19 6:09:01 AM,C,33.455
12/15/19 6:19:01 AM,C,33.393
12/15/19 6:29:01 AM,C,33.33
12/15/19 6:39:01 AM,C,33.205
12/15/19 6:49:01 AM,C,33.205
12/15/19 6:59:01 AM,C,33.143
12/15/19 7:09:01 AM,C,33.08
12/15/19 7:19:01 AM,C,32.893
12/15/19 7:29:01 AM,C,32.893
12/15/19 7:39:01 AM,C,32.831
12/15/19 7:49:01 AM,C,32.706
12/15/19 7:59:01 AM,C,32.706
12/15/19 8:09:01 AM,C,32.706
12/15/19 8:19:01 AM,C,32.644
12/15/19 8:29:01 AM,C,32.644
12/15/19 8:39:01 AM,C,32.581
12/15/19 8:49:01 AM,C,32.581
12/15/19 8:59:01 AM,C,32.581
12/15/19 9:09:01 AM,C,32.581
12/15/19 9:19:01 AM,C,32.519
12/15/19 9:29:01 AM,C,32.456
12/15/19 9:39:01 AM,C,32.456
12/15/19 9:49:01 AM,C,32.456
12/15/19 9:59:01 AM,C,32.394
12/15/19 10:09:01 AM,C,32.394
12/15/19 10:19:01 AM,C,32.394
12/15/19 10:29:01 AM,C,32.394
12/15/19 10:39:01 AM,C,32.394
12/15/19 10:49:01 AM,C,32.394
12/15/19 10:59:01 AM,C,32.332
12/15/19 11:09:01 AM,C,32.332
12/15/19 11:19:01 AM,C,32.332
12/15/19 11:29:01 AM,C,32.332
12/15/19 11:39:01 AM,C,32.269
12/15/19 11:49:01 AM,C,32.269
12/15/19 11:59:01 AM,C,32.332
12/15/19 12:09:01 PM,C,32.332
12/15/19 12:19:01 PM,C,32.269
12/15/19 12:29:01 PM,C,32.207
12/15/19 12:39:01 PM,C,32.207
12/15/19 12:49:01 PM,C,32.207
12/15/19 12:59:01 PM,C,32.144
12/15/19 1:09:01 PM,C,32.144
12/15/19 1:19:01 PM,C,32.144
12/15/19 1:29:01 PM,C,32.144
12/15/19 1:39:01 PM,C,32.144
12/15/19 1:49:01 PM,C,32.082
12/15/19 1:59:01 PM,C,32.082
12/15/19 2:09:01 PM,C,32.082
12/15/19 2:19:01 PM,C,32.082
12/15/19 2:29:01 PM,C,32.082
12/15/19 2:39:01 PM,C,32.082
12/15/19 2:49:01 PM,C,32.082
12/15/19 2:59:01 PM,C,32.019
12/15/19 3:09:01 PM,C,32.019
12/15/19 3:19:01 PM,C,31.957
12/15/19 3:29:01 PM,C,32.019
12/15/19 3:39:01 PM,C,31.957
12/15/19 3:49:01 PM,C,31.957
12/15/19 3:59:01 PM,C,31.957
12/15/19 4:09:01 PM,C,31.957
12/15/19 4:19:01 PM,C,31.957
12/15/19 4:29:01 PM,C,31.957
12/15/19 4:39:01 PM,C,31.895
12/15/19 4:49:01 PM,C,31.895
12/15/19 4:59:01 PM,C,31.895
12/15/19 5:09:01 PM,C,31.832
12/15/19 5:19:01 PM,C,31.832
12/15/19 5:29:01 PM,C,31.832
12/15/19 5:39:01 PM,C,31.77
12/15/19 5:49:01 PM,C,31.707
12/15/19 5:59:01 PM,C,31.77
12/15/19 6:09:01 PM,C,31.707
12/15/19 6:19:01 PM,C,31.645
12/15/19 6:29:01 PM,C,31.645
12/15/19 6:39:01 PM,C,31.645
12/15/19 6:49:01 PM,C,31.645
12/15/19 6:59:01 PM,C,31.645
12/15/19 7:09:01 PM,C,31.52
12/15/19 7:19:01 PM,C,31.52
12/15/19 7:29:01 PM,C,31.52
12/15/19 7:39:01 PM,C,31.52
12/15/19 7:49:01 PM,C,31.458
12/15/19 7:59:01 PM,C,31.458
12/15/19 8:09:01 PM,C,31.52
12/15/19 8:19:01 PM,C,31.458
12/15/19 8:29:01 PM,C,31.395
12/15/19 8:39:01 PM,C,31.395
12/15/19 8:49:01 PM,C,31.395
12/15/19 8:59:01 PM,C,31.395
12/15/19 9:09:01 PM,C,31.333
12/15/19 9:19:01 PM,C,31.333
12/15/19 9:29:01 PM,C,31.333
12/15/19 9:39:01 PM,C,31.333
12/15/19 9:49:01 PM,C,31.333
12/15/19 9:59:01 PM,C,31.333
12/15/19 10:09:01 PM,C,31.27
12/15/19 10:19:01 PM,C,31.27
12/15/19 10:29:01 PM,C,31.27
12/15/19 10:39:01 PM,C,31.27
12/15/19 10:49:01 PM,C,31.27
12/15/19 10:59:01 PM,C,31.27
12/15/19 11:09:01 PM,C,31.208
12/15/19 11:19:01 PM,C,31.208
12/15/19 11:29:01 PM,C,31.208
12/15/19 11:39:01 PM,C,31.208
12/15/19 11:49:01 PM,C,31.208
12/15/19 11:59:01 PM,C,31.145
12/16/19 12:09:01 AM,C,31.145
12/16/19 12:19:01 AM,C,31.145
12/16/19 12:29:01 AM,C,31.145
12/16/19 12:39:01 AM,C,31.145
12/16/19 12:49:01 AM,C,31.145
12/16/19 12:59:01 AM,C,31.145
12/16/19 1:09:01 AM,C,31.083
12/16/19 1:19:01 AM,C,31.083
12/16/19 1:29:01 AM,C,31.083
12/16/19 1:39:01 AM,C,31.083
12/16/19 1:49:01 AM,C,31.083
12/16/19 1:59:01 AM,C,31.021
12/16/19 2:09:01 AM,C,31.021
12/16/19 2:19:01 AM,C,31.021
12/16/19 2:29:01 AM,C,31.021
12/16/19 2:39:01 AM,C,31.021
12/16/19 2:49:01 AM,C,31.021
12/16/19 2:59:01 AM,C,30.958
12/16/19 3:09:01 AM,C,30.958
12/16/19 3:19:01 AM,C,30.958
12/16/19 3:29:01 AM,C,30.958
12/16/19 3:39:01 AM,C,30.958
12/16/19 3:49:01 AM,C,30.958
12/16/19 3:59:01 AM,C,30.958
12/16/19 4:09:01 AM,C,30.896
12/16/19 4:19:01 AM,C,30.896
12/16/19 4:29:01 AM,C,30.958
12/16/19 4:39:01 AM,C,30.896
12/16/19 4:49:01 AM,C,30.896
12/16/19 4:59:01 AM,C,30.958
12/16/19 5:09:01 AM,C,30.896
12/16/19 5:19:01 AM,C,30.896
12/16/19 5:29:01 AM,C,30.896
12/16/19 5:39:01 AM,C,30.896
12/16/19 5:49:01 AM,C,30.896
12/16/19 5:59:01 AM,C,30.896
12/16/19 6:09:01 AM,C,30.833
12/16/19 6:19:01 AM,C,30.896
12/16/19 6:29:01 AM,C,30.833
12/16/19 6:39:01 AM,C,30.833
12/16/19 6:49:01 AM,C,30.833
12/16/19 6:59:01 AM,C,30.896
12/16/19 7:09:01 AM,C,30.833
12/16/19 7:19:01 AM,C,30.833
12/16/19 7:29:01 AM,C,30.896
12/16/19 7:39:01 AM,C,30.833
12/16/19 7:49:01 AM,C,30.833
12/16/19 7:59:01 AM,C,30.833
12/16/19 8:09:01 AM,C,30.833
12/16/19 8:19:01 AM,C,30.833
12/16/19 8:29:01 AM,C,30.833
12/16/19 8:39:01 AM,C,30.833
12/16/19 8:49:01 AM,C,30.833
12/16/19 8:59:01 AM,C,30.771
12/16/19 9:09:01 AM,C,30.771
12/16/19 9:19:01 AM,C,30.833
12/16/19 9:29:01 AM,C,30.833
12/16/19 9:39:01 AM,C,30.833
12/16/19 9:49:01 AM,C,30.833
12/16/19 9:59:01 AM,C,30.896
12/16/19 10:09:01 AM,C,30.833
12/16/19 10:19:01 AM,C,30.833
12/16/19 10:29:01 AM,C,30.833
12/16/19 10:39:01 AM,C,30.896
12/16/19 10:49:01 AM,C,30.896
12/16/19 10:59:01 AM,C,30.958
12/16/19 11:09:01 AM,C,30.896
12/16/19 11:19:01 AM,C,30.396
12/16/19 11:29:01 AM,C,30.334
12/16/19 11:39:01 AM,C,30.521
12/16/19 11:49:01 AM,C,30.771
12/16/19 11:59:01 AM,C,30.958
12/16/19 12:09:01 PM,C,31.145
12/16/19 12:19:01 PM,C,31.27
12/16/19 12:29:01 PM,C,31.458
12/16/19 12:39:01 PM,C,31.582
12/16/19 12:49:01 PM,C,31.707
12/16/19 12:59:01 PM,C,31.832
12/16/19 1:09:01 PM,C,31.957
12/16/19 1:19:01 PM,C,32.082
12/16/19 1:29:01 PM,C,32.207
12/16/19 1:39:01 PM,C,32.332
12/16/19 1:49:01 PM,C,32.456
12/16/19 1:59:01 PM,C,32.519
12/16/19 2:09:01 PM,C,32.644
12/16/19 2:19:01 PM,C,32.706
12/16/19 2:29:01 PM,C,32.831
12/16/19 2:39:01 PM,C,32.831
12/16/19 2:49:01 PM,C,32.893
12/16/19 2:59:01 PM,C,32.956
12/16/19 3:09:01 PM,C,33.018
12/16/19 3:19:01 PM,C,33.08
12/16/19 3:29:01 PM,C,33.143
12/16/19 3:39:01 PM,C,33.205
12/16/19 3:49:01 PM,C,33.268
12/16/19 3:59:01 PM,C,33.268
12/16/19 4:09:01 PM,C,33.33
12/16/19 4:19:01 PM,C,33.393
12/16/19 4:29:01 PM,C,33.393
12/16/19 4:39:01 PM,C,33.393
12/16/19 4:49:01 PM,C,33.455
12/16/19 4:59:01 PM,C,33.455
12/16/19 5:09:01 PM,C,33.455
12/16/19 5:19:01 PM,C,33.455
12/16/19 5:29:01 PM,C,33.455
12/16/19 5:39:01 PM,C,33.455
12/16/19 5:49:01 PM,C,33.455
12/16/19 5:59:01 PM,C,33.455
12/16/19 6:09:01 PM,C,33.455
12/16/19 6:19:01 PM,C,33.393
12/16/19 6:29:01 PM,C,33.33
12/16/19 6:39:01 PM,C,33.33
12/16/19 6:49:01 PM,C,33.33
12/16/19 6:59:01 PM,C,33.268
12/16/19 7:09:01 PM,C,33.268
12/16/19 7:19:01 PM,C,33.268
