1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: EC0000005EF8C441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:46:01 PST 2019
Mission Sample Count:  1294
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:46:01 PST 2019
Total Mission Samples:  1294
Total Device Samples:  6925
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:46:01 PM,C,23.152
12/12/19 1:56:01 PM,C,23.09
12/12/19 2:06:01 PM,C,22.902
12/12/19 2:16:01 PM,C,22.84
12/12/19 2:26:01 PM,C,22.84
12/12/19 2:36:01 PM,C,22.84
12/12/19 2:46:01 PM,C,22.84
12/12/19 2:56:01 PM,C,22.84
12/12/19 3:06:01 PM,C,22.902
12/12/19 3:16:01 PM,C,22.902
12/12/19 3:26:01 PM,C,22.902
12/12/19 3:36:01 PM,C,22.589
12/12/19 3:46:01 PM,C,23.402
12/12/19 3:56:01 PM,C,23.152
12/12/19 4:06:01 PM,C,23.09
12/12/19 4:16:01 PM,C,23.027
12/12/19 4:26:01 PM,C,23.027
12/12/19 4:36:01 PM,C,22.965
12/12/19 4:46:01 PM,C,22.902
12/12/19 4:56:01 PM,C,22.777
12/12/19 5:06:01 PM,C,22.714
12/12/19 5:16:01 PM,C,22.714
12/12/19 5:26:01 PM,C,22.652
12/12/19 5:36:01 PM,C,22.652
12/12/19 5:46:01 PM,C,22.589
12/12/19 5:56:01 PM,C,22.527
12/12/19 6:06:01 PM,C,22.527
12/12/19 6:16:01 PM,C,22.464
12/12/19 6:26:01 PM,C,21.464
12/12/19 6:36:01 PM,C,21.839
12/12/19 6:46:01 PM,C,22.027
12/12/19 6:56:01 PM,C,22.152
12/12/19 7:06:01 PM,C,22.214
12/12/19 7:16:01 PM,C,22.277
12/12/19 7:26:01 PM,C,22.84
12/12/19 7:36:01 PM,C,23.59
12/12/19 7:46:01 PM,C,24.402
12/12/19 7:56:01 PM,C,25.09
12/12/19 8:06:01 PM,C,25.715
12/12/19 8:16:01 PM,C,26.277
12/12/19 8:26:01 PM,C,26.715
12/12/19 8:36:01 PM,C,27.152
12/12/19 8:46:01 PM,C,27.465
12/12/19 8:56:01 PM,C,27.777
12/12/19 9:06:01 PM,C,27.964
12/12/19 9:16:01 PM,C,28.214
12/12/19 9:26:01 PM,C,28.402
12/12/19 9:36:01 PM,C,28.527
12/12/19 9:46:01 PM,C,28.652
12/12/19 9:56:01 PM,C,28.777
12/12/19 10:06:01 PM,C,28.902
12/12/19 10:16:01 PM,C,29.027
12/12/19 10:26:01 PM,C,29.089
12/12/19 10:36:01 PM,C,29.151
12/12/19 10:46:01 PM,C,29.214
12/12/19 10:56:01 PM,C,29.214
12/12/19 11:06:01 PM,C,29.276
12/12/19 11:16:01 PM,C,29.276
12/12/19 11:26:01 PM,C,29.339
12/12/19 11:36:01 PM,C,29.339
12/12/19 11:46:01 PM,C,29.401
12/12/19 11:56:01 PM,C,29.401
12/13/19 12:06:01 AM,C,29.401
12/13/19 12:16:01 AM,C,29.401
12/13/19 12:26:01 AM,C,29.401
12/13/19 12:36:01 AM,C,29.464
12/13/19 12:46:01 AM,C,29.464
