1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9500000069ABD541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:47:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:47:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  7178
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:47:01 PM,C,23.179
12/12/19 1:57:01 PM,C,22.991
12/12/19 2:07:01 PM,C,22.929
12/12/19 2:17:01 PM,C,22.866
12/12/19 2:27:01 PM,C,22.866
12/12/19 2:37:01 PM,C,22.866
12/12/19 2:47:01 PM,C,22.866
12/12/19 2:57:01 PM,C,22.866
12/12/19 3:07:01 PM,C,22.866
12/12/19 3:17:01 PM,C,22.866
12/12/19 3:27:01 PM,C,22.929
12/12/19 3:37:01 PM,C,23.116
12/12/19 3:47:01 PM,C,23.491
12/12/19 3:57:01 PM,C,23.054
12/12/19 4:07:01 PM,C,22.929
12/12/19 4:17:01 PM,C,22.803
12/12/19 4:27:01 PM,C,22.803
12/12/19 4:37:01 PM,C,22.803
12/12/19 4:47:01 PM,C,22.803
12/12/19 4:57:01 PM,C,22.803
12/12/19 5:07:01 PM,C,22.803
12/12/19 5:17:01 PM,C,22.741
12/12/19 5:27:01 PM,C,22.741
12/12/19 5:37:01 PM,C,22.741
12/12/19 5:47:01 PM,C,22.678
12/12/19 5:57:01 PM,C,22.678
12/12/19 6:07:01 PM,C,22.678
12/12/19 6:17:01 PM,C,22.616
12/12/19 6:27:01 PM,C,23.054
12/12/19 6:37:01 PM,C,23.116
12/12/19 6:47:01 PM,C,22.991
12/12/19 6:57:01 PM,C,21.802
12/12/19 7:07:01 PM,C,22.303
12/12/19 7:17:01 PM,C,23.304
12/12/19 7:27:01 PM,C,24.242
12/12/19 7:37:01 PM,C,24.992
12/12/19 7:47:01 PM,C,25.555
12/12/19 7:57:01 PM,C,26.117
12/12/19 8:07:01 PM,C,26.492
12/12/19 8:17:01 PM,C,26.805
12/12/19 8:27:01 PM,C,27.117
12/12/19 8:37:01 PM,C,27.367
12/12/19 8:47:01 PM,C,27.617
12/12/19 8:57:01 PM,C,27.742
12/12/19 9:07:01 PM,C,27.929
12/12/19 9:17:01 PM,C,28.054
12/12/19 9:27:01 PM,C,28.241
12/12/19 9:37:01 PM,C,28.366
12/12/19 9:47:01 PM,C,28.491
12/12/19 9:57:01 PM,C,28.554
12/12/19 10:07:01 PM,C,28.616
12/12/19 10:17:01 PM,C,28.679
12/12/19 10:27:01 PM,C,28.679
12/12/19 10:37:01 PM,C,28.679
12/12/19 10:47:01 PM,C,28.679
12/12/19 10:57:01 PM,C,28.741
12/12/19 11:07:01 PM,C,28.741
12/12/19 11:17:01 PM,C,28.741
12/12/19 11:27:01 PM,C,28.741
12/12/19 11:37:01 PM,C,28.804
12/12/19 11:47:01 PM,C,28.866
12/12/19 11:57:01 PM,C,28.928
12/13/19 12:07:01 AM,C,28.991
12/13/19 12:17:01 AM,C,29.053
12/13/19 12:27:01 AM,C,29.116
12/13/19 12:37:01 AM,C,29.116
12/13/19 12:47:01 AM,C,29.116
12/13/19 12:57:01 AM,C,29.116
12/13/19 1:07:01 AM,C,29.053
12/13/19 1:17:01 AM,C,28.991
12/13/19 1:27:01 AM,C,28.928
12/13/19 1:37:01 AM,C,28.866
12/13/19 1:47:01 AM,C,28.804
12/13/19 1:57:01 AM,C,28.741
12/13/19 2:07:01 AM,C,28.679
12/13/19 2:17:01 AM,C,28.679
12/13/19 2:27:01 AM,C,28.679
12/13/19 2:37:01 AM,C,28.679
12/13/19 2:47:01 AM,C,28.679
12/13/19 2:57:01 AM,C,28.679
12/13/19 3:07:01 AM,C,28.679
12/13/19 3:17:01 AM,C,28.741
12/13/19 3:27:01 AM,C,28.741
12/13/19 3:37:01 AM,C,28.741
12/13/19 3:47:01 AM,C,28.804
12/13/19 3:57:01 AM,C,28.866
12/13/19 4:07:01 AM,C,28.866
12/13/19 4:17:01 AM,C,28.928
12/13/19 4:27:01 AM,C,28.991
12/13/19 4:37:01 AM,C,29.053
12/13/19 4:47:01 AM,C,29.116
12/13/19 4:57:01 AM,C,29.178
12/13/19 5:07:01 AM,C,29.303
12/13/19 5:17:01 AM,C,29.366
12/13/19 5:27:01 AM,C,29.428
12/13/19 5:37:01 AM,C,29.553
12/13/19 5:47:01 AM,C,29.615
12/13/19 5:57:01 AM,C,29.74
12/13/19 6:07:01 AM,C,29.865
12/13/19 6:17:01 AM,C,29.927
12/13/19 6:27:01 AM,C,30.052
12/13/19 6:37:01 AM,C,30.177
12/13/19 6:47:01 AM,C,30.24
12/13/19 6:57:01 AM,C,30.302
12/13/19 7:07:01 AM,C,30.364
12/13/19 7:17:01 AM,C,30.427
12/13/19 7:27:01 AM,C,30.489
12/13/19 7:37:01 AM,C,30.614
12/13/19 7:47:01 AM,C,30.677
12/13/19 7:57:01 AM,C,30.739
12/13/19 8:07:01 AM,C,30.801
12/13/19 8:17:01 AM,C,30.864
12/13/19 8:27:01 AM,C,30.926
12/13/19 8:37:01 AM,C,31.051
12/13/19 8:47:01 AM,C,31.176
12/13/19 8:57:01 AM,C,31.301
12/13/19 9:07:01 AM,C,31.425
12/13/19 9:17:01 AM,C,31.613
12/13/19 9:27:01 AM,C,31.8
12/13/19 9:37:01 AM,C,31.987
12/13/19 9:47:01 AM,C,32.174
12/13/19 9:57:01 AM,C,32.424
12/13/19 10:07:01 AM,C,32.611
12/13/19 10:17:01 AM,C,32.86
12/13/19 10:27:01 AM,C,33.11
12/13/19 10:37:01 AM,C,33.297
12/13/19 10:47:01 AM,C,33.484
12/13/19 10:57:01 AM,C,33.671
12/13/19 11:07:01 AM,C,33.858
12/13/19 11:17:01 AM,C,34.046
12/13/19 11:27:01 AM,C,34.295
12/13/19 11:37:01 AM,C,34.482
12/13/19 11:47:01 AM,C,34.669
12/13/19 11:57:01 AM,C,34.856
12/13/19 12:07:01 PM,C,35.106
12/13/19 12:17:01 PM,C,35.293
12/13/19 12:27:01 PM,C,35.48
12/13/19 12:37:01 PM,C,35.604
12/13/19 12:47:01 PM,C,35.791
12/13/19 12:57:01 PM,C,35.978
12/13/19 1:07:01 PM,C,36.103
12/13/19 1:17:01 PM,C,36.228
12/13/19 1:27:01 PM,C,36.414
12/13/19 1:37:01 PM,C,36.539
12/13/19 1:47:01 PM,C,36.664
12/13/19 1:57:01 PM,C,36.788
12/13/19 2:07:01 PM,C,36.851
12/13/19 2:17:01 PM,C,36.975
12/13/19 2:27:01 PM,C,37.1
12/13/19 2:37:01 PM,C,37.225
12/13/19 2:47:01 PM,C,37.349
12/13/19 2:57:01 PM,C,37.474
12/13/19 3:07:01 PM,C,37.536
12/13/19 3:17:01 PM,C,37.661
12/13/19 3:27:01 PM,C,37.723
12/13/19 3:37:01 PM,C,37.848
12/13/19 3:47:01 PM,C,37.91
12/13/19 3:57:01 PM,C,37.972
12/13/19 4:07:01 PM,C,37.972
12/13/19 4:17:01 PM,C,38.034
12/13/19 4:27:01 PM,C,38.097
12/13/19 4:37:01 PM,C,38.159
12/13/19 4:47:01 PM,C,38.159
12/13/19 4:57:01 PM,C,38.221
12/13/19 5:07:01 PM,C,38.221
12/13/19 5:17:01 PM,C,38.284
12/13/19 5:27:01 PM,C,38.284
12/13/19 5:37:01 PM,C,38.284
12/13/19 5:47:01 PM,C,38.284
12/13/19 5:57:01 PM,C,38.346
12/13/19 6:07:01 PM,C,38.346
12/13/19 6:17:01 PM,C,38.284
12/13/19 6:27:01 PM,C,38.284
12/13/19 6:37:01 PM,C,38.221
12/13/19 6:47:01 PM,C,38.221
12/13/19 6:57:01 PM,C,38.221
12/13/19 7:07:01 PM,C,38.221
12/13/19 7:17:01 PM,C,38.221
12/13/19 7:27:01 PM,C,38.159
12/13/19 7:37:01 PM,C,38.159
12/13/19 7:47:01 PM,C,38.097
12/13/19 7:57:01 PM,C,37.91
12/13/19 8:07:01 PM,C,37.848
12/13/19 8:17:01 PM,C,37.848
12/13/19 8:27:01 PM,C,37.723
12/13/19 8:37:01 PM,C,37.723
12/13/19 8:47:01 PM,C,37.661
12/13/19 8:57:01 PM,C,37.661
12/13/19 9:07:01 PM,C,37.661
12/13/19 9:17:01 PM,C,37.598
12/13/19 9:27:01 PM,C,37.598
12/13/19 9:37:01 PM,C,37.536
12/13/19 9:47:01 PM,C,37.474
12/13/19 9:57:01 PM,C,37.474
12/13/19 10:07:01 PM,C,37.474
12/13/19 10:17:01 PM,C,37.411
12/13/19 10:27:01 PM,C,37.411
12/13/19 10:37:01 PM,C,37.411
12/13/19 10:47:01 PM,C,37.349
12/13/19 10:57:01 PM,C,37.349
12/13/19 11:07:01 PM,C,37.349
12/13/19 11:17:01 PM,C,37.287
12/13/19 11:27:01 PM,C,37.225
12/13/19 11:37:01 PM,C,37.225
12/13/19 11:47:01 PM,C,37.1
12/13/19 11:57:01 PM,C,37.1
12/14/19 12:07:01 AM,C,37.038
12/14/19 12:17:01 AM,C,36.975
12/14/19 12:27:01 AM,C,36.913
12/14/19 12:37:01 AM,C,36.913
12/14/19 12:47:01 AM,C,36.851
12/14/19 12:57:01 AM,C,36.851
12/14/19 1:07:01 AM,C,36.788
12/14/19 1:17:01 AM,C,36.726
12/14/19 1:27:01 AM,C,36.664
12/14/19 1:37:01 AM,C,36.601
12/14/19 1:47:01 AM,C,36.539
12/14/19 1:57:01 AM,C,36.477
12/14/19 2:07:01 AM,C,36.477
12/14/19 2:17:01 AM,C,36.414
12/14/19 2:27:01 AM,C,36.352
12/14/19 2:37:01 AM,C,36.352
12/14/19 2:47:01 AM,C,36.29
12/14/19 2:57:01 AM,C,36.29
12/14/19 3:07:01 AM,C,36.29
12/14/19 3:17:01 AM,C,36.29
12/14/19 3:27:01 AM,C,36.228
12/14/19 3:37:01 AM,C,36.29
12/14/19 3:47:01 AM,C,36.29
12/14/19 3:57:01 AM,C,36.29
12/14/19 4:07:01 AM,C,36.228
12/14/19 4:17:01 AM,C,36.228
12/14/19 4:27:01 AM,C,36.165
12/14/19 4:37:01 AM,C,36.165
12/14/19 4:47:01 AM,C,36.165
12/14/19 4:57:01 AM,C,36.165
12/14/19 5:07:01 AM,C,36.165
12/14/19 5:17:01 AM,C,36.165
12/14/19 5:27:01 AM,C,36.165
12/14/19 5:37:01 AM,C,36.165
12/14/19 5:47:01 AM,C,36.165
12/14/19 5:57:01 AM,C,36.165
12/14/19 6:07:01 AM,C,36.103
12/14/19 6:17:01 AM,C,36.103
12/14/19 6:27:01 AM,C,36.103
12/14/19 6:37:01 AM,C,36.103
12/14/19 6:47:01 AM,C,36.103
12/14/19 6:57:01 AM,C,36.041
12/14/19 7:07:01 AM,C,36.041
12/14/19 7:17:01 AM,C,36.041
12/14/19 7:27:01 AM,C,36.103
12/14/19 7:37:01 AM,C,36.041
12/14/19 7:47:01 AM,C,36.041
12/14/19 7:57:01 AM,C,36.041
12/14/19 8:07:01 AM,C,35.978
12/14/19 8:17:01 AM,C,35.916
12/14/19 8:27:01 AM,C,35.916
12/14/19 8:37:01 AM,C,35.916
12/14/19 8:47:01 AM,C,35.916
12/14/19 8:57:01 AM,C,35.854
12/14/19 9:07:01 AM,C,35.854
12/14/19 9:17:01 AM,C,35.791
12/14/19 9:27:01 AM,C,35.854
12/14/19 9:37:01 AM,C,35.854
12/14/19 9:47:01 AM,C,35.791
12/14/19 9:57:01 AM,C,35.791
12/14/19 10:07:01 AM,C,35.791
12/14/19 10:17:01 AM,C,35.791
12/14/19 10:27:01 AM,C,35.791
12/14/19 10:37:01 AM,C,35.791
12/14/19 10:47:01 AM,C,35.729
12/14/19 10:57:01 AM,C,35.729
12/14/19 11:07:01 AM,C,35.729
12/14/19 11:17:01 AM,C,35.667
12/14/19 11:27:01 AM,C,35.667
12/14/19 11:37:01 AM,C,35.667
12/14/19 11:47:01 AM,C,35.667
12/14/19 11:57:01 AM,C,35.604
12/14/19 12:07:01 PM,C,35.604
12/14/19 12:17:01 PM,C,35.542
12/14/19 12:27:01 PM,C,35.542
12/14/19 12:37:01 PM,C,35.542
12/14/19 12:47:01 PM,C,35.542
12/14/19 12:57:01 PM,C,35.542
12/14/19 1:07:01 PM,C,35.542
12/14/19 1:17:01 PM,C,35.542
12/14/19 1:27:01 PM,C,35.542
12/14/19 1:37:01 PM,C,35.542
12/14/19 1:47:01 PM,C,35.542
12/14/19 1:57:01 PM,C,35.604
12/14/19 2:07:01 PM,C,35.604
12/14/19 2:17:01 PM,C,35.667
12/14/19 2:27:01 PM,C,35.604
12/14/19 2:37:01 PM,C,35.604
12/14/19 2:47:01 PM,C,35.604
12/14/19 2:57:01 PM,C,35.604
12/14/19 3:07:01 PM,C,35.604
12/14/19 3:17:01 PM,C,35.604
12/14/19 3:27:01 PM,C,35.667
12/14/19 3:37:01 PM,C,35.667
12/14/19 3:47:01 PM,C,35.667
12/14/19 3:57:01 PM,C,35.667
12/14/19 4:07:01 PM,C,35.667
