1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 640000005EF48041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Dec 12 13:54:01 PST 2019
Mission Sample Count:  1293
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Dec 12 13:54:01 PST 2019
Total Mission Samples:  1293
Total Device Samples:  5318
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/12/19 1:54:01 PM,C,23.105
12/12/19 2:04:01 PM,C,22.855
12/12/19 2:14:01 PM,C,22.855
12/12/19 2:24:01 PM,C,22.855
12/12/19 2:34:01 PM,C,22.855
12/12/19 2:44:01 PM,C,22.855
12/12/19 2:54:01 PM,C,22.855
12/12/19 3:04:01 PM,C,22.855
12/12/19 3:14:01 PM,C,22.855
12/12/19 3:24:01 PM,C,22.855
12/12/19 3:34:01 PM,C,22.855
12/12/19 3:44:01 PM,C,23.23
12/12/19 3:54:01 PM,C,23.042
12/12/19 4:04:01 PM,C,22.917
12/12/19 4:14:01 PM,C,22.855
12/12/19 4:24:01 PM,C,22.855
12/12/19 4:34:01 PM,C,22.855
12/12/19 4:44:01 PM,C,22.792
12/12/19 4:54:01 PM,C,22.73
12/12/19 5:04:01 PM,C,22.73
12/12/19 5:14:01 PM,C,22.667
12/12/19 5:24:01 PM,C,22.667
12/12/19 5:34:01 PM,C,22.667
12/12/19 5:44:01 PM,C,22.605
12/12/19 5:54:01 PM,C,22.605
12/12/19 6:04:01 PM,C,22.542
12/12/19 6:14:01 PM,C,22.542
12/12/19 6:24:01 PM,C,21.166
12/12/19 6:34:01 PM,C,21.667
12/12/19 6:44:01 PM,C,21.917
12/12/19 6:54:01 PM,C,21.979
12/12/19 7:04:01 PM,C,22.042
12/12/19 7:14:01 PM,C,22.229
12/12/19 7:24:01 PM,C,22.667
12/12/19 7:34:01 PM,C,23.23
12/12/19 7:44:01 PM,C,23.73
12/12/19 7:54:01 PM,C,24.23
12/12/19 8:04:01 PM,C,24.668
12/12/19 8:14:01 PM,C,25.105
12/12/19 8:24:01 PM,C,25.48
12/12/19 8:34:01 PM,C,25.793
12/12/19 8:44:01 PM,C,26.043
12/12/19 8:54:01 PM,C,26.355
12/12/19 9:04:01 PM,C,26.543
12/12/19 9:14:01 PM,C,26.73
12/12/19 9:24:01 PM,C,26.918
12/12/19 9:34:01 PM,C,27.105
12/12/19 9:44:01 PM,C,27.23
12/12/19 9:54:01 PM,C,27.355
12/12/19 10:04:01 PM,C,27.48
12/12/19 10:14:01 PM,C,27.543
12/12/19 10:24:01 PM,C,27.668
12/12/19 10:34:01 PM,C,27.73
12/12/19 10:44:01 PM,C,27.855
12/12/19 10:54:01 PM,C,27.918
12/12/19 11:04:01 PM,C,27.98
