1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: EC0000005EF8C441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:32:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:32:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  5631
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:32:01 PM,C,23.027
12/4/19 4:42:01 PM,C,22.965
12/4/19 4:52:01 PM,C,22.777
12/4/19 5:02:01 PM,C,18.9
12/4/19 5:12:01 PM,C,17.962
12/4/19 5:22:01 PM,C,18.15
12/4/19 5:32:01 PM,C,18.462
12/4/19 5:42:01 PM,C,18.9
12/4/19 5:52:01 PM,C,19.275
12/4/19 6:02:01 PM,C,19.463
12/4/19 6:12:01 PM,C,19.651
12/4/19 6:22:01 PM,C,20.401
12/4/19 6:32:01 PM,C,21.151
12/4/19 6:42:01 PM,C,21.902
12/4/19 6:52:01 PM,C,22.527
12/4/19 7:02:01 PM,C,23.09
12/4/19 7:12:01 PM,C,23.59
12/4/19 7:22:01 PM,C,24.027
12/4/19 7:32:01 PM,C,24.465
12/4/19 7:42:01 PM,C,24.777
12/4/19 7:52:01 PM,C,25.09
12/4/19 8:02:01 PM,C,25.402
12/4/19 8:12:01 PM,C,25.652
12/4/19 8:22:01 PM,C,25.84
12/4/19 8:32:01 PM,C,26.027
12/4/19 8:42:01 PM,C,26.215
12/4/19 8:52:01 PM,C,26.34
12/4/19 9:02:01 PM,C,26.465
12/4/19 9:12:01 PM,C,26.59
12/4/19 9:22:01 PM,C,26.652
12/4/19 9:32:01 PM,C,26.777
12/4/19 9:42:01 PM,C,26.84
12/4/19 9:52:01 PM,C,26.902
12/4/19 10:02:01 PM,C,27.027
12/4/19 10:12:01 PM,C,27.027
12/4/19 10:22:01 PM,C,27.09
12/4/19 10:32:01 PM,C,27.152
12/4/19 10:42:01 PM,C,27.215
12/4/19 10:52:01 PM,C,27.215
12/4/19 11:02:01 PM,C,27.277
12/4/19 11:12:01 PM,C,27.34
12/4/19 11:22:01 PM,C,27.34
12/4/19 11:32:01 PM,C,27.402
12/4/19 11:42:01 PM,C,27.402
12/4/19 11:52:01 PM,C,27.465
12/5/19 12:02:01 AM,C,27.465
12/5/19 12:12:01 AM,C,27.527
12/5/19 12:22:01 AM,C,27.59
12/5/19 12:32:01 AM,C,27.59
12/5/19 12:42:01 AM,C,27.652
12/5/19 12:52:01 AM,C,27.652
12/5/19 1:02:01 AM,C,27.714
12/5/19 1:12:01 AM,C,27.714
12/5/19 1:22:01 AM,C,27.777
12/5/19 1:32:01 AM,C,27.777
12/5/19 1:42:01 AM,C,27.777
12/5/19 1:52:01 AM,C,27.839
12/5/19 2:02:01 AM,C,27.839
12/5/19 2:12:01 AM,C,27.839
12/5/19 2:22:01 AM,C,27.902
12/5/19 2:32:01 AM,C,27.902
12/5/19 2:42:01 AM,C,27.902
12/5/19 2:52:01 AM,C,27.902
12/5/19 3:02:01 AM,C,27.964
12/5/19 3:12:01 AM,C,27.964
12/5/19 3:22:01 AM,C,27.964
12/5/19 3:32:01 AM,C,27.964
12/5/19 3:42:01 AM,C,27.964
12/5/19 3:52:01 AM,C,27.964
12/5/19 4:02:01 AM,C,28.027
12/5/19 4:12:01 AM,C,28.027
