1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5C0000005868BD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:32:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:32:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  8407
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:32:01 PM,C,22.21
12/4/19 4:42:01 PM,C,22.21
12/4/19 4:52:01 PM,C,16.829
12/4/19 5:02:01 PM,C,13.635
12/4/19 5:12:01 PM,C,13.948
12/4/19 5:22:01 PM,C,14.7
12/4/19 5:32:01 PM,C,15.451
12/4/19 5:42:01 PM,C,16.202
12/4/19 5:52:01 PM,C,16.954
12/4/19 6:02:01 PM,C,17.768
12/4/19 6:12:01 PM,C,18.393
12/4/19 6:22:01 PM,C,18.894
12/4/19 6:32:01 PM,C,19.708
12/4/19 6:42:01 PM,C,20.896
12/4/19 6:52:01 PM,C,22.022
12/4/19 7:02:01 PM,C,23.085
12/4/19 7:12:01 PM,C,23.898
12/4/19 7:22:01 PM,C,24.648
12/4/19 7:32:01 PM,C,25.336
12/4/19 7:42:01 PM,C,25.898
12/4/19 7:52:01 PM,C,26.398
12/4/19 8:02:01 PM,C,26.836
12/4/19 8:12:01 PM,C,27.148
12/4/19 8:22:01 PM,C,27.461
12/4/19 8:32:01 PM,C,27.773
12/4/19 8:42:01 PM,C,27.96
12/4/19 8:52:01 PM,C,28.21
12/4/19 9:02:01 PM,C,28.335
12/4/19 9:12:01 PM,C,28.46
12/4/19 9:22:01 PM,C,28.585
12/4/19 9:32:01 PM,C,28.71
12/4/19 9:42:01 PM,C,28.772
12/4/19 9:52:01 PM,C,28.835
12/4/19 10:02:01 PM,C,28.897
12/4/19 10:12:01 PM,C,28.96
12/4/19 10:22:01 PM,C,29.022
12/4/19 10:32:01 PM,C,29.022
12/4/19 10:42:01 PM,C,29.085
12/4/19 10:52:01 PM,C,29.085
12/4/19 11:02:01 PM,C,29.085
12/4/19 11:12:01 PM,C,29.147
12/4/19 11:22:01 PM,C,29.147
12/4/19 11:32:01 PM,C,29.147
12/4/19 11:42:01 PM,C,29.147
12/4/19 11:52:01 PM,C,29.147
12/5/19 12:02:01 AM,C,29.147
12/5/19 12:12:01 AM,C,29.147
12/5/19 12:22:01 AM,C,29.147
12/5/19 12:32:01 AM,C,29.147
12/5/19 12:42:01 AM,C,29.147
12/5/19 12:52:01 AM,C,29.147
12/5/19 1:02:01 AM,C,29.147
12/5/19 1:12:01 AM,C,29.147
12/5/19 1:22:01 AM,C,29.147
12/5/19 1:32:01 AM,C,29.147
12/5/19 1:42:01 AM,C,29.147
12/5/19 1:52:01 AM,C,29.147
12/5/19 2:02:01 AM,C,29.147
12/5/19 2:12:01 AM,C,29.147
12/5/19 2:22:01 AM,C,29.147
12/5/19 2:32:01 AM,C,29.085
12/5/19 2:42:01 AM,C,29.147
12/5/19 2:52:01 AM,C,29.085
12/5/19 3:02:01 AM,C,29.147
12/5/19 3:12:01 AM,C,29.147
12/5/19 3:22:01 AM,C,29.085
12/5/19 3:32:01 AM,C,29.147
12/5/19 3:42:01 AM,C,29.147
12/5/19 3:52:01 AM,C,29.147
12/5/19 4:02:01 AM,C,29.147
12/5/19 4:12:01 AM,C,29.147
12/5/19 4:22:01 AM,C,29.147
12/5/19 4:32:01 AM,C,29.147
12/5/19 4:42:01 AM,C,29.21
12/5/19 4:52:01 AM,C,29.21
12/5/19 5:02:01 AM,C,29.21
12/5/19 5:12:01 AM,C,29.272
12/5/19 5:22:01 AM,C,29.272
12/5/19 5:32:01 AM,C,29.272
12/5/19 5:42:01 AM,C,29.335
12/5/19 5:52:01 AM,C,29.335
12/5/19 6:02:01 AM,C,29.397
12/5/19 6:12:01 AM,C,29.397
12/5/19 6:22:01 AM,C,29.459
12/5/19 6:32:01 AM,C,29.522
12/5/19 6:42:01 AM,C,29.522
12/5/19 6:52:01 AM,C,29.584
12/5/19 7:02:01 AM,C,29.584
12/5/19 7:12:01 AM,C,29.647
12/5/19 7:22:01 AM,C,29.709
12/5/19 7:32:01 AM,C,29.709
12/5/19 7:42:01 AM,C,29.772
12/5/19 7:52:01 AM,C,29.834
12/5/19 8:02:01 AM,C,29.897
12/5/19 8:12:01 AM,C,29.959
12/5/19 8:22:01 AM,C,30.022
12/5/19 8:32:01 AM,C,30.084
12/5/19 8:42:01 AM,C,30.146
12/5/19 8:52:01 AM,C,30.209
12/5/19 9:02:01 AM,C,30.271
12/5/19 9:12:01 AM,C,30.334
12/5/19 9:22:01 AM,C,30.396
12/5/19 9:32:01 AM,C,30.396
12/5/19 9:42:01 AM,C,30.459
12/5/19 9:52:01 AM,C,30.521
12/5/19 10:02:01 AM,C,30.521
12/5/19 10:12:01 AM,C,30.521
12/5/19 10:22:01 AM,C,30.521
12/5/19 10:32:01 AM,C,30.584
12/5/19 10:42:01 AM,C,30.584
12/5/19 10:52:01 AM,C,30.646
12/5/19 11:02:01 AM,C,30.708
12/5/19 11:12:01 AM,C,30.771
12/5/19 11:22:01 AM,C,30.833
12/5/19 11:32:01 AM,C,30.896
12/5/19 11:42:01 AM,C,30.958
12/5/19 11:52:01 AM,C,31.021
12/5/19 12:02:01 PM,C,31.083
12/5/19 12:12:01 PM,C,31.145
12/5/19 12:22:01 PM,C,31.27
12/5/19 12:32:01 PM,C,31.333
12/5/19 12:42:01 PM,C,31.395
12/5/19 12:52:01 PM,C,31.458
12/5/19 1:02:01 PM,C,31.52
12/5/19 1:12:01 PM,C,31.645
12/5/19 1:22:01 PM,C,31.707
12/5/19 1:32:01 PM,C,31.832
12/5/19 1:42:01 PM,C,31.957
12/5/19 1:52:01 PM,C,32.082
12/5/19 2:02:01 PM,C,32.144
12/5/19 2:12:01 PM,C,32.207
12/5/19 2:22:01 PM,C,32.332
12/5/19 2:32:01 PM,C,32.456
12/5/19 2:42:01 PM,C,32.581
12/5/19 2:52:01 PM,C,32.706
12/5/19 3:02:01 PM,C,32.768
12/5/19 3:12:01 PM,C,32.831
12/5/19 3:22:01 PM,C,32.893
12/5/19 3:32:01 PM,C,33.018
