1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5700000069AB3041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:34:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:34:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  4046
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:34:01 PM,C,22.176
12/4/19 4:44:01 PM,C,22.239
12/4/19 4:54:01 PM,C,17.043
12/4/19 5:04:01 PM,C,15.037
12/4/19 5:14:01 PM,C,15.476
12/4/19 5:24:01 PM,C,16.103
12/4/19 5:34:01 PM,C,16.73
12/4/19 5:44:01 PM,C,17.419
12/4/19 5:54:01 PM,C,17.92
12/4/19 6:04:01 PM,C,18.421
12/4/19 6:14:01 PM,C,18.859
12/4/19 6:24:01 PM,C,19.235
12/4/19 6:34:01 PM,C,19.986
12/4/19 6:44:01 PM,C,20.988
12/4/19 6:54:01 PM,C,21.864
12/4/19 7:04:01 PM,C,22.677
12/4/19 7:14:01 PM,C,23.302
12/4/19 7:24:01 PM,C,23.865
12/4/19 7:34:01 PM,C,24.303
12/4/19 7:44:01 PM,C,24.74
12/4/19 7:54:01 PM,C,25.115
12/4/19 8:04:01 PM,C,25.428
12/4/19 8:14:01 PM,C,25.678
12/4/19 8:24:01 PM,C,25.928
12/4/19 8:34:01 PM,C,26.115
12/4/19 8:44:01 PM,C,26.303
12/4/19 8:54:01 PM,C,26.49
12/4/19 9:04:01 PM,C,26.615
12/4/19 9:14:01 PM,C,26.74
12/4/19 9:24:01 PM,C,26.865
12/4/19 9:34:01 PM,C,26.927
12/4/19 9:44:01 PM,C,26.99
12/4/19 9:54:01 PM,C,27.115
12/4/19 10:04:01 PM,C,27.177
12/4/19 10:14:01 PM,C,27.177
12/4/19 10:24:01 PM,C,27.24
12/4/19 10:34:01 PM,C,27.302
12/4/19 10:44:01 PM,C,27.302
12/4/19 10:54:01 PM,C,27.365
12/4/19 11:04:01 PM,C,27.365
12/4/19 11:14:01 PM,C,27.427
12/4/19 11:24:01 PM,C,27.427
12/4/19 11:34:01 PM,C,27.49
12/4/19 11:44:01 PM,C,27.49
12/4/19 11:54:01 PM,C,27.49
12/5/19 12:04:01 AM,C,27.49
12/5/19 12:14:01 AM,C,27.552
12/5/19 12:24:01 AM,C,27.552
12/5/19 12:34:01 AM,C,27.552
12/5/19 12:44:01 AM,C,27.552
12/5/19 12:54:01 AM,C,27.552
12/5/19 1:04:01 AM,C,27.552
12/5/19 1:14:01 AM,C,27.552
12/5/19 1:24:01 AM,C,27.552
12/5/19 1:34:01 AM,C,27.552
12/5/19 1:44:01 AM,C,27.552
12/5/19 1:54:01 AM,C,27.552
12/5/19 2:04:01 AM,C,27.614
12/5/19 2:14:01 AM,C,27.552
12/5/19 2:24:01 AM,C,27.614
12/5/19 2:34:01 AM,C,27.614
12/5/19 2:44:01 AM,C,27.614
12/5/19 2:54:01 AM,C,27.614
12/5/19 3:04:01 AM,C,27.614
12/5/19 3:14:01 AM,C,27.614
12/5/19 3:24:01 AM,C,27.614
12/5/19 3:34:01 AM,C,27.614
12/5/19 3:44:01 AM,C,27.614
12/5/19 3:54:01 AM,C,27.614
12/5/19 4:04:01 AM,C,27.677
12/5/19 4:14:01 AM,C,27.677
12/5/19 4:24:01 AM,C,27.677
12/5/19 4:34:01 AM,C,27.677
12/5/19 4:44:01 AM,C,27.739
12/5/19 4:54:01 AM,C,27.739
12/5/19 5:04:01 AM,C,27.739
12/5/19 5:14:01 AM,C,27.802
12/5/19 5:24:01 AM,C,27.802
12/5/19 5:34:01 AM,C,27.864
12/5/19 5:44:01 AM,C,27.864
12/5/19 5:54:01 AM,C,27.927
12/5/19 6:04:01 AM,C,27.927
12/5/19 6:14:01 AM,C,27.989
12/5/19 6:24:01 AM,C,28.052
12/5/19 6:34:01 AM,C,28.114
12/5/19 6:44:01 AM,C,28.177
12/5/19 6:54:01 AM,C,28.177
12/5/19 7:04:01 AM,C,28.239
12/5/19 7:14:01 AM,C,28.301
12/5/19 7:24:01 AM,C,28.364
12/5/19 7:34:01 AM,C,28.426
12/5/19 7:44:01 AM,C,28.489
12/5/19 7:54:01 AM,C,28.551
12/5/19 8:04:01 AM,C,28.676
12/5/19 8:14:01 AM,C,28.738
12/5/19 8:24:01 AM,C,28.801
12/5/19 8:34:01 AM,C,28.926
12/5/19 8:44:01 AM,C,28.988
12/5/19 8:54:01 AM,C,29.051
12/5/19 9:04:01 AM,C,29.176
12/5/19 9:14:01 AM,C,29.238
12/5/19 9:24:01 AM,C,29.3
12/5/19 9:34:01 AM,C,29.425
12/5/19 9:44:01 AM,C,29.488
12/5/19 9:54:01 AM,C,29.55
12/5/19 10:04:01 AM,C,29.55
12/5/19 10:14:01 AM,C,29.55
12/5/19 10:24:01 AM,C,29.55
12/5/19 10:34:01 AM,C,29.612
12/5/19 10:44:01 AM,C,29.675
12/5/19 10:54:01 AM,C,29.737
12/5/19 11:04:01 AM,C,29.8
12/5/19 11:14:01 AM,C,29.862
12/5/19 11:24:01 AM,C,29.925
12/5/19 11:34:01 AM,C,30.049
12/5/19 11:44:01 AM,C,30.112
12/5/19 11:54:01 AM,C,30.174
12/5/19 12:04:01 PM,C,30.299
12/5/19 12:14:01 PM,C,30.361
12/5/19 12:24:01 PM,C,30.486
12/5/19 12:34:01 PM,C,30.549
12/5/19 12:44:01 PM,C,30.611
12/5/19 12:54:01 PM,C,30.673
12/5/19 1:04:01 PM,C,30.798
12/5/19 1:14:01 PM,C,30.861
12/5/19 1:24:01 PM,C,30.985
12/5/19 1:34:01 PM,C,31.11
12/5/19 1:44:01 PM,C,31.173
12/5/19 1:54:01 PM,C,31.297
12/5/19 2:04:01 PM,C,31.36
12/5/19 2:14:01 PM,C,31.422
12/5/19 2:24:01 PM,C,31.547
12/5/19 2:34:01 PM,C,31.672
12/5/19 2:44:01 PM,C,31.734
12/5/19 2:54:01 PM,C,31.859
12/5/19 3:04:01 PM,C,31.921
12/5/19 3:14:01 PM,C,31.921
12/5/19 3:24:01 PM,C,31.984
12/5/19 3:34:01 PM,C,32.108
12/5/19 3:44:01 PM,C,32.233
12/5/19 3:54:01 PM,C,32.295
12/5/19 4:04:01 PM,C,32.42
12/5/19 4:14:01 PM,C,32.545
12/5/19 4:24:01 PM,C,32.67
12/5/19 4:34:01 PM,C,32.794
12/5/19 4:44:01 PM,C,32.857
12/5/19 4:54:01 PM,C,32.982
12/5/19 5:04:01 PM,C,33.106
12/5/19 5:14:01 PM,C,33.231
12/5/19 5:24:01 PM,C,33.293
12/5/19 5:34:01 PM,C,33.48
12/5/19 5:44:01 PM,C,33.543
12/5/19 5:54:01 PM,C,33.667
12/5/19 6:04:01 PM,C,33.792
12/5/19 6:14:01 PM,C,33.854
12/5/19 6:24:01 PM,C,33.917
12/5/19 6:34:01 PM,C,33.979
12/5/19 6:44:01 PM,C,34.104
12/5/19 6:54:01 PM,C,34.166
12/5/19 7:04:01 PM,C,34.228
12/5/19 7:14:01 PM,C,34.291
12/5/19 7:24:01 PM,C,34.353
12/5/19 7:34:01 PM,C,34.478
12/5/19 7:44:01 PM,C,34.54
12/5/19 7:54:01 PM,C,34.602
12/5/19 8:04:01 PM,C,34.665
12/5/19 8:14:01 PM,C,34.727
12/5/19 8:24:01 PM,C,34.789
12/5/19 8:34:01 PM,C,34.852
12/5/19 8:44:01 PM,C,34.914
12/5/19 8:54:01 PM,C,34.976
12/5/19 9:04:01 PM,C,35.101
12/5/19 9:14:01 PM,C,35.163
12/5/19 9:24:01 PM,C,35.163
12/5/19 9:34:01 PM,C,35.226
12/5/19 9:44:01 PM,C,35.226
12/5/19 9:54:01 PM,C,35.226
12/5/19 10:04:01 PM,C,35.288
12/5/19 10:14:01 PM,C,35.288
12/5/19 10:24:01 PM,C,35.35
12/5/19 10:34:01 PM,C,35.413
12/5/19 10:44:01 PM,C,35.413
12/5/19 10:54:01 PM,C,35.475
12/5/19 11:04:01 PM,C,35.475
12/5/19 11:14:01 PM,C,35.537
12/5/19 11:24:01 PM,C,35.6
12/5/19 11:34:01 PM,C,35.6
12/5/19 11:44:01 PM,C,35.6
12/5/19 11:54:01 PM,C,35.662
12/6/19 12:04:01 AM,C,35.662
12/6/19 12:14:01 AM,C,35.662
12/6/19 12:24:01 AM,C,35.724
12/6/19 12:34:01 AM,C,35.724
12/6/19 12:44:01 AM,C,35.724
12/6/19 12:54:01 AM,C,35.787
12/6/19 1:04:01 AM,C,35.787
12/6/19 1:14:01 AM,C,35.849
12/6/19 1:24:01 AM,C,35.849
12/6/19 1:34:01 AM,C,35.849
12/6/19 1:44:01 AM,C,35.849
12/6/19 1:54:01 AM,C,35.849
12/6/19 2:04:01 AM,C,35.911
12/6/19 2:14:01 AM,C,35.973
12/6/19 2:24:01 AM,C,36.036
12/6/19 2:34:01 AM,C,36.036
12/6/19 2:44:01 AM,C,36.036
12/6/19 2:54:01 AM,C,35.973
12/6/19 3:04:01 AM,C,35.911
12/6/19 3:14:01 AM,C,35.911
12/6/19 3:24:01 AM,C,35.849
12/6/19 3:34:01 AM,C,35.849
12/6/19 3:44:01 AM,C,35.849
12/6/19 3:54:01 AM,C,35.911
12/6/19 4:04:01 AM,C,35.911
12/6/19 4:14:01 AM,C,35.911
12/6/19 4:24:01 AM,C,35.911
12/6/19 4:34:01 AM,C,35.849
12/6/19 4:44:01 AM,C,35.849
12/6/19 4:54:01 AM,C,35.849
12/6/19 5:04:01 AM,C,35.849
12/6/19 5:14:01 AM,C,35.849
12/6/19 5:24:01 AM,C,35.787
12/6/19 5:34:01 AM,C,35.724
12/6/19 5:44:01 AM,C,35.724
12/6/19 5:54:01 AM,C,35.724
12/6/19 6:04:01 AM,C,35.724
12/6/19 6:14:01 AM,C,35.724
12/6/19 6:24:01 AM,C,35.724
12/6/19 6:34:01 AM,C,35.724
12/6/19 6:44:01 AM,C,35.724
12/6/19 6:54:01 AM,C,35.724
12/6/19 7:04:01 AM,C,35.724
12/6/19 7:14:01 AM,C,35.724
12/6/19 7:24:01 AM,C,35.724
12/6/19 7:34:01 AM,C,35.787
12/6/19 7:44:01 AM,C,35.724
12/6/19 7:54:01 AM,C,35.787
12/6/19 8:04:01 AM,C,35.787
12/6/19 8:14:01 AM,C,35.787
12/6/19 8:24:01 AM,C,35.787
12/6/19 8:34:01 AM,C,35.787
12/6/19 8:44:01 AM,C,35.849
12/6/19 8:54:01 AM,C,35.911
12/6/19 9:04:01 AM,C,35.973
12/6/19 9:14:01 AM,C,35.973
