1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C9000000586B0941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:33:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:33:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  6563
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:33:01 PM,C,23.218
12/4/19 4:43:01 PM,C,23.093
12/4/19 4:53:01 PM,C,23.03
12/4/19 5:03:01 PM,C,17.961
12/4/19 5:13:01 PM,C,17.648
12/4/19 5:23:01 PM,C,17.961
12/4/19 5:33:01 PM,C,18.337
12/4/19 5:43:01 PM,C,18.712
12/4/19 5:53:01 PM,C,19.088
12/4/19 6:03:01 PM,C,20.027
12/4/19 6:13:01 PM,C,20.403
12/4/19 6:23:01 PM,C,21.341
12/4/19 6:33:01 PM,C,22.03
12/4/19 6:43:01 PM,C,22.593
12/4/19 6:53:01 PM,C,23.155
12/4/19 7:03:01 PM,C,23.656
12/4/19 7:13:01 PM,C,24.031
12/4/19 7:23:01 PM,C,24.469
12/4/19 7:33:01 PM,C,24.781
12/4/19 7:43:01 PM,C,25.094
12/4/19 7:53:01 PM,C,25.344
12/4/19 8:03:01 PM,C,25.594
12/4/19 8:13:01 PM,C,25.844
12/4/19 8:23:01 PM,C,26.031
12/4/19 8:33:01 PM,C,26.219
12/4/19 8:43:01 PM,C,26.344
12/4/19 8:53:01 PM,C,26.469
12/4/19 9:03:01 PM,C,26.594
12/4/19 9:13:01 PM,C,26.719
12/4/19 9:23:01 PM,C,26.844
12/4/19 9:33:01 PM,C,26.906
12/4/19 9:43:01 PM,C,27.031
12/4/19 9:53:01 PM,C,27.093
12/4/19 10:03:01 PM,C,27.156
12/4/19 10:13:01 PM,C,27.218
12/4/19 10:23:01 PM,C,27.281
12/4/19 10:33:01 PM,C,27.343
12/4/19 10:43:01 PM,C,27.406
12/4/19 10:53:01 PM,C,27.468
12/4/19 11:03:01 PM,C,27.468
12/4/19 11:13:01 PM,C,27.531
12/4/19 11:23:01 PM,C,27.593
12/4/19 11:33:01 PM,C,27.593
12/4/19 11:43:01 PM,C,27.656
12/4/19 11:53:01 PM,C,27.656
12/5/19 12:03:01 AM,C,27.718
12/5/19 12:13:01 AM,C,27.718
12/5/19 12:23:01 AM,C,27.781
12/5/19 12:33:01 AM,C,27.781
12/5/19 12:43:01 AM,C,27.781
12/5/19 12:53:01 AM,C,27.843
12/5/19 1:03:01 AM,C,27.843
12/5/19 1:13:01 AM,C,27.843
12/5/19 1:23:01 AM,C,27.843
12/5/19 1:33:01 AM,C,27.906
12/5/19 1:43:01 AM,C,27.906
12/5/19 1:53:01 AM,C,27.906
12/5/19 2:03:01 AM,C,27.906
12/5/19 2:13:01 AM,C,27.968
12/5/19 2:23:01 AM,C,27.968
12/5/19 2:33:01 AM,C,27.968
12/5/19 2:43:01 AM,C,27.968
12/5/19 2:53:01 AM,C,27.968
12/5/19 3:03:01 AM,C,27.968
12/5/19 3:13:01 AM,C,28.03
12/5/19 3:23:01 AM,C,28.03
12/5/19 3:33:01 AM,C,28.03
12/5/19 3:43:01 AM,C,28.03
12/5/19 3:53:01 AM,C,28.03
12/5/19 4:03:01 AM,C,28.093
12/5/19 4:13:01 AM,C,28.093
12/5/19 4:23:01 AM,C,28.093
12/5/19 4:33:01 AM,C,28.155
12/5/19 4:43:01 AM,C,28.155
12/5/19 4:53:01 AM,C,28.155
12/5/19 5:03:01 AM,C,28.218
12/5/19 5:13:01 AM,C,28.218
12/5/19 5:23:01 AM,C,28.218
12/5/19 5:33:01 AM,C,28.218
12/5/19 5:43:01 AM,C,28.28
12/5/19 5:53:01 AM,C,28.28
12/5/19 6:03:01 AM,C,28.343
12/5/19 6:13:01 AM,C,28.343
12/5/19 6:23:01 AM,C,28.343
12/5/19 6:33:01 AM,C,28.405
12/5/19 6:43:01 AM,C,28.405
12/5/19 6:53:01 AM,C,28.468
12/5/19 7:03:01 AM,C,28.468
12/5/19 7:13:01 AM,C,28.53
12/5/19 7:23:01 AM,C,28.53
12/5/19 7:33:01 AM,C,28.593
12/5/19 7:43:01 AM,C,28.593
12/5/19 7:53:01 AM,C,28.593
12/5/19 8:03:01 AM,C,28.655
12/5/19 8:13:01 AM,C,28.655
12/5/19 8:23:01 AM,C,28.655
12/5/19 8:33:01 AM,C,28.717
12/5/19 8:43:01 AM,C,28.655
12/5/19 8:53:01 AM,C,28.593
12/5/19 9:03:01 AM,C,28.593
12/5/19 9:13:01 AM,C,28.53
12/5/19 9:23:01 AM,C,28.53
12/5/19 9:33:01 AM,C,28.53
12/5/19 9:43:01 AM,C,28.468
12/5/19 9:53:01 AM,C,28.468
12/5/19 10:03:01 AM,C,28.405
12/5/19 10:13:01 AM,C,28.655
12/5/19 10:23:01 AM,C,28.717
12/5/19 10:33:01 AM,C,28.78
12/5/19 10:43:01 AM,C,28.842
12/5/19 10:53:01 AM,C,28.842
12/5/19 11:03:01 AM,C,28.78
12/5/19 11:13:01 AM,C,28.78
12/5/19 11:23:01 AM,C,28.717
12/5/19 11:33:01 AM,C,28.717
12/5/19 11:43:01 AM,C,28.655
12/5/19 11:53:01 AM,C,28.655
12/5/19 12:03:01 PM,C,28.593
12/5/19 12:13:01 PM,C,28.593
12/5/19 12:23:01 PM,C,28.53
12/5/19 12:33:01 PM,C,28.53
12/5/19 12:43:01 PM,C,28.53
12/5/19 12:53:01 PM,C,28.53
12/5/19 1:03:01 PM,C,28.593
12/5/19 1:13:01 PM,C,28.655
12/5/19 1:23:01 PM,C,28.717
12/5/19 1:33:01 PM,C,28.78
12/5/19 1:43:01 PM,C,28.842
12/5/19 1:53:01 PM,C,28.905
12/5/19 2:03:01 PM,C,28.967
12/5/19 2:13:01 PM,C,29.03
12/5/19 2:23:01 PM,C,29.092
12/5/19 2:33:01 PM,C,29.092
12/5/19 2:43:01 PM,C,29.155
12/5/19 2:53:01 PM,C,29.155
12/5/19 3:03:01 PM,C,29.217
12/5/19 3:13:01 PM,C,29.28
12/5/19 3:23:01 PM,C,29.404
12/5/19 3:33:01 PM,C,29.467
12/5/19 3:43:01 PM,C,29.592
12/5/19 3:53:01 PM,C,29.654
12/5/19 4:03:01 PM,C,29.717
12/5/19 4:13:01 PM,C,29.779
12/5/19 4:23:01 PM,C,29.779
12/5/19 4:33:01 PM,C,29.841
12/5/19 4:43:01 PM,C,29.904
12/5/19 4:53:01 PM,C,29.966
12/5/19 5:03:01 PM,C,30.091
12/5/19 5:13:01 PM,C,30.154
12/5/19 5:23:01 PM,C,30.278
12/5/19 5:33:01 PM,C,30.341
12/5/19 5:43:01 PM,C,30.466
12/5/19 5:53:01 PM,C,30.528
12/5/19 6:03:01 PM,C,30.528
12/5/19 6:13:01 PM,C,30.466
12/5/19 6:23:01 PM,C,30.715
12/5/19 6:33:01 PM,C,30.903
12/5/19 6:43:01 PM,C,30.965
12/5/19 6:53:01 PM,C,31.09
12/5/19 7:03:01 PM,C,31.152
12/5/19 7:13:01 PM,C,31.277
12/5/19 7:23:01 PM,C,31.277
12/5/19 7:33:01 PM,C,31.339
12/5/19 7:43:01 PM,C,31.402
12/5/19 7:53:01 PM,C,31.402
12/5/19 8:03:01 PM,C,31.464
12/5/19 8:13:01 PM,C,31.464
12/5/19 8:23:01 PM,C,31.527
12/5/19 8:33:01 PM,C,31.527
12/5/19 8:43:01 PM,C,31.589
