1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2F000000586E9E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:53:01 PST 2019
Mission Sample Count:  1123
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:53:01 PST 2019
Total Mission Samples:  1123
Total Device Samples:  9664
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:53:01 PM,C,18.393
12/4/19 5:03:01 PM,C,14.136
12/4/19 5:13:01 PM,C,14.261
12/4/19 5:23:01 PM,C,14.95
12/4/19 5:33:01 PM,C,15.639
12/4/19 5:43:01 PM,C,16.39
12/4/19 5:53:01 PM,C,17.016
12/4/19 6:03:01 PM,C,17.642
12/4/19 6:13:01 PM,C,18.268
12/4/19 6:23:01 PM,C,18.706
12/4/19 6:33:01 PM,C,19.332
12/4/19 6:43:01 PM,C,20.396
12/4/19 6:53:01 PM,C,21.459
12/4/19 7:03:01 PM,C,22.523
12/4/19 7:13:01 PM,C,23.335
12/4/19 7:23:01 PM,C,24.086
12/4/19 7:33:01 PM,C,24.773
12/4/19 7:43:01 PM,C,25.273
12/4/19 7:53:01 PM,C,25.773
12/4/19 8:03:01 PM,C,26.211
12/4/19 8:13:01 PM,C,26.523
12/4/19 8:23:01 PM,C,26.836
12/4/19 8:33:01 PM,C,27.086
12/4/19 8:43:01 PM,C,27.336
12/4/19 8:53:01 PM,C,27.523
12/4/19 9:03:01 PM,C,27.711
12/4/19 9:13:01 PM,C,27.835
12/4/19 9:23:01 PM,C,27.96
12/4/19 9:33:01 PM,C,28.085
12/4/19 9:43:01 PM,C,28.148
12/4/19 9:53:01 PM,C,28.273
12/4/19 10:03:01 PM,C,28.335
12/4/19 10:13:01 PM,C,28.398
12/4/19 10:23:01 PM,C,28.46
12/4/19 10:33:01 PM,C,28.46
12/4/19 10:43:01 PM,C,28.523
12/4/19 10:53:01 PM,C,28.585
12/4/19 11:03:01 PM,C,28.585
12/4/19 11:13:01 PM,C,28.648
12/4/19 11:23:01 PM,C,28.648
12/4/19 11:33:01 PM,C,28.648
