1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C10000005EEFC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:50:01 PST 2019
Mission Sample Count:  1123
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:50:01 PST 2019
Total Mission Samples:  1123
Total Device Samples:  5839
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:50:01 PM,C,22.955
12/4/19 5:00:01 PM,C,22.892
12/4/19 5:10:01 PM,C,22.892
12/4/19 5:20:01 PM,C,20.016
12/4/19 5:30:01 PM,C,20.016
12/4/19 5:40:01 PM,C,20.266
12/4/19 5:50:01 PM,C,20.516
12/4/19 6:00:01 PM,C,21.141
12/4/19 6:10:01 PM,C,21.204
12/4/19 6:20:01 PM,C,22.017
12/4/19 6:30:01 PM,C,22.642
12/4/19 6:40:01 PM,C,23.142
12/4/19 6:50:01 PM,C,23.642
12/4/19 7:00:01 PM,C,24.08
12/4/19 7:10:01 PM,C,24.455
12/4/19 7:20:01 PM,C,24.83
12/4/19 7:30:01 PM,C,25.205
12/4/19 7:40:01 PM,C,25.518
12/4/19 7:50:01 PM,C,25.768
12/4/19 8:00:01 PM,C,26.018
12/4/19 8:10:01 PM,C,26.205
12/4/19 8:20:01 PM,C,26.393
12/4/19 8:30:01 PM,C,26.58
12/4/19 8:40:01 PM,C,26.705
12/4/19 8:50:01 PM,C,26.83
12/4/19 9:00:01 PM,C,26.955
12/4/19 9:10:01 PM,C,27.08
12/4/19 9:20:01 PM,C,27.205
12/4/19 9:30:01 PM,C,27.267
12/4/19 9:40:01 PM,C,27.33
12/4/19 9:50:01 PM,C,27.392
12/4/19 10:00:01 PM,C,27.455
12/4/19 10:10:01 PM,C,27.517
12/4/19 10:20:01 PM,C,27.58
12/4/19 10:30:01 PM,C,27.642
12/4/19 10:40:01 PM,C,27.705
12/4/19 10:50:01 PM,C,27.767
12/4/19 11:00:01 PM,C,27.767
12/4/19 11:10:01 PM,C,27.83
12/4/19 11:20:01 PM,C,27.83
12/4/19 11:30:01 PM,C,27.892
12/4/19 11:40:01 PM,C,27.955
12/4/19 11:50:01 PM,C,27.955
12/5/19 12:00:01 AM,C,28.017
12/5/19 12:10:01 AM,C,28.017
12/5/19 12:20:01 AM,C,28.08
12/5/19 12:30:01 AM,C,28.08
12/5/19 12:40:01 AM,C,28.142
12/5/19 12:50:01 AM,C,28.142
12/5/19 1:00:01 AM,C,28.142
12/5/19 1:10:01 AM,C,28.205
12/5/19 1:20:01 AM,C,28.205
12/5/19 1:30:01 AM,C,28.205
12/5/19 1:40:01 AM,C,28.267
12/5/19 1:50:01 AM,C,28.267
12/5/19 2:00:01 AM,C,28.267
12/5/19 2:10:01 AM,C,28.33
12/5/19 2:20:01 AM,C,28.33
12/5/19 2:30:01 AM,C,28.392
12/5/19 2:40:01 AM,C,28.392
12/5/19 2:50:01 AM,C,28.392
12/5/19 3:00:01 AM,C,28.455
12/5/19 3:10:01 AM,C,28.517
12/5/19 3:20:01 AM,C,28.517
12/5/19 3:30:01 AM,C,28.517
12/5/19 3:40:01 AM,C,28.579
12/5/19 3:50:01 AM,C,28.642
