1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BB0000005EEF7841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:50:01 PST 2019
Mission Sample Count:  1123
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:50:01 PST 2019
Total Mission Samples:  1123
Total Device Samples:  5858
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:50:01 PM,C,22.114
12/4/19 5:00:01 PM,C,22.176
12/4/19 5:10:01 PM,C,17.106
12/4/19 5:20:01 PM,C,16.605
12/4/19 5:30:01 PM,C,16.793
12/4/19 5:40:01 PM,C,17.231
12/4/19 5:50:01 PM,C,17.67
12/4/19 6:00:01 PM,C,18.233
12/4/19 6:10:01 PM,C,18.734
12/4/19 6:20:01 PM,C,19.235
12/4/19 6:30:01 PM,C,20.111
12/4/19 6:40:01 PM,C,21.113
12/4/19 6:50:01 PM,C,22.114
12/4/19 7:00:01 PM,C,23.052
12/4/19 7:10:01 PM,C,23.865
12/4/19 7:20:01 PM,C,24.615
12/4/19 7:30:01 PM,C,25.24
12/4/19 7:40:01 PM,C,25.803
12/4/19 7:50:01 PM,C,26.365
12/4/19 8:00:01 PM,C,26.803
12/4/19 8:10:01 PM,C,27.177
12/4/19 8:20:01 PM,C,27.552
12/4/19 8:30:01 PM,C,27.802
12/4/19 8:40:01 PM,C,28.114
12/4/19 8:50:01 PM,C,28.302
12/4/19 9:00:01 PM,C,28.552
12/4/19 9:10:01 PM,C,28.676
12/4/19 9:20:01 PM,C,28.864
12/4/19 9:30:01 PM,C,28.989
12/4/19 9:40:01 PM,C,29.114
12/4/19 9:50:01 PM,C,29.238
12/4/19 10:00:01 PM,C,29.301
12/4/19 10:10:01 PM,C,29.363
12/4/19 10:20:01 PM,C,29.426
12/4/19 10:30:01 PM,C,29.488
12/4/19 10:40:01 PM,C,29.551
12/4/19 10:50:01 PM,C,29.613
12/4/19 11:00:01 PM,C,29.675
12/4/19 11:10:01 PM,C,29.738
12/4/19 11:20:01 PM,C,29.738
12/4/19 11:30:01 PM,C,29.738
12/4/19 11:40:01 PM,C,29.8
12/4/19 11:50:01 PM,C,29.8
12/5/19 12:00:01 AM,C,29.863
12/5/19 12:10:01 AM,C,29.863
12/5/19 12:20:01 AM,C,29.925
12/5/19 12:30:01 AM,C,29.925
12/5/19 12:40:01 AM,C,29.925
12/5/19 12:50:01 AM,C,29.988
12/5/19 1:00:01 AM,C,29.988
12/5/19 1:10:01 AM,C,29.988
12/5/19 1:20:01 AM,C,30.05
12/5/19 1:30:01 AM,C,30.05
12/5/19 1:40:01 AM,C,30.05
12/5/19 1:50:01 AM,C,30.112
12/5/19 2:00:01 AM,C,30.112
12/5/19 2:10:01 AM,C,30.175
12/5/19 2:20:01 AM,C,30.175
12/5/19 2:30:01 AM,C,30.237
12/5/19 2:40:01 AM,C,30.3
12/5/19 2:50:01 AM,C,30.362
12/5/19 3:00:01 AM,C,30.362
12/5/19 3:10:01 AM,C,30.425
12/5/19 3:20:01 AM,C,30.487
12/5/19 3:30:01 AM,C,30.612
12/5/19 3:40:01 AM,C,30.674
12/5/19 3:50:01 AM,C,30.737
12/5/19 4:00:01 AM,C,30.861
12/5/19 4:10:01 AM,C,30.924
12/5/19 4:20:01 AM,C,31.049
12/5/19 4:30:01 AM,C,31.174
12/5/19 4:40:01 AM,C,31.298
12/5/19 4:50:01 AM,C,31.423
12/5/19 5:00:01 AM,C,31.548
12/5/19 5:10:01 AM,C,31.735
