1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7B0000005EF3AB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:34:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:34:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  4046
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:34:01 PM,C,23.23
12/4/19 4:44:01 PM,C,23.167
12/4/19 4:54:01 PM,C,23.167
12/4/19 5:04:01 PM,C,23.105
12/4/19 5:14:01 PM,C,20.915
12/4/19 5:24:01 PM,C,20.101
12/4/19 5:34:01 PM,C,20.164
12/4/19 5:44:01 PM,C,20.414
12/4/19 5:54:01 PM,C,20.727
12/4/19 6:04:01 PM,C,20.915
12/4/19 6:14:01 PM,C,21.353
12/4/19 6:24:01 PM,C,22.041
12/4/19 6:34:01 PM,C,22.667
12/4/19 6:44:01 PM,C,23.23
12/4/19 6:54:01 PM,C,23.667
12/4/19 7:04:01 PM,C,24.105
12/4/19 7:14:01 PM,C,24.48
12/4/19 7:24:01 PM,C,24.793
12/4/19 7:34:01 PM,C,25.105
12/4/19 7:44:01 PM,C,25.355
12/4/19 7:54:01 PM,C,25.543
12/4/19 8:04:01 PM,C,25.73
12/4/19 8:14:01 PM,C,25.918
12/4/19 8:24:01 PM,C,26.105
12/4/19 8:34:01 PM,C,26.23
12/4/19 8:44:01 PM,C,26.355
12/4/19 8:54:01 PM,C,26.418
12/4/19 9:04:01 PM,C,26.543
12/4/19 9:14:01 PM,C,26.605
12/4/19 9:24:01 PM,C,26.668
12/4/19 9:34:01 PM,C,26.73
12/4/19 9:44:01 PM,C,26.793
12/4/19 9:54:01 PM,C,26.855
12/4/19 10:04:01 PM,C,26.918
12/4/19 10:14:01 PM,C,26.98
12/4/19 10:24:01 PM,C,26.98
12/4/19 10:34:01 PM,C,27.043
12/4/19 10:44:01 PM,C,27.043
12/4/19 10:54:01 PM,C,27.105
12/4/19 11:04:01 PM,C,27.105
12/4/19 11:14:01 PM,C,27.168
12/4/19 11:24:01 PM,C,27.168
12/4/19 11:34:01 PM,C,27.168
12/4/19 11:44:01 PM,C,27.23
12/4/19 11:54:01 PM,C,27.23
12/5/19 12:04:01 AM,C,27.23
12/5/19 12:14:01 AM,C,27.23
12/5/19 12:24:01 AM,C,27.293
12/5/19 12:34:01 AM,C,27.293
12/5/19 12:44:01 AM,C,27.293
12/5/19 12:54:01 AM,C,27.293
12/5/19 1:04:01 AM,C,27.293
12/5/19 1:14:01 AM,C,27.355
12/5/19 1:24:01 AM,C,27.355
12/5/19 1:34:01 AM,C,27.355
12/5/19 1:44:01 AM,C,27.355
12/5/19 1:54:01 AM,C,27.355
12/5/19 2:04:01 AM,C,27.418
12/5/19 2:14:01 AM,C,27.418
12/5/19 2:24:01 AM,C,27.418
12/5/19 2:34:01 AM,C,27.418
12/5/19 2:44:01 AM,C,27.48
12/5/19 2:54:01 AM,C,27.48
12/5/19 3:04:01 AM,C,27.48
12/5/19 3:14:01 AM,C,27.543
12/5/19 3:24:01 AM,C,27.543
12/5/19 3:34:01 AM,C,27.543
12/5/19 3:44:01 AM,C,27.605
12/5/19 3:54:01 AM,C,27.605
12/5/19 4:04:01 AM,C,27.668
12/5/19 4:14:01 AM,C,27.668
12/5/19 4:24:01 AM,C,27.73
12/5/19 4:34:01 AM,C,27.792
12/5/19 4:44:01 AM,C,27.855
12/5/19 4:54:01 AM,C,27.855
12/5/19 5:04:01 AM,C,27.917
12/5/19 5:14:01 AM,C,27.98
12/5/19 5:24:01 AM,C,28.042
12/5/19 5:34:01 AM,C,28.105
12/5/19 5:44:01 AM,C,28.167
12/5/19 5:54:01 AM,C,28.23
12/5/19 6:04:01 AM,C,28.292
12/5/19 6:14:01 AM,C,28.355
12/5/19 6:24:01 AM,C,28.417
12/5/19 6:34:01 AM,C,28.48
12/5/19 6:44:01 AM,C,28.542
12/5/19 6:54:01 AM,C,28.604
12/5/19 7:04:01 AM,C,28.729
12/5/19 7:14:01 AM,C,28.792
12/5/19 7:24:01 AM,C,28.917
12/5/19 7:34:01 AM,C,28.979
12/5/19 7:44:01 AM,C,29.104
12/5/19 7:54:01 AM,C,29.229
12/5/19 8:04:01 AM,C,29.354
12/5/19 8:14:01 AM,C,29.416
12/5/19 8:24:01 AM,C,29.541
12/5/19 8:34:01 AM,C,29.666
12/5/19 8:44:01 AM,C,29.791
12/5/19 8:54:01 AM,C,29.853
12/5/19 9:04:01 AM,C,29.978
12/5/19 9:14:01 AM,C,30.041
12/5/19 9:24:01 AM,C,30.166
12/5/19 9:34:01 AM,C,30.228
12/5/19 9:44:01 AM,C,30.353
12/5/19 9:54:01 AM,C,30.478
12/5/19 10:04:01 AM,C,30.54
12/5/19 10:14:01 AM,C,30.665
12/5/19 10:24:01 AM,C,30.852
12/5/19 10:34:01 AM,C,31.04
12/5/19 10:44:01 AM,C,31.164
12/5/19 10:54:01 AM,C,31.289
12/5/19 11:04:01 AM,C,31.352
12/5/19 11:14:01 AM,C,31.476
12/5/19 11:24:01 AM,C,31.476
12/5/19 11:34:01 AM,C,31.539
12/5/19 11:44:01 AM,C,31.539
12/5/19 11:54:01 AM,C,31.539
12/5/19 12:04:01 PM,C,31.539
12/5/19 12:14:01 PM,C,31.539
12/5/19 12:24:01 PM,C,31.539
12/5/19 12:34:01 PM,C,31.539
12/5/19 12:44:01 PM,C,31.539
12/5/19 12:54:01 PM,C,31.601
12/5/19 1:04:01 PM,C,31.601
12/5/19 1:14:01 PM,C,31.664
12/5/19 1:24:01 PM,C,31.726
12/5/19 1:34:01 PM,C,31.788
12/5/19 1:44:01 PM,C,31.788
12/5/19 1:54:01 PM,C,31.851
12/5/19 2:04:01 PM,C,31.851
12/5/19 2:14:01 PM,C,31.851
12/5/19 2:24:01 PM,C,31.851
12/5/19 2:34:01 PM,C,31.851
12/5/19 2:44:01 PM,C,31.788
12/5/19 2:54:01 PM,C,31.788
12/5/19 3:04:01 PM,C,31.788
12/5/19 3:14:01 PM,C,31.851
12/5/19 3:24:01 PM,C,31.851
12/5/19 3:34:01 PM,C,31.851
12/5/19 3:44:01 PM,C,31.851
12/5/19 3:54:01 PM,C,31.788
12/5/19 4:04:01 PM,C,31.788
12/5/19 4:14:01 PM,C,31.788
12/5/19 4:24:01 PM,C,31.726
12/5/19 4:34:01 PM,C,31.726
12/5/19 4:44:01 PM,C,31.726
12/5/19 4:54:01 PM,C,31.664
12/5/19 5:04:01 PM,C,31.664
12/5/19 5:14:01 PM,C,31.664
12/5/19 5:24:01 PM,C,31.664
