1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6F0000005EF66841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:36:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:36:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  3276
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:36:01 PM,C,21.873
12/4/19 4:46:01 PM,C,21.936
12/4/19 4:56:01 PM,C,21.936
12/4/19 5:06:01 PM,C,18.932
12/4/19 5:16:01 PM,C,17.868
12/4/19 5:26:01 PM,C,18.056
12/4/19 5:36:01 PM,C,18.369
12/4/19 5:46:01 PM,C,18.745
12/4/19 5:56:01 PM,C,19.12
12/4/19 6:06:01 PM,C,19.558
12/4/19 6:16:01 PM,C,19.934
12/4/19 6:26:01 PM,C,20.309
12/4/19 6:36:01 PM,C,21.06
12/4/19 6:46:01 PM,C,22.061
12/4/19 6:56:01 PM,C,23.187
12/4/19 7:06:01 PM,C,24.187
12/4/19 7:16:01 PM,C,25.062
12/4/19 7:26:01 PM,C,25.875
12/4/19 7:36:01 PM,C,26.562
12/4/19 7:46:01 PM,C,27.125
12/4/19 7:56:01 PM,C,27.625
12/4/19 8:06:01 PM,C,28.062
12/4/19 8:16:01 PM,C,28.374
12/4/19 8:26:01 PM,C,28.687
12/4/19 8:36:01 PM,C,28.936
12/4/19 8:46:01 PM,C,29.186
12/4/19 8:56:01 PM,C,29.374
12/4/19 9:06:01 PM,C,29.498
12/4/19 9:16:01 PM,C,29.623
12/4/19 9:26:01 PM,C,29.748
12/4/19 9:36:01 PM,C,29.873
12/4/19 9:46:01 PM,C,29.936
12/4/19 9:56:01 PM,C,29.998
12/4/19 10:06:01 PM,C,30.06
12/4/19 10:16:01 PM,C,30.123
12/4/19 10:26:01 PM,C,30.185
12/4/19 10:36:01 PM,C,30.248
12/4/19 10:46:01 PM,C,30.248
12/4/19 10:56:01 PM,C,30.31
12/4/19 11:06:01 PM,C,30.31
12/4/19 11:16:01 PM,C,30.373
12/4/19 11:26:01 PM,C,30.373
12/4/19 11:36:01 PM,C,30.373
12/4/19 11:46:01 PM,C,30.435
12/4/19 11:56:01 PM,C,30.435
12/5/19 12:06:01 AM,C,30.435
12/5/19 12:16:01 AM,C,30.497
12/5/19 12:26:01 AM,C,30.497
12/5/19 12:36:01 AM,C,30.497
12/5/19 12:46:01 AM,C,30.56
12/5/19 12:56:01 AM,C,30.56
12/5/19 1:06:01 AM,C,30.56
12/5/19 1:16:01 AM,C,30.622
12/5/19 1:26:01 AM,C,30.622
12/5/19 1:36:01 AM,C,30.622
12/5/19 1:46:01 AM,C,30.685
12/5/19 1:56:01 AM,C,30.685
12/5/19 2:06:01 AM,C,30.747
12/5/19 2:16:01 AM,C,30.81
12/5/19 2:26:01 AM,C,30.872
12/5/19 2:36:01 AM,C,30.872
12/5/19 2:46:01 AM,C,30.934
12/5/19 2:56:01 AM,C,31.059
12/5/19 3:06:01 AM,C,31.122
12/5/19 3:16:01 AM,C,31.184
12/5/19 3:26:01 AM,C,31.309
12/5/19 3:36:01 AM,C,31.371
12/5/19 3:46:01 AM,C,31.496
12/5/19 3:56:01 AM,C,31.621
12/5/19 4:06:01 AM,C,31.808
12/5/19 4:16:01 AM,C,31.933
12/5/19 4:26:01 AM,C,32.12
12/5/19 4:36:01 AM,C,32.308
12/5/19 4:46:01 AM,C,32.495
12/5/19 4:56:01 AM,C,32.682
12/5/19 5:06:01 AM,C,32.869
12/5/19 5:16:01 AM,C,33.057
12/5/19 5:26:01 AM,C,33.244
12/5/19 5:36:01 AM,C,33.493
12/5/19 5:46:01 AM,C,33.743
12/5/19 5:56:01 AM,C,33.93
12/5/19 6:06:01 AM,C,34.18
12/5/19 6:16:01 AM,C,34.367
12/5/19 6:26:01 AM,C,34.616
12/5/19 6:36:01 AM,C,34.866
12/5/19 6:46:01 AM,C,35.115
12/5/19 6:56:01 AM,C,35.302
12/5/19 7:06:01 AM,C,35.552
12/5/19 7:16:01 AM,C,35.801
12/5/19 7:26:01 AM,C,36.051
12/5/19 7:36:01 AM,C,36.3
12/5/19 7:46:01 AM,C,36.549
12/5/19 7:56:01 AM,C,36.861
12/5/19 8:06:01 AM,C,37.173
12/5/19 8:16:01 AM,C,37.36
12/5/19 8:26:01 AM,C,37.547
12/5/19 8:36:01 AM,C,37.734
12/5/19 8:46:01 AM,C,37.921
12/5/19 8:56:01 AM,C,37.983
12/5/19 9:06:01 AM,C,38.108
12/5/19 9:16:01 AM,C,38.232
12/5/19 9:26:01 AM,C,38.295
12/5/19 9:36:01 AM,C,38.419
12/5/19 9:46:01 AM,C,38.544
12/5/19 9:56:01 AM,C,38.606
12/5/19 10:06:01 AM,C,38.606
12/5/19 10:16:01 AM,C,38.606
12/5/19 10:26:01 AM,C,38.669
12/5/19 10:36:01 AM,C,38.731
12/5/19 10:46:01 AM,C,38.793
12/5/19 10:56:01 AM,C,38.918
12/5/19 11:06:01 AM,C,38.98
12/5/19 11:16:01 AM,C,39.043
12/5/19 11:26:01 AM,C,39.043
12/5/19 11:36:01 AM,C,39.105
12/5/19 11:46:01 AM,C,39.105
12/5/19 11:56:01 AM,C,39.043
12/5/19 12:06:01 PM,C,39.043
12/5/19 12:16:01 PM,C,39.043
12/5/19 12:26:01 PM,C,39.043
12/5/19 12:36:01 PM,C,38.98
12/5/19 12:46:01 PM,C,38.918
12/5/19 12:56:01 PM,C,38.856
12/5/19 1:06:01 PM,C,38.856
12/5/19 1:16:01 PM,C,38.793
12/5/19 1:26:01 PM,C,38.793
12/5/19 1:36:01 PM,C,38.793
12/5/19 1:46:01 PM,C,38.793
12/5/19 1:56:01 PM,C,38.731
12/5/19 2:06:01 PM,C,38.669
12/5/19 2:16:01 PM,C,38.669
12/5/19 2:26:01 PM,C,38.731
12/5/19 2:36:01 PM,C,38.731
12/5/19 2:46:01 PM,C,38.731
12/5/19 2:56:01 PM,C,38.669
12/5/19 3:06:01 PM,C,38.606
12/5/19 3:16:01 PM,C,38.544
12/5/19 3:26:01 PM,C,38.544
12/5/19 3:36:01 PM,C,38.544
12/5/19 3:46:01 PM,C,38.544
12/5/19 3:56:01 PM,C,38.544
12/5/19 4:06:01 PM,C,38.544
12/5/19 4:16:01 PM,C,38.482
12/5/19 4:26:01 PM,C,38.482
12/5/19 4:36:01 PM,C,38.419
12/5/19 4:46:01 PM,C,38.419
12/5/19 4:56:01 PM,C,38.357
12/5/19 5:06:01 PM,C,38.357
12/5/19 5:16:01 PM,C,38.295
12/5/19 5:26:01 PM,C,38.295
12/5/19 5:36:01 PM,C,38.295
12/5/19 5:46:01 PM,C,38.295
12/5/19 5:56:01 PM,C,38.232
12/5/19 6:06:01 PM,C,38.17
12/5/19 6:16:01 PM,C,38.108
12/5/19 6:26:01 PM,C,38.045
12/5/19 6:36:01 PM,C,37.983
12/5/19 6:46:01 PM,C,37.983
12/5/19 6:56:01 PM,C,37.983
12/5/19 7:06:01 PM,C,37.983
12/5/19 7:16:01 PM,C,37.983
12/5/19 7:26:01 PM,C,37.983
12/5/19 7:36:01 PM,C,37.983
12/5/19 7:46:01 PM,C,37.983
12/5/19 7:56:01 PM,C,37.983
12/5/19 8:06:01 PM,C,37.983
12/5/19 8:16:01 PM,C,37.983
12/5/19 8:26:01 PM,C,37.983
12/5/19 8:36:01 PM,C,37.983
12/5/19 8:46:01 PM,C,37.983
12/5/19 8:56:01 PM,C,38.045
12/5/19 9:06:01 PM,C,38.108
12/5/19 9:16:01 PM,C,38.108
12/5/19 9:26:01 PM,C,38.108
