1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E70000005EEFD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:33:01 PST 2019
Mission Sample Count:  1125
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:33:01 PST 2019
Total Mission Samples:  1125
Total Device Samples:  5847
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:33:01 PM,C,23.222
12/4/19 4:43:01 PM,C,23.16
12/4/19 4:53:01 PM,C,23.097
12/4/19 5:03:01 PM,C,23.097
12/4/19 5:13:01 PM,C,20.22
12/4/19 5:23:01 PM,C,19.719
12/4/19 5:33:01 PM,C,19.907
12/4/19 5:43:01 PM,C,20.157
12/4/19 5:53:01 PM,C,20.47
12/4/19 6:03:01 PM,C,20.783
12/4/19 6:13:01 PM,C,21.346
12/4/19 6:23:01 PM,C,22.534
12/4/19 6:33:01 PM,C,23.222
12/4/19 6:43:01 PM,C,23.722
12/4/19 6:53:01 PM,C,24.222
12/4/19 7:03:01 PM,C,24.66
12/4/19 7:13:01 PM,C,25.035
12/4/19 7:23:01 PM,C,25.41
12/4/19 7:33:01 PM,C,25.785
12/4/19 7:43:01 PM,C,26.098
12/4/19 7:53:01 PM,C,26.41
12/4/19 8:03:01 PM,C,26.598
12/4/19 8:13:01 PM,C,26.848
12/4/19 8:23:01 PM,C,26.973
12/4/19 8:33:01 PM,C,27.098
12/4/19 8:43:01 PM,C,27.222
12/4/19 8:53:01 PM,C,27.347
12/4/19 9:03:01 PM,C,27.472
12/4/19 9:13:01 PM,C,27.535
12/4/19 9:23:01 PM,C,27.66
12/4/19 9:33:01 PM,C,27.722
12/4/19 9:43:01 PM,C,27.785
12/4/19 9:53:01 PM,C,27.847
12/4/19 10:03:01 PM,C,27.91
12/4/19 10:13:01 PM,C,27.91
12/4/19 10:23:01 PM,C,27.972
12/4/19 10:33:01 PM,C,28.035
12/4/19 10:43:01 PM,C,28.035
12/4/19 10:53:01 PM,C,28.097
12/4/19 11:03:01 PM,C,28.16
12/4/19 11:13:01 PM,C,28.16
12/4/19 11:23:01 PM,C,28.222
12/4/19 11:33:01 PM,C,28.222
12/4/19 11:43:01 PM,C,28.222
12/4/19 11:53:01 PM,C,28.222
12/5/19 12:03:01 AM,C,28.285
12/5/19 12:13:01 AM,C,28.347
12/5/19 12:23:01 AM,C,28.347
12/5/19 12:33:01 AM,C,28.347
12/5/19 12:43:01 AM,C,28.41
12/5/19 12:53:01 AM,C,28.41
12/5/19 1:03:01 AM,C,28.41
12/5/19 1:13:01 AM,C,28.41
12/5/19 1:23:01 AM,C,28.472
12/5/19 1:33:01 AM,C,28.472
12/5/19 1:43:01 AM,C,28.472
12/5/19 1:53:01 AM,C,28.534
12/5/19 2:03:01 AM,C,28.534
12/5/19 2:13:01 AM,C,28.534
12/5/19 2:23:01 AM,C,28.534
12/5/19 2:33:01 AM,C,28.597
12/5/19 2:43:01 AM,C,28.597
12/5/19 2:53:01 AM,C,28.659
12/5/19 3:03:01 AM,C,28.659
12/5/19 3:13:01 AM,C,28.722
12/5/19 3:23:01 AM,C,28.722
12/5/19 3:33:01 AM,C,28.784
12/5/19 3:43:01 AM,C,28.784
12/5/19 3:53:01 AM,C,28.847
12/5/19 4:03:01 AM,C,28.847
12/5/19 4:13:01 AM,C,28.909
12/5/19 4:23:01 AM,C,28.972
12/5/19 4:33:01 AM,C,29.034
12/5/19 4:43:01 AM,C,29.034
12/5/19 4:53:01 AM,C,29.097
12/5/19 5:03:01 AM,C,29.159
12/5/19 5:13:01 AM,C,29.222
12/5/19 5:23:01 AM,C,29.222
12/5/19 5:33:01 AM,C,29.284
12/5/19 5:43:01 AM,C,29.284
12/5/19 5:53:01 AM,C,29.347
12/5/19 6:03:01 AM,C,29.409
12/5/19 6:13:01 AM,C,29.471
12/5/19 6:23:01 AM,C,29.534
12/5/19 6:33:01 AM,C,29.596
12/5/19 6:43:01 AM,C,29.659
12/5/19 6:53:01 AM,C,29.721
12/5/19 7:03:01 AM,C,29.784
12/5/19 7:13:01 AM,C,29.909
12/5/19 7:23:01 AM,C,29.971
12/5/19 7:33:01 AM,C,30.096
12/5/19 7:43:01 AM,C,30.158
12/5/19 7:53:01 AM,C,30.221
12/5/19 8:03:01 AM,C,30.346
12/5/19 8:13:01 AM,C,30.408
12/5/19 8:23:01 AM,C,30.533
12/5/19 8:33:01 AM,C,30.658
12/5/19 8:43:01 AM,C,30.721
12/5/19 8:53:01 AM,C,30.783
12/5/19 9:03:01 AM,C,30.845
12/5/19 9:13:01 AM,C,30.908
12/5/19 9:23:01 AM,C,31.033
12/5/19 9:33:01 AM,C,31.095
12/5/19 9:43:01 AM,C,31.158
12/5/19 9:53:01 AM,C,31.22
12/5/19 10:03:01 AM,C,31.282
12/5/19 10:13:01 AM,C,31.47
12/5/19 10:23:01 AM,C,31.657
12/5/19 10:33:01 AM,C,31.782
12/5/19 10:43:01 AM,C,31.907
12/5/19 10:53:01 AM,C,32.032
12/5/19 11:03:01 AM,C,32.032
12/5/19 11:13:01 AM,C,32.032
12/5/19 11:23:01 AM,C,32.032
12/5/19 11:33:01 AM,C,32.032
12/5/19 11:43:01 AM,C,32.032
12/5/19 11:53:01 AM,C,31.969
12/5/19 12:03:01 PM,C,31.969
12/5/19 12:13:01 PM,C,31.969
12/5/19 12:23:01 PM,C,31.907
12/5/19 12:33:01 PM,C,31.907
12/5/19 12:43:01 PM,C,31.907
12/5/19 12:53:01 PM,C,31.969
12/5/19 1:03:01 PM,C,31.969
12/5/19 1:13:01 PM,C,32.094
12/5/19 1:23:01 PM,C,32.157
12/5/19 1:33:01 PM,C,32.219
12/5/19 1:43:01 PM,C,32.219
12/5/19 1:53:01 PM,C,32.219
12/5/19 2:03:01 PM,C,32.219
12/5/19 2:13:01 PM,C,32.157
12/5/19 2:23:01 PM,C,32.157
12/5/19 2:33:01 PM,C,32.157
12/5/19 2:43:01 PM,C,32.094
12/5/19 2:53:01 PM,C,32.032
12/5/19 3:03:01 PM,C,32.032
12/5/19 3:13:01 PM,C,32.094
12/5/19 3:23:01 PM,C,32.094
12/5/19 3:33:01 PM,C,32.157
12/5/19 3:43:01 PM,C,32.157
12/5/19 3:53:01 PM,C,32.094
12/5/19 4:03:01 PM,C,32.094
12/5/19 4:13:01 PM,C,32.094
12/5/19 4:23:01 PM,C,32.094
12/5/19 4:33:01 PM,C,32.032
12/5/19 4:43:01 PM,C,32.094
12/5/19 4:53:01 PM,C,32.094
12/5/19 5:03:01 PM,C,32.094
12/5/19 5:13:01 PM,C,32.094
12/5/19 5:23:01 PM,C,32.094
12/5/19 5:33:01 PM,C,32.094
12/5/19 5:43:01 PM,C,32.032
12/5/19 5:53:01 PM,C,32.032
12/5/19 6:03:01 PM,C,32.032
12/5/19 6:13:01 PM,C,31.907
12/5/19 6:23:01 PM,C,32.032
12/5/19 6:33:01 PM,C,32.157
12/5/19 6:43:01 PM,C,32.219
12/5/19 6:53:01 PM,C,32.219
12/5/19 7:03:01 PM,C,32.219
12/5/19 7:13:01 PM,C,32.219
12/5/19 7:23:01 PM,C,32.157
12/5/19 7:33:01 PM,C,32.094
12/5/19 7:43:01 PM,C,32.032
12/5/19 7:53:01 PM,C,32.032
12/5/19 8:03:01 PM,C,31.969
12/5/19 8:13:01 PM,C,31.907
12/5/19 8:23:01 PM,C,31.844
12/5/19 8:33:01 PM,C,31.782
12/5/19 8:43:01 PM,C,31.72
12/5/19 8:53:01 PM,C,31.657
12/5/19 9:03:01 PM,C,31.657
12/5/19 9:13:01 PM,C,31.595
12/5/19 9:23:01 PM,C,31.595
12/5/19 9:33:01 PM,C,31.595
12/5/19 9:43:01 PM,C,31.595
12/5/19 9:53:01 PM,C,31.532
12/5/19 10:03:01 PM,C,31.532
12/5/19 10:13:01 PM,C,31.532
12/5/19 10:23:01 PM,C,31.47
12/5/19 10:33:01 PM,C,31.47
12/5/19 10:43:01 PM,C,31.407
12/5/19 10:53:01 PM,C,31.345
12/5/19 11:03:01 PM,C,31.345
12/5/19 11:13:01 PM,C,31.345
12/5/19 11:23:01 PM,C,31.282
12/5/19 11:33:01 PM,C,31.345
12/5/19 11:43:01 PM,C,31.345
12/5/19 11:53:01 PM,C,31.345
12/6/19 12:03:01 AM,C,31.345
12/6/19 12:13:01 AM,C,31.282
12/6/19 12:23:01 AM,C,31.282
12/6/19 12:33:01 AM,C,31.282
12/6/19 12:43:01 AM,C,31.22
12/6/19 12:53:01 AM,C,31.22
12/6/19 1:03:01 AM,C,31.158
12/6/19 1:13:01 AM,C,31.158
12/6/19 1:23:01 AM,C,31.158
12/6/19 1:33:01 AM,C,31.095
12/6/19 1:43:01 AM,C,31.095
