1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 640000005EF48041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:35:01 PST 2019
Mission Sample Count:  1124
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:35:01 PST 2019
Total Mission Samples:  1124
Total Device Samples:  4024
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:35:01 PM,C,22.292
12/4/19 4:45:01 PM,C,22.292
12/4/19 4:55:01 PM,C,22.355
12/4/19 5:05:01 PM,C,16.349
12/4/19 5:15:01 PM,C,14.095
12/4/19 5:25:01 PM,C,14.345
12/4/19 5:35:01 PM,C,15.034
12/4/19 5:45:01 PM,C,15.91
12/4/19 5:55:01 PM,C,16.724
12/4/19 6:05:01 PM,C,17.413
12/4/19 6:15:01 PM,C,18.101
12/4/19 6:25:01 PM,C,18.601
12/4/19 6:35:01 PM,C,19.165
12/4/19 6:45:01 PM,C,20.04
12/4/19 6:55:01 PM,C,20.979
12/4/19 7:05:01 PM,C,21.917
12/4/19 7:15:01 PM,C,22.73
12/4/19 7:25:01 PM,C,23.418
12/4/19 7:35:01 PM,C,24.043
12/4/19 7:45:01 PM,C,24.605
12/4/19 7:55:01 PM,C,25.105
12/4/19 8:05:01 PM,C,25.48
12/4/19 8:15:01 PM,C,25.855
12/4/19 8:25:01 PM,C,26.23
12/4/19 8:35:01 PM,C,26.48
12/4/19 8:45:01 PM,C,26.73
12/4/19 8:55:01 PM,C,26.98
12/4/19 9:05:01 PM,C,27.168
12/4/19 9:15:01 PM,C,27.355
12/4/19 9:25:01 PM,C,27.48
12/4/19 9:35:01 PM,C,27.605
12/4/19 9:45:01 PM,C,27.73
12/4/19 9:55:01 PM,C,27.855
12/4/19 10:05:01 PM,C,27.918
12/4/19 10:15:01 PM,C,28.043
12/4/19 10:25:01 PM,C,28.105
12/4/19 10:35:01 PM,C,28.168
12/4/19 10:45:01 PM,C,28.23
12/4/19 10:55:01 PM,C,28.293
12/4/19 11:05:01 PM,C,28.355
12/4/19 11:15:01 PM,C,28.355
12/4/19 11:25:01 PM,C,28.417
12/4/19 11:35:01 PM,C,28.417
12/4/19 11:45:01 PM,C,28.48
12/4/19 11:55:01 PM,C,28.48
12/5/19 12:05:01 AM,C,28.542
12/5/19 12:15:01 AM,C,28.542
12/5/19 12:25:01 AM,C,28.542
12/5/19 12:35:01 AM,C,28.605
12/5/19 12:45:01 AM,C,28.605
12/5/19 12:55:01 AM,C,28.605
12/5/19 1:05:01 AM,C,28.667
12/5/19 1:15:01 AM,C,28.667
12/5/19 1:25:01 AM,C,28.667
12/5/19 1:35:01 AM,C,28.73
12/5/19 1:45:01 AM,C,28.73
12/5/19 1:55:01 AM,C,28.73
12/5/19 2:05:01 AM,C,28.792
12/5/19 2:15:01 AM,C,28.792
12/5/19 2:25:01 AM,C,28.855
12/5/19 2:35:01 AM,C,28.855
12/5/19 2:45:01 AM,C,28.917
12/5/19 2:55:01 AM,C,28.98
12/5/19 3:05:01 AM,C,28.98
12/5/19 3:15:01 AM,C,29.042
12/5/19 3:25:01 AM,C,29.105
12/5/19 3:35:01 AM,C,29.167
12/5/19 3:45:01 AM,C,29.23
12/5/19 3:55:01 AM,C,29.355
12/5/19 4:05:01 AM,C,29.417
12/5/19 4:15:01 AM,C,29.48
12/5/19 4:25:01 AM,C,29.604
12/5/19 4:35:01 AM,C,29.729
12/5/19 4:45:01 AM,C,29.854
12/5/19 4:55:01 AM,C,29.979
12/5/19 5:05:01 AM,C,30.104
12/5/19 5:15:01 AM,C,30.292
12/5/19 5:25:01 AM,C,30.479
12/5/19 5:35:01 AM,C,30.666
12/5/19 5:45:01 AM,C,30.854
12/5/19 5:55:01 AM,C,31.041
12/5/19 6:05:01 AM,C,31.291
12/5/19 6:15:01 AM,C,31.541
12/5/19 6:25:01 AM,C,31.79
12/5/19 6:35:01 AM,C,32.04
12/5/19 6:45:01 AM,C,32.29
12/5/19 6:55:01 AM,C,32.54
12/5/19 7:05:01 AM,C,32.789
12/5/19 7:15:01 AM,C,33.039
12/5/19 7:25:01 AM,C,33.289
12/5/19 7:35:01 AM,C,33.539
12/5/19 7:45:01 AM,C,33.851
12/5/19 7:55:01 AM,C,34.1
12/5/19 8:05:01 AM,C,34.412
12/5/19 8:15:01 AM,C,34.725
12/5/19 8:25:01 AM,C,34.974
12/5/19 8:35:01 AM,C,35.224
12/5/19 8:45:01 AM,C,35.536
