1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC0000005EF67341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:30:01 PST 2019
Mission Sample Count:  1125
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:30:01 PST 2019
Total Mission Samples:  1125
Total Device Samples:  4048
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:30:01 PM,C,23.23
12/4/19 4:40:01 PM,C,23.105
12/4/19 4:50:01 PM,C,23.105
12/4/19 5:00:01 PM,C,23.042
12/4/19 5:10:01 PM,C,20.478
12/4/19 5:20:01 PM,C,19.227
12/4/19 5:30:01 PM,C,19.352
12/4/19 5:40:01 PM,C,19.728
12/4/19 5:50:01 PM,C,20.103
12/4/19 6:00:01 PM,C,20.541
12/4/19 6:10:01 PM,C,20.666
12/4/19 6:20:01 PM,C,21.417
12/4/19 6:30:01 PM,C,22.042
12/4/19 6:40:01 PM,C,22.605
12/4/19 6:50:01 PM,C,23.105
12/4/19 7:00:01 PM,C,23.543
12/4/19 7:10:01 PM,C,23.98
12/4/19 7:20:01 PM,C,24.355
12/4/19 7:30:01 PM,C,24.73
12/4/19 7:40:01 PM,C,25.043
12/4/19 7:50:01 PM,C,25.293
12/4/19 8:00:01 PM,C,25.543
12/4/19 8:10:01 PM,C,25.793
12/4/19 8:20:01 PM,C,25.98
12/4/19 8:30:01 PM,C,26.168
12/4/19 8:40:01 PM,C,26.293
12/4/19 8:50:01 PM,C,26.48
12/4/19 9:00:01 PM,C,26.605
12/4/19 9:10:01 PM,C,26.668
12/4/19 9:20:01 PM,C,26.793
12/4/19 9:30:01 PM,C,26.918
12/4/19 9:40:01 PM,C,26.98
12/4/19 9:50:01 PM,C,27.105
12/4/19 10:00:01 PM,C,27.168
12/4/19 10:10:01 PM,C,27.23
12/4/19 10:20:01 PM,C,27.293
