1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2E000000586D3041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Dec 04 16:54:01 PST 2019
Mission Sample Count:  1123
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Dec 04 16:54:01 PST 2019
Total Mission Samples:  1123
Total Device Samples:  10201
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/4/19 4:54:01 PM,C,22.656
12/4/19 5:04:01 PM,C,18.527
12/4/19 5:14:01 PM,C,16.963
12/4/19 5:24:01 PM,C,17.151
12/4/19 5:34:01 PM,C,17.526
12/4/19 5:44:01 PM,C,18.027
12/4/19 5:54:01 PM,C,18.59
12/4/19 6:04:01 PM,C,19.153
12/4/19 6:14:01 PM,C,19.591
12/4/19 6:24:01 PM,C,20.029
12/4/19 6:34:01 PM,C,20.779
12/4/19 6:44:01 PM,C,21.718
12/4/19 6:54:01 PM,C,22.53
12/4/19 7:04:01 PM,C,23.281
12/4/19 7:14:01 PM,C,23.969
12/4/19 7:24:01 PM,C,24.531
12/4/19 7:34:01 PM,C,25.031
12/4/19 7:44:01 PM,C,25.469
12/4/19 7:54:01 PM,C,25.906
12/4/19 8:04:01 PM,C,26.219
12/4/19 8:14:01 PM,C,26.594
12/4/19 8:24:01 PM,C,26.844
12/4/19 8:34:01 PM,C,27.094
12/4/19 8:44:01 PM,C,27.344
12/4/19 8:54:01 PM,C,27.531
12/4/19 9:04:01 PM,C,27.718
12/4/19 9:14:01 PM,C,27.843
12/4/19 9:24:01 PM,C,28.031
12/4/19 9:34:01 PM,C,28.156
12/4/19 9:44:01 PM,C,28.218
12/4/19 9:54:01 PM,C,28.343
12/4/19 10:04:01 PM,C,28.468
12/4/19 10:14:01 PM,C,28.531
12/4/19 10:24:01 PM,C,28.593
12/4/19 10:34:01 PM,C,28.656
12/4/19 10:44:01 PM,C,28.718
12/4/19 10:54:01 PM,C,28.78
12/4/19 11:04:01 PM,C,28.78
12/4/19 11:14:01 PM,C,28.843
12/4/19 11:24:01 PM,C,28.905
12/4/19 11:34:01 PM,C,28.905
12/4/19 11:44:01 PM,C,28.968
12/4/19 11:54:01 PM,C,28.968
12/5/19 12:04:01 AM,C,28.968
12/5/19 12:14:01 AM,C,29.03
12/5/19 12:24:01 AM,C,29.03
12/5/19 12:34:01 AM,C,29.093
12/5/19 12:44:01 AM,C,29.093
12/5/19 12:54:01 AM,C,29.093
12/5/19 1:04:01 AM,C,29.093
12/5/19 1:14:01 AM,C,29.155
12/5/19 1:24:01 AM,C,29.155
12/5/19 1:34:01 AM,C,29.155
12/5/19 1:44:01 AM,C,29.218
12/5/19 1:54:01 AM,C,29.218
12/5/19 2:04:01 AM,C,29.218
12/5/19 2:14:01 AM,C,29.28
12/5/19 2:24:01 AM,C,29.28
12/5/19 2:34:01 AM,C,29.343
