1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC00000069AFB241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:00:01 PST 2019
Mission Sample Count:  1412
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:00:01 PST 2019
Total Mission Samples:  1412
Total Device Samples:  5312
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:00:01 PM,C,19.03
12/21/19 3:10:01 PM,C,19.093
12/21/19 3:20:01 PM,C,19.093
12/21/19 3:30:01 PM,C,19.156
12/21/19 3:40:01 PM,C,19.156
12/21/19 3:50:01 PM,C,19.156
12/21/19 4:00:01 PM,C,19.156
12/21/19 4:10:01 PM,C,19.218
12/21/19 4:20:01 PM,C,19.218
12/21/19 4:30:01 PM,C,19.218
12/21/19 4:40:01 PM,C,19.218
12/21/19 4:50:01 PM,C,19.218
12/21/19 5:00:01 PM,C,19.218
12/21/19 5:10:01 PM,C,19.218
12/21/19 5:20:01 PM,C,19.281
12/21/19 5:30:01 PM,C,19.281
12/21/19 5:40:01 PM,C,21.158
12/21/19 5:50:01 PM,C,21.659
12/21/19 6:00:01 PM,C,21.346
12/21/19 6:10:01 PM,C,21.346
12/21/19 6:20:01 PM,C,21.408
12/21/19 6:30:01 PM,C,21.471
12/21/19 6:40:01 PM,C,21.533
12/21/19 6:50:01 PM,C,21.533
12/21/19 7:00:01 PM,C,21.471
12/21/19 7:10:01 PM,C,21.346
12/21/19 7:20:01 PM,C,20.97
12/21/19 7:30:01 PM,C,18.905
12/21/19 7:40:01 PM,C,20.908
12/21/19 7:50:01 PM,C,22.347
12/21/19 8:00:01 PM,C,23.41
12/21/19 8:10:01 PM,C,24.223
12/21/19 8:20:01 PM,C,24.973
12/21/19 8:30:01 PM,C,25.598
12/21/19 8:40:01 PM,C,26.098
12/21/19 8:50:01 PM,C,26.473
12/21/19 9:00:01 PM,C,26.847
12/21/19 9:10:01 PM,C,27.16
12/21/19 9:20:01 PM,C,27.472
12/21/19 9:30:01 PM,C,27.66
12/21/19 9:40:01 PM,C,27.847
12/21/19 9:50:01 PM,C,27.972
12/21/19 10:00:01 PM,C,28.159
12/21/19 10:10:01 PM,C,28.284
12/21/19 10:20:01 PM,C,28.409
12/21/19 10:30:01 PM,C,28.471
12/21/19 10:40:01 PM,C,28.534
12/21/19 10:50:01 PM,C,28.596
12/21/19 11:00:01 PM,C,28.659
12/21/19 11:10:01 PM,C,28.659
12/21/19 11:20:01 PM,C,28.721
12/21/19 11:30:01 PM,C,28.721
12/21/19 11:40:01 PM,C,28.784
12/21/19 11:50:01 PM,C,28.784
12/22/19 12:00:01 AM,C,28.846
12/22/19 12:10:01 AM,C,28.846
12/22/19 12:20:01 AM,C,28.846
12/22/19 12:30:01 AM,C,28.846
12/22/19 12:40:01 AM,C,28.909
12/22/19 12:50:01 AM,C,28.909
12/22/19 1:00:01 AM,C,28.909
12/22/19 1:10:01 AM,C,28.909
12/22/19 1:20:01 AM,C,28.909
12/22/19 1:30:01 AM,C,28.909
12/22/19 1:40:01 AM,C,28.909
12/22/19 1:50:01 AM,C,28.909
12/22/19 2:00:01 AM,C,28.909
12/22/19 2:10:01 AM,C,28.909
12/22/19 2:20:01 AM,C,28.909
12/22/19 2:30:01 AM,C,28.909
12/22/19 2:40:01 AM,C,28.909
12/22/19 2:50:01 AM,C,28.971
12/22/19 3:00:01 AM,C,28.971
12/22/19 3:10:01 AM,C,28.909
12/22/19 3:20:01 AM,C,28.909
12/22/19 3:30:01 AM,C,28.971
12/22/19 3:40:01 AM,C,28.971
12/22/19 3:50:01 AM,C,28.971
12/22/19 4:00:01 AM,C,28.971
12/22/19 4:10:01 AM,C,28.971
12/22/19 4:20:01 AM,C,28.971
12/22/19 4:30:01 AM,C,28.971
12/22/19 4:40:01 AM,C,28.971
12/22/19 4:50:01 AM,C,28.971
12/22/19 5:00:01 AM,C,29.034
12/22/19 5:10:01 AM,C,29.034
12/22/19 5:20:01 AM,C,29.034
12/22/19 5:30:01 AM,C,29.034
12/22/19 5:40:01 AM,C,29.034
12/22/19 5:50:01 AM,C,29.096
12/22/19 6:00:01 AM,C,29.096
