1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2F000000586E9E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:20:01 PST 2019
Mission Sample Count:  1410
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:20:01 PST 2019
Total Mission Samples:  1410
Total Device Samples:  12367
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:20:01 PM,C,19.27
12/21/19 3:30:01 PM,C,19.332
12/21/19 3:40:01 PM,C,19.332
12/21/19 3:50:01 PM,C,19.395
12/21/19 4:00:01 PM,C,19.395
12/21/19 4:10:01 PM,C,19.395
12/21/19 4:20:01 PM,C,19.395
12/21/19 4:30:01 PM,C,19.395
12/21/19 4:40:01 PM,C,19.395
12/21/19 4:50:01 PM,C,19.457
12/21/19 5:00:01 PM,C,19.457
12/21/19 5:10:01 PM,C,19.457
12/21/19 5:20:01 PM,C,19.457
12/21/19 5:30:01 PM,C,19.457
12/21/19 5:40:01 PM,C,21.084
12/21/19 5:50:01 PM,C,21.772
12/21/19 6:00:01 PM,C,21.522
12/21/19 6:10:01 PM,C,21.522
12/21/19 6:20:01 PM,C,21.584
12/21/19 6:30:01 PM,C,21.584
12/21/19 6:40:01 PM,C,21.647
12/21/19 6:50:01 PM,C,21.647
12/21/19 7:00:01 PM,C,21.584
12/21/19 7:10:01 PM,C,20.771
12/21/19 7:20:01 PM,C,20.271
12/21/19 7:30:01 PM,C,21.709
12/21/19 7:40:01 PM,C,23.085
12/21/19 7:50:01 PM,C,24.398
12/21/19 8:00:01 PM,C,25.273
12/21/19 8:10:01 PM,C,25.961
12/21/19 8:20:01 PM,C,26.461
12/21/19 8:30:01 PM,C,26.898
12/21/19 8:40:01 PM,C,27.336
12/21/19 8:50:01 PM,C,27.648
12/21/19 9:00:01 PM,C,27.96
12/21/19 9:10:01 PM,C,28.21
12/21/19 9:20:01 PM,C,28.46
12/21/19 9:30:01 PM,C,28.585
12/21/19 9:40:01 PM,C,28.773
12/21/19 9:50:01 PM,C,28.835
12/21/19 10:00:01 PM,C,28.96
12/21/19 10:10:01 PM,C,29.022
12/21/19 10:20:01 PM,C,29.147
12/21/19 10:30:01 PM,C,29.147
12/21/19 10:40:01 PM,C,29.272
12/21/19 10:50:01 PM,C,29.272
12/21/19 11:00:01 PM,C,29.335
12/21/19 11:10:01 PM,C,29.397
12/21/19 11:20:01 PM,C,29.335
12/21/19 11:30:01 PM,C,29.397
12/21/19 11:40:01 PM,C,29.46
12/21/19 11:50:01 PM,C,29.46
12/22/19 12:00:01 AM,C,29.522
12/22/19 12:10:01 AM,C,29.584
12/22/19 12:20:01 AM,C,29.647
12/22/19 12:30:01 AM,C,29.709
12/22/19 12:40:01 AM,C,29.709
12/22/19 12:50:01 AM,C,29.772
12/22/19 1:00:01 AM,C,29.834
12/22/19 1:10:01 AM,C,29.897
12/22/19 1:20:01 AM,C,29.959
12/22/19 1:30:01 AM,C,29.959
12/22/19 1:40:01 AM,C,30.022
12/22/19 1:50:01 AM,C,30.084
12/22/19 2:00:01 AM,C,30.146
12/22/19 2:10:01 AM,C,30.209
12/22/19 2:20:01 AM,C,30.209
12/22/19 2:30:01 AM,C,30.334
12/22/19 2:40:01 AM,C,30.396
12/22/19 2:50:01 AM,C,30.459
12/22/19 3:00:01 AM,C,30.459
12/22/19 3:10:01 AM,C,30.521
12/22/19 3:20:01 AM,C,30.584
12/22/19 3:30:01 AM,C,30.646
12/22/19 3:40:01 AM,C,30.708
12/22/19 3:50:01 AM,C,30.771
12/22/19 4:00:01 AM,C,30.771
12/22/19 4:10:01 AM,C,30.833
12/22/19 4:20:01 AM,C,30.896
12/22/19 4:30:01 AM,C,30.896
12/22/19 4:40:01 AM,C,30.958
12/22/19 4:50:01 AM,C,31.021
12/22/19 5:00:01 AM,C,31.021
12/22/19 5:10:01 AM,C,31.083
12/22/19 5:20:01 AM,C,31.146
12/22/19 5:30:01 AM,C,31.146
12/22/19 5:40:01 AM,C,31.208
12/22/19 5:50:01 AM,C,31.27
12/22/19 6:00:01 AM,C,31.27
12/22/19 6:10:01 AM,C,31.333
12/22/19 6:20:01 AM,C,31.395
12/22/19 6:30:01 AM,C,31.395
12/22/19 6:40:01 AM,C,31.458
12/22/19 6:50:01 AM,C,31.458
12/22/19 7:00:01 AM,C,31.52
12/22/19 7:10:01 AM,C,31.583
12/22/19 7:20:01 AM,C,31.583
12/22/19 7:30:01 AM,C,31.645
12/22/19 7:40:01 AM,C,31.645
12/22/19 7:50:01 AM,C,31.645
12/22/19 8:00:01 AM,C,31.645
12/22/19 8:10:01 AM,C,31.707
12/22/19 8:20:01 AM,C,31.707
12/22/19 8:30:01 AM,C,31.77
12/22/19 8:40:01 AM,C,31.707
12/22/19 8:50:01 AM,C,31.77
12/22/19 9:00:01 AM,C,31.707
12/22/19 9:10:01 AM,C,31.707
12/22/19 9:20:01 AM,C,31.707
12/22/19 9:30:01 AM,C,31.645
12/22/19 9:40:01 AM,C,31.645
12/22/19 9:50:01 AM,C,31.645
12/22/19 10:00:01 AM,C,31.583
12/22/19 10:10:01 AM,C,31.583
12/22/19 10:20:01 AM,C,31.52
12/22/19 10:30:01 AM,C,31.52
12/22/19 10:40:01 AM,C,31.458
12/22/19 10:50:01 AM,C,31.458
12/22/19 11:00:01 AM,C,31.395
12/22/19 11:10:01 AM,C,31.395
12/22/19 11:20:01 AM,C,31.395
12/22/19 11:30:01 AM,C,31.333
12/22/19 11:40:01 AM,C,31.333
12/22/19 11:50:01 AM,C,31.333
12/22/19 12:00:01 PM,C,31.333
12/22/19 12:10:01 PM,C,31.27
12/22/19 12:20:01 PM,C,31.27
12/22/19 12:30:01 PM,C,31.208
12/22/19 12:40:01 PM,C,31.146
12/22/19 12:50:01 PM,C,31.146
12/22/19 1:00:01 PM,C,31.146
12/22/19 1:10:01 PM,C,31.146
12/22/19 1:20:01 PM,C,31.083
12/22/19 1:30:01 PM,C,31.083
12/22/19 1:40:01 PM,C,31.083
12/22/19 1:50:01 PM,C,31.083
12/22/19 2:00:01 PM,C,31.021
12/22/19 2:10:01 PM,C,30.958
12/22/19 2:20:01 PM,C,30.896
12/22/19 2:30:01 PM,C,30.896
12/22/19 2:40:01 PM,C,30.896
12/22/19 2:50:01 PM,C,30.896
12/22/19 3:00:01 PM,C,30.896
12/22/19 3:10:01 PM,C,30.896
12/22/19 3:20:01 PM,C,30.896
12/22/19 3:30:01 PM,C,30.896
12/22/19 3:40:01 PM,C,30.958
12/22/19 3:50:01 PM,C,30.958
12/22/19 4:00:01 PM,C,31.021
12/22/19 4:10:01 PM,C,31.021
12/22/19 4:20:01 PM,C,31.083
12/22/19 4:30:01 PM,C,31.146
12/22/19 4:40:01 PM,C,31.146
12/22/19 4:50:01 PM,C,31.27
12/22/19 5:00:01 PM,C,31.27
12/22/19 5:10:01 PM,C,31.333
12/22/19 5:20:01 PM,C,31.395
12/22/19 5:30:01 PM,C,31.458
12/22/19 5:40:01 PM,C,31.52
12/22/19 5:50:01 PM,C,31.583
12/22/19 6:00:01 PM,C,31.645
12/22/19 6:10:01 PM,C,31.77
12/22/19 6:20:01 PM,C,31.832
12/22/19 6:30:01 PM,C,31.957
12/22/19 6:40:01 PM,C,32.02
12/22/19 6:50:01 PM,C,32.082
12/22/19 7:00:01 PM,C,32.207
12/22/19 7:10:01 PM,C,32.332
12/22/19 7:20:01 PM,C,32.394
12/22/19 7:30:01 PM,C,32.519
12/22/19 7:40:01 PM,C,32.644
12/22/19 7:50:01 PM,C,32.706
12/22/19 8:00:01 PM,C,32.831
12/22/19 8:10:01 PM,C,32.956
12/22/19 8:20:01 PM,C,33.018
12/22/19 8:30:01 PM,C,33.143
12/22/19 8:40:01 PM,C,33.268
12/22/19 8:50:01 PM,C,33.393
12/22/19 9:00:01 PM,C,33.455
12/22/19 9:10:01 PM,C,33.58
12/22/19 9:20:01 PM,C,33.642
12/22/19 9:30:01 PM,C,33.767
12/22/19 9:40:01 PM,C,33.892
12/22/19 9:50:01 PM,C,34.017
12/22/19 10:00:01 PM,C,34.079
12/22/19 10:10:01 PM,C,34.204
12/22/19 10:20:01 PM,C,34.329
12/22/19 10:30:01 PM,C,34.391
12/22/19 10:40:01 PM,C,34.516
12/22/19 10:50:01 PM,C,34.641
12/22/19 11:00:01 PM,C,34.765
12/22/19 11:10:01 PM,C,34.828
12/22/19 11:20:01 PM,C,34.953
12/22/19 11:30:01 PM,C,35.015
12/22/19 11:40:01 PM,C,35.14
12/22/19 11:50:01 PM,C,35.202
12/23/19 12:00:01 AM,C,35.327
12/23/19 12:10:01 AM,C,35.389
12/23/19 12:20:01 AM,C,35.452
12/23/19 12:30:01 AM,C,35.576
12/23/19 12:40:01 AM,C,35.701
12/23/19 12:50:01 AM,C,35.764
12/23/19 1:00:01 AM,C,35.888
12/23/19 1:10:01 AM,C,35.951
