1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC0000005EF67341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:20:01 PST 2019
Mission Sample Count:  1410
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:20:01 PST 2019
Total Mission Samples:  1410
Total Device Samples:  6751
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:20:01 PM,C,19.352
12/21/19 3:30:01 PM,C,19.415
12/21/19 3:40:01 PM,C,19.415
12/21/19 3:50:01 PM,C,19.415
12/21/19 4:00:01 PM,C,19.415
12/21/19 4:10:01 PM,C,19.478
12/21/19 4:20:01 PM,C,19.478
12/21/19 4:30:01 PM,C,19.478
12/21/19 4:40:01 PM,C,19.478
12/21/19 4:50:01 PM,C,19.478
12/21/19 5:00:01 PM,C,19.478
12/21/19 5:10:01 PM,C,19.478
12/21/19 5:20:01 PM,C,19.478
12/21/19 5:30:01 PM,C,19.54
12/21/19 5:40:01 PM,C,20.478
12/21/19 5:50:01 PM,C,21.979
12/21/19 6:00:01 PM,C,21.604
12/21/19 6:10:01 PM,C,21.542
12/21/19 6:20:01 PM,C,21.604
12/21/19 6:30:01 PM,C,21.667
12/21/19 6:40:01 PM,C,21.792
12/21/19 6:50:01 PM,C,21.854
12/21/19 7:00:01 PM,C,21.792
12/21/19 7:10:01 PM,C,21.604
12/21/19 7:20:01 PM,C,20.791
12/21/19 7:30:01 PM,C,19.102
12/21/19 7:40:01 PM,C,19.79
12/21/19 7:50:01 PM,C,20.103
12/21/19 8:00:01 PM,C,20.478
12/21/19 8:10:01 PM,C,21.104
12/21/19 8:20:01 PM,C,21.792
12/21/19 8:30:01 PM,C,22.417
12/21/19 8:40:01 PM,C,23.042
12/21/19 8:50:01 PM,C,23.543
12/21/19 9:00:01 PM,C,23.98
12/21/19 9:10:01 PM,C,24.418
12/21/19 9:20:01 PM,C,24.793
12/21/19 9:30:01 PM,C,25.168
12/21/19 9:40:01 PM,C,25.418
12/21/19 9:50:01 PM,C,25.73
12/21/19 10:00:01 PM,C,25.98
12/21/19 10:10:01 PM,C,26.168
12/21/19 10:20:01 PM,C,26.355
12/21/19 10:30:01 PM,C,26.543
12/21/19 10:40:01 PM,C,26.668
12/21/19 10:50:01 PM,C,26.793
12/21/19 11:00:01 PM,C,26.918
12/21/19 11:10:01 PM,C,26.98
12/21/19 11:20:01 PM,C,27.105
12/21/19 11:30:01 PM,C,27.168
12/21/19 11:40:01 PM,C,27.23
12/21/19 11:50:01 PM,C,27.293
12/22/19 12:00:01 AM,C,27.293
12/22/19 12:10:01 AM,C,27.355
12/22/19 12:20:01 AM,C,27.355
12/22/19 12:30:01 AM,C,27.418
12/22/19 12:40:01 AM,C,27.418
12/22/19 12:50:01 AM,C,27.418
12/22/19 1:00:01 AM,C,27.418
12/22/19 1:10:01 AM,C,27.48
12/22/19 1:20:01 AM,C,27.48
12/22/19 1:30:01 AM,C,27.48
12/22/19 1:40:01 AM,C,27.48
12/22/19 1:50:01 AM,C,27.48
12/22/19 2:00:01 AM,C,27.48
12/22/19 2:10:01 AM,C,27.48
12/22/19 2:20:01 AM,C,27.543
12/22/19 2:30:01 AM,C,27.543
12/22/19 2:40:01 AM,C,27.543
12/22/19 2:50:01 AM,C,27.543
12/22/19 3:00:01 AM,C,27.543
12/22/19 3:10:01 AM,C,27.605
12/22/19 3:20:01 AM,C,27.605
12/22/19 3:30:01 AM,C,27.605
12/22/19 3:40:01 AM,C,27.605
12/22/19 3:50:01 AM,C,27.605
12/22/19 4:00:01 AM,C,27.668
12/22/19 4:10:01 AM,C,27.668
12/22/19 4:20:01 AM,C,27.668
12/22/19 4:30:01 AM,C,27.668
12/22/19 4:40:01 AM,C,27.668
12/22/19 4:50:01 AM,C,27.73
12/22/19 5:00:01 AM,C,27.73
12/22/19 5:10:01 AM,C,27.73
12/22/19 5:20:01 AM,C,27.73
12/22/19 5:30:01 AM,C,27.73
12/22/19 5:40:01 AM,C,27.793
12/22/19 5:50:01 AM,C,27.793
12/22/19 6:00:01 AM,C,27.793
12/22/19 6:10:01 AM,C,27.855
12/22/19 6:20:01 AM,C,27.855
12/22/19 6:30:01 AM,C,27.855
12/22/19 6:40:01 AM,C,27.918
12/22/19 6:50:01 AM,C,27.918
12/22/19 7:00:01 AM,C,27.98
12/22/19 7:10:01 AM,C,27.98
12/22/19 7:20:01 AM,C,28.043
12/22/19 7:30:01 AM,C,28.105
12/22/19 7:40:01 AM,C,28.105
12/22/19 7:50:01 AM,C,28.168
12/22/19 8:00:01 AM,C,28.23
12/22/19 8:10:01 AM,C,28.23
12/22/19 8:20:01 AM,C,28.293
12/22/19 8:30:01 AM,C,28.355
12/22/19 8:40:01 AM,C,28.417
12/22/19 8:50:01 AM,C,28.48
12/22/19 9:00:01 AM,C,28.542
12/22/19 9:10:01 AM,C,28.605
12/22/19 9:20:01 AM,C,28.667
12/22/19 9:30:01 AM,C,28.73
12/22/19 9:40:01 AM,C,28.792
12/22/19 9:50:01 AM,C,28.855
12/22/19 10:00:01 AM,C,28.917
12/22/19 10:10:01 AM,C,28.98
12/22/19 10:20:01 AM,C,29.042
12/22/19 10:30:01 AM,C,29.105
12/22/19 10:40:01 AM,C,29.167
12/22/19 10:50:01 AM,C,29.23
12/22/19 11:00:01 AM,C,29.292
12/22/19 11:10:01 AM,C,29.355
12/22/19 11:20:01 AM,C,29.417
12/22/19 11:30:01 AM,C,29.417
12/22/19 11:40:01 AM,C,29.542
12/22/19 11:50:01 AM,C,29.542
12/22/19 12:00:01 PM,C,29.604
12/22/19 12:10:01 PM,C,29.667
12/22/19 12:20:01 PM,C,29.729
12/22/19 12:30:01 PM,C,29.792
12/22/19 12:40:01 PM,C,29.854
12/22/19 12:50:01 PM,C,29.854
12/22/19 1:00:01 PM,C,29.917
12/22/19 1:10:01 PM,C,29.979
12/22/19 1:20:01 PM,C,30.042
12/22/19 1:30:01 PM,C,30.104
12/22/19 1:40:01 PM,C,30.104
12/22/19 1:50:01 PM,C,30.167
12/22/19 2:00:01 PM,C,30.229
12/22/19 2:10:01 PM,C,30.229
12/22/19 2:20:01 PM,C,30.354
12/22/19 2:30:01 PM,C,30.354
12/22/19 2:40:01 PM,C,30.416
12/22/19 2:50:01 PM,C,30.479
12/22/19 3:00:01 PM,C,30.479
12/22/19 3:10:01 PM,C,30.541
12/22/19 3:20:01 PM,C,30.604
12/22/19 3:30:01 PM,C,30.604
12/22/19 3:40:01 PM,C,30.666
12/22/19 3:50:01 PM,C,30.666
12/22/19 4:00:01 PM,C,30.666
