1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7B0000005EF3AB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:19:01 PST 2019
Mission Sample Count:  1410
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:19:01 PST 2019
Total Mission Samples:  1410
Total Device Samples:  6749
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:19:01 PM,C,19.288
12/21/19 3:29:01 PM,C,19.288
12/21/19 3:39:01 PM,C,19.35
12/21/19 3:49:01 PM,C,19.35
12/21/19 3:59:01 PM,C,19.35
12/21/19 4:09:01 PM,C,19.413
12/21/19 4:19:01 PM,C,19.413
12/21/19 4:29:01 PM,C,19.413
12/21/19 4:39:01 PM,C,19.413
12/21/19 4:49:01 PM,C,19.413
12/21/19 4:59:01 PM,C,19.413
12/21/19 5:09:01 PM,C,19.413
12/21/19 5:19:01 PM,C,19.475
12/21/19 5:29:01 PM,C,19.475
12/21/19 5:39:01 PM,C,20.539
12/21/19 5:49:01 PM,C,22.104
12/21/19 5:59:01 PM,C,21.728
12/21/19 6:09:01 PM,C,21.603
12/21/19 6:19:01 PM,C,21.541
12/21/19 6:29:01 PM,C,21.541
12/21/19 6:39:01 PM,C,21.603
12/21/19 6:49:01 PM,C,21.728
12/21/19 6:59:01 PM,C,21.728
12/21/19 7:09:01 PM,C,21.353
12/21/19 7:19:01 PM,C,21.228
12/21/19 7:29:01 PM,C,16.72
12/21/19 7:39:01 PM,C,19.413
12/21/19 7:49:01 PM,C,20.352
12/21/19 7:59:01 PM,C,21.29
12/21/19 8:09:01 PM,C,22.041
12/21/19 8:19:01 PM,C,22.667
12/21/19 8:29:01 PM,C,23.167
12/21/19 8:39:01 PM,C,23.605
12/21/19 8:49:01 PM,C,24.043
12/21/19 8:59:01 PM,C,24.355
12/21/19 9:09:01 PM,C,24.668
12/21/19 9:19:01 PM,C,24.918
