1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3F0000005EF3DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:03:01 PST 2019
Mission Sample Count:  1411
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:03:01 PST 2019
Total Mission Samples:  1411
Total Device Samples:  6714
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:03:01 PM,C,19.05
12/21/19 3:13:01 PM,C,19.113
12/21/19 3:23:01 PM,C,19.113
12/21/19 3:33:01 PM,C,19.175
12/21/19 3:43:01 PM,C,19.238
12/21/19 3:53:01 PM,C,19.175
12/21/19 4:03:01 PM,C,19.238
12/21/19 4:13:01 PM,C,19.238
12/21/19 4:23:01 PM,C,19.238
12/21/19 4:33:01 PM,C,19.238
12/21/19 4:43:01 PM,C,19.3
12/21/19 4:53:01 PM,C,19.3
12/21/19 5:03:01 PM,C,19.3
12/21/19 5:13:01 PM,C,19.3
12/21/19 5:23:01 PM,C,19.3
12/21/19 5:33:01 PM,C,19.3
12/21/19 5:43:01 PM,C,21.428
12/21/19 5:53:01 PM,C,21.428
12/21/19 6:03:01 PM,C,21.365
12/21/19 6:13:01 PM,C,21.365
12/21/19 6:23:01 PM,C,21.428
12/21/19 6:33:01 PM,C,21.49
12/21/19 6:43:01 PM,C,21.615
12/21/19 6:53:01 PM,C,21.615
12/21/19 7:03:01 PM,C,20.865
12/21/19 7:13:01 PM,C,19.738
12/21/19 7:23:01 PM,C,19.864
12/21/19 7:33:01 PM,C,20.427
12/21/19 7:43:01 PM,C,21.178
12/21/19 7:53:01 PM,C,21.928
12/21/19 8:03:01 PM,C,22.679
12/21/19 8:13:01 PM,C,23.367
12/21/19 8:23:01 PM,C,23.929
12/21/19 8:33:01 PM,C,24.492
12/21/19 8:43:01 PM,C,24.93
12/21/19 8:53:01 PM,C,25.242
12/21/19 9:03:01 PM,C,25.617
12/21/19 9:13:01 PM,C,25.867
12/21/19 9:23:01 PM,C,26.117
12/21/19 9:33:01 PM,C,26.305
12/21/19 9:43:01 PM,C,26.492
12/21/19 9:53:01 PM,C,26.68
12/21/19 10:03:01 PM,C,26.805
12/21/19 10:13:01 PM,C,26.93
12/21/19 10:23:01 PM,C,27.055
12/21/19 10:33:01 PM,C,27.117
12/21/19 10:43:01 PM,C,27.179
12/21/19 10:53:01 PM,C,27.242
12/21/19 11:03:01 PM,C,27.304
12/21/19 11:13:01 PM,C,27.304
12/21/19 11:23:01 PM,C,27.367
12/21/19 11:33:01 PM,C,27.367
12/21/19 11:43:01 PM,C,27.367
12/21/19 11:53:01 PM,C,27.367
12/22/19 12:03:01 AM,C,27.429
12/22/19 12:13:01 AM,C,27.429
12/22/19 12:23:01 AM,C,27.429
12/22/19 12:33:01 AM,C,27.429
12/22/19 12:43:01 AM,C,27.429
12/22/19 12:53:01 AM,C,27.429
12/22/19 1:03:01 AM,C,27.429
12/22/19 1:13:01 AM,C,27.429
12/22/19 1:23:01 AM,C,27.429
12/22/19 1:33:01 AM,C,27.429
12/22/19 1:43:01 AM,C,27.429
12/22/19 1:53:01 AM,C,27.429
12/22/19 2:03:01 AM,C,27.492
12/22/19 2:13:01 AM,C,27.492
12/22/19 2:23:01 AM,C,27.492
12/22/19 2:33:01 AM,C,27.492
12/22/19 2:43:01 AM,C,27.492
12/22/19 2:53:01 AM,C,27.492
12/22/19 3:03:01 AM,C,27.492
12/22/19 3:13:01 AM,C,27.554
12/22/19 3:23:01 AM,C,27.554
12/22/19 3:33:01 AM,C,27.554
12/22/19 3:43:01 AM,C,27.554
12/22/19 3:53:01 AM,C,27.617
12/22/19 4:03:01 AM,C,27.617
12/22/19 4:13:01 AM,C,27.617
12/22/19 4:23:01 AM,C,27.617
12/22/19 4:33:01 AM,C,27.617
12/22/19 4:43:01 AM,C,27.617
12/22/19 4:53:01 AM,C,27.679
12/22/19 5:03:01 AM,C,27.679
12/22/19 5:13:01 AM,C,27.679
12/22/19 5:23:01 AM,C,27.679
12/22/19 5:33:01 AM,C,27.742
12/22/19 5:43:01 AM,C,27.742
12/22/19 5:53:01 AM,C,27.742
12/22/19 6:03:01 AM,C,27.804
12/22/19 6:13:01 AM,C,27.804
12/22/19 6:23:01 AM,C,27.804
12/22/19 6:33:01 AM,C,27.867
12/22/19 6:43:01 AM,C,27.867
12/22/19 6:53:01 AM,C,27.929
12/22/19 7:03:01 AM,C,27.929
12/22/19 7:13:01 AM,C,27.992
12/22/19 7:23:01 AM,C,27.992
12/22/19 7:33:01 AM,C,28.054
12/22/19 7:43:01 AM,C,28.117
12/22/19 7:53:01 AM,C,28.117
12/22/19 8:03:01 AM,C,28.179
12/22/19 8:13:01 AM,C,28.242
12/22/19 8:23:01 AM,C,28.304
12/22/19 8:33:01 AM,C,28.366
12/22/19 8:43:01 AM,C,28.366
12/22/19 8:53:01 AM,C,28.429
12/22/19 9:03:01 AM,C,28.491
12/22/19 9:13:01 AM,C,28.554
12/22/19 9:23:01 AM,C,28.554
12/22/19 9:33:01 AM,C,28.616
12/22/19 9:43:01 AM,C,28.679
12/22/19 9:53:01 AM,C,28.679
12/22/19 10:03:01 AM,C,28.741
12/22/19 10:13:01 AM,C,28.804
12/22/19 10:23:01 AM,C,28.866
12/22/19 10:33:01 AM,C,28.866
12/22/19 10:43:01 AM,C,28.929
12/22/19 10:53:01 AM,C,28.991
12/22/19 11:03:01 AM,C,28.991
12/22/19 11:13:01 AM,C,29.054
