1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6300000069ADF141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:04:01 PST 2019
Mission Sample Count:  1411
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:04:01 PST 2019
Total Mission Samples:  1411
Total Device Samples:  7162
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:04:01 PM,C,18.97
12/21/19 3:14:01 PM,C,19.032
12/21/19 3:24:01 PM,C,19.032
12/21/19 3:34:01 PM,C,19.095
12/21/19 3:44:01 PM,C,19.095
12/21/19 3:54:01 PM,C,19.095
12/21/19 4:04:01 PM,C,19.095
12/21/19 4:14:01 PM,C,19.158
12/21/19 4:24:01 PM,C,19.158
12/21/19 4:34:01 PM,C,19.158
12/21/19 4:44:01 PM,C,19.158
12/21/19 4:54:01 PM,C,19.158
12/21/19 5:04:01 PM,C,19.22
12/21/19 5:14:01 PM,C,19.22
12/21/19 5:24:01 PM,C,19.22
12/21/19 5:34:01 PM,C,19.22
12/21/19 5:44:01 PM,C,24.098
12/21/19 5:54:01 PM,C,21.534
12/21/19 6:04:01 PM,C,21.347
12/21/19 6:14:01 PM,C,21.347
12/21/19 6:24:01 PM,C,21.409
12/21/19 6:34:01 PM,C,21.472
12/21/19 6:44:01 PM,C,21.534
12/21/19 6:54:01 PM,C,21.597
12/21/19 7:04:01 PM,C,20.971
12/21/19 7:14:01 PM,C,19.721
12/21/19 7:24:01 PM,C,19.971
12/21/19 7:34:01 PM,C,20.659
12/21/19 7:44:01 PM,C,21.347
12/21/19 7:54:01 PM,C,22.034
12/21/19 8:04:01 PM,C,22.66
12/21/19 8:14:01 PM,C,23.347
12/21/19 8:24:01 PM,C,23.973
12/21/19 8:34:01 PM,C,24.473
12/21/19 8:44:01 PM,C,24.848
12/21/19 8:54:01 PM,C,25.16
12/21/19 9:04:01 PM,C,25.41
12/21/19 9:14:01 PM,C,25.66
12/21/19 9:24:01 PM,C,25.785
12/21/19 9:34:01 PM,C,25.973
12/21/19 9:44:01 PM,C,26.035
12/21/19 9:54:01 PM,C,26.16
12/21/19 10:04:01 PM,C,26.223
12/21/19 10:14:01 PM,C,26.223
12/21/19 10:24:01 PM,C,26.285
12/21/19 10:34:01 PM,C,26.348
12/21/19 10:44:01 PM,C,26.348
12/21/19 10:54:01 PM,C,26.348
12/21/19 11:04:01 PM,C,26.348
12/21/19 11:14:01 PM,C,26.41
12/21/19 11:24:01 PM,C,26.41
12/21/19 11:34:01 PM,C,26.41
12/21/19 11:44:01 PM,C,26.41
12/21/19 11:54:01 PM,C,26.41
12/22/19 12:04:01 AM,C,26.41
12/22/19 12:14:01 AM,C,26.473
12/22/19 12:24:01 AM,C,26.473
12/22/19 12:34:01 AM,C,26.473
12/22/19 12:44:01 AM,C,26.473
12/22/19 12:54:01 AM,C,26.535
12/22/19 1:04:01 AM,C,26.535
12/22/19 1:14:01 AM,C,26.535
12/22/19 1:24:01 AM,C,26.598
12/22/19 1:34:01 AM,C,26.598
12/22/19 1:44:01 AM,C,26.66
12/22/19 1:54:01 AM,C,26.66
12/22/19 2:04:01 AM,C,26.723
12/22/19 2:14:01 AM,C,26.785
12/22/19 2:24:01 AM,C,26.847
12/22/19 2:34:01 AM,C,26.91
12/22/19 2:44:01 AM,C,26.91
12/22/19 2:54:01 AM,C,26.972
12/22/19 3:04:01 AM,C,27.035
12/22/19 3:14:01 AM,C,27.097
12/22/19 3:24:01 AM,C,27.16
12/22/19 3:34:01 AM,C,27.222
12/22/19 3:44:01 AM,C,27.285
12/22/19 3:54:01 AM,C,27.347
12/22/19 4:04:01 AM,C,27.41
12/22/19 4:14:01 AM,C,27.41
12/22/19 4:24:01 AM,C,27.472
12/22/19 4:34:01 AM,C,27.535
12/22/19 4:44:01 AM,C,27.597
12/22/19 4:54:01 AM,C,27.66
12/22/19 5:04:01 AM,C,27.66
12/22/19 5:14:01 AM,C,27.722
12/22/19 5:24:01 AM,C,27.785
12/22/19 5:34:01 AM,C,27.785
12/22/19 5:44:01 AM,C,27.847
12/22/19 5:54:01 AM,C,27.91
12/22/19 6:04:01 AM,C,27.972
12/22/19 6:14:01 AM,C,27.972
12/22/19 6:24:01 AM,C,28.035
12/22/19 6:34:01 AM,C,28.097
12/22/19 6:44:01 AM,C,28.097
12/22/19 6:54:01 AM,C,28.16
12/22/19 7:04:01 AM,C,28.16
12/22/19 7:14:01 AM,C,28.222
12/22/19 7:24:01 AM,C,28.285
12/22/19 7:34:01 AM,C,28.285
12/22/19 7:44:01 AM,C,28.347
12/22/19 7:54:01 AM,C,28.409
12/22/19 8:04:01 AM,C,28.409
12/22/19 8:14:01 AM,C,28.472
12/22/19 8:24:01 AM,C,28.472
12/22/19 8:34:01 AM,C,28.534
12/22/19 8:44:01 AM,C,28.534
12/22/19 8:54:01 AM,C,28.597
12/22/19 9:04:01 AM,C,28.597
12/22/19 9:14:01 AM,C,28.659
12/22/19 9:24:01 AM,C,28.659
12/22/19 9:34:01 AM,C,28.659
12/22/19 9:44:01 AM,C,28.722
12/22/19 9:54:01 AM,C,28.722
12/22/19 10:04:01 AM,C,28.722
12/22/19 10:14:01 AM,C,28.784
12/22/19 10:24:01 AM,C,28.784
12/22/19 10:34:01 AM,C,28.784
12/22/19 10:44:01 AM,C,28.784
12/22/19 10:54:01 AM,C,28.784
12/22/19 11:04:01 AM,C,28.784
12/22/19 11:14:01 AM,C,28.722
12/22/19 11:24:01 AM,C,28.722
12/22/19 11:34:01 AM,C,28.722
12/22/19 11:44:01 AM,C,28.722
12/22/19 11:54:01 AM,C,28.722
12/22/19 12:04:01 PM,C,28.659
12/22/19 12:14:01 PM,C,28.659
12/22/19 12:24:01 PM,C,28.597
12/22/19 12:34:01 PM,C,28.597
12/22/19 12:44:01 PM,C,28.597
12/22/19 12:54:01 PM,C,28.534
12/22/19 1:04:01 PM,C,28.534
12/22/19 1:14:01 PM,C,28.534
12/22/19 1:24:01 PM,C,28.472
12/22/19 1:34:01 PM,C,28.472
12/22/19 1:44:01 PM,C,28.472
12/22/19 1:54:01 PM,C,28.472
12/22/19 2:04:01 PM,C,28.409
12/22/19 2:14:01 PM,C,28.409
12/22/19 2:24:01 PM,C,28.409
12/22/19 2:34:01 PM,C,28.347
12/22/19 2:44:01 PM,C,28.285
12/22/19 2:54:01 PM,C,28.285
12/22/19 3:04:01 PM,C,28.222
12/22/19 3:14:01 PM,C,28.222
12/22/19 3:24:01 PM,C,28.16
12/22/19 3:34:01 PM,C,28.16
12/22/19 3:44:01 PM,C,28.097
12/22/19 3:54:01 PM,C,28.097
12/22/19 4:04:01 PM,C,28.035
12/22/19 4:14:01 PM,C,28.035
12/22/19 4:24:01 PM,C,27.972
12/22/19 4:34:01 PM,C,27.972
12/22/19 4:44:01 PM,C,27.91
12/22/19 4:54:01 PM,C,27.91
12/22/19 5:04:01 PM,C,27.91
12/22/19 5:14:01 PM,C,27.847
12/22/19 5:24:01 PM,C,27.847
12/22/19 5:34:01 PM,C,27.785
12/22/19 5:44:01 PM,C,27.785
12/22/19 5:54:01 PM,C,27.785
12/22/19 6:04:01 PM,C,27.785
12/22/19 6:14:01 PM,C,27.722
12/22/19 6:24:01 PM,C,27.722
12/22/19 6:34:01 PM,C,27.722
12/22/19 6:44:01 PM,C,27.722
12/22/19 6:54:01 PM,C,27.722
12/22/19 7:04:01 PM,C,27.722
12/22/19 7:14:01 PM,C,27.722
12/22/19 7:24:01 PM,C,27.722
12/22/19 7:34:01 PM,C,27.722
12/22/19 7:44:01 PM,C,27.722
12/22/19 7:54:01 PM,C,27.722
12/22/19 8:04:01 PM,C,27.722
12/22/19 8:14:01 PM,C,27.722
12/22/19 8:24:01 PM,C,27.722
12/22/19 8:34:01 PM,C,27.785
12/22/19 8:44:01 PM,C,27.785
12/22/19 8:54:01 PM,C,27.785
12/22/19 9:04:01 PM,C,27.847
12/22/19 9:14:01 PM,C,27.847
12/22/19 9:24:01 PM,C,27.91
12/22/19 9:34:01 PM,C,27.91
12/22/19 9:44:01 PM,C,27.972
12/22/19 9:54:01 PM,C,28.035
12/22/19 10:04:01 PM,C,28.035
12/22/19 10:14:01 PM,C,28.097
12/22/19 10:24:01 PM,C,28.16
12/22/19 10:34:01 PM,C,28.222
12/22/19 10:44:01 PM,C,28.285
12/22/19 10:54:01 PM,C,28.347
12/22/19 11:04:01 PM,C,28.409
12/22/19 11:14:01 PM,C,28.472
12/22/19 11:24:01 PM,C,28.534
12/22/19 11:34:01 PM,C,28.597
12/22/19 11:44:01 PM,C,28.659
12/22/19 11:54:01 PM,C,28.784
12/23/19 12:04:01 AM,C,28.847
12/23/19 12:14:01 AM,C,28.909
12/23/19 12:24:01 AM,C,28.972
12/23/19 12:34:01 AM,C,29.097
12/23/19 12:44:01 AM,C,29.159
12/23/19 12:54:01 AM,C,29.222
12/23/19 1:04:01 AM,C,29.347
12/23/19 1:14:01 AM,C,29.409
12/23/19 1:24:01 AM,C,29.534
12/23/19 1:34:01 AM,C,29.596
12/23/19 1:44:01 AM,C,29.659
12/23/19 1:54:01 AM,C,29.721
12/23/19 2:04:01 AM,C,29.846
12/23/19 2:14:01 AM,C,29.909
12/23/19 2:24:01 AM,C,29.971
12/23/19 2:34:01 AM,C,29.971
12/23/19 2:44:01 AM,C,30.034
12/23/19 2:54:01 AM,C,30.034
12/23/19 3:04:01 AM,C,30.096
12/23/19 3:14:01 AM,C,30.096
12/23/19 3:24:01 AM,C,30.096
12/23/19 3:34:01 AM,C,30.096
12/23/19 3:44:01 AM,C,30.034
12/23/19 3:54:01 AM,C,30.034
12/23/19 4:04:01 AM,C,29.971
12/23/19 4:14:01 AM,C,29.971
12/23/19 4:24:01 AM,C,29.971
12/23/19 4:34:01 AM,C,29.971
12/23/19 4:44:01 AM,C,29.909
12/23/19 4:54:01 AM,C,29.909
12/23/19 5:04:01 AM,C,29.909
12/23/19 5:14:01 AM,C,29.909
12/23/19 5:24:01 AM,C,29.909
12/23/19 5:34:01 AM,C,29.909
12/23/19 5:44:01 AM,C,29.909
12/23/19 5:54:01 AM,C,29.909
12/23/19 6:04:01 AM,C,29.909
12/23/19 6:14:01 AM,C,29.909
12/23/19 6:24:01 AM,C,29.971
12/23/19 6:34:01 AM,C,29.971
12/23/19 6:44:01 AM,C,29.971
12/23/19 6:54:01 AM,C,30.034
12/23/19 7:04:01 AM,C,30.034
12/23/19 7:14:01 AM,C,30.034
12/23/19 7:24:01 AM,C,30.096
12/23/19 7:34:01 AM,C,30.096
12/23/19 7:44:01 AM,C,30.159
12/23/19 7:54:01 AM,C,30.159
12/23/19 8:04:01 AM,C,30.221
12/23/19 8:14:01 AM,C,30.221
12/23/19 8:24:01 AM,C,30.283
12/23/19 8:34:01 AM,C,30.346
12/23/19 8:44:01 AM,C,30.408
12/23/19 8:54:01 AM,C,30.408
12/23/19 9:04:01 AM,C,30.471
12/23/19 9:14:01 AM,C,30.533
12/23/19 9:24:01 AM,C,30.596
12/23/19 9:34:01 AM,C,30.658
12/23/19 9:44:01 AM,C,30.721
12/23/19 9:54:01 AM,C,30.783
12/23/19 10:04:01 AM,C,30.846
12/23/19 10:14:01 AM,C,30.908
12/23/19 10:24:01 AM,C,31.033
12/23/19 10:34:01 AM,C,31.095
12/23/19 10:44:01 AM,C,31.158
12/23/19 10:54:01 AM,C,31.22
12/23/19 11:04:01 AM,C,31.345
12/23/19 11:14:01 AM,C,31.408
12/23/19 11:24:01 AM,C,31.532
12/23/19 11:34:01 AM,C,31.657
12/23/19 11:44:01 AM,C,31.72
