1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: AD0000005EF79441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:02:01 PST 2019
Mission Sample Count:  1412
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:02:01 PST 2019
Total Mission Samples:  1412
Total Device Samples:  5268
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:02:01 PM,C,19.243
12/21/19 3:12:01 PM,C,19.243
12/21/19 3:22:01 PM,C,19.306
12/21/19 3:32:01 PM,C,19.306
12/21/19 3:42:01 PM,C,19.368
12/21/19 3:52:01 PM,C,19.368
12/21/19 4:02:01 PM,C,19.368
12/21/19 4:12:01 PM,C,19.368
12/21/19 4:22:01 PM,C,19.368
12/21/19 4:32:01 PM,C,19.368
12/21/19 4:42:01 PM,C,19.431
12/21/19 4:52:01 PM,C,19.431
12/21/19 5:02:01 PM,C,19.431
12/21/19 5:12:01 PM,C,19.431
12/21/19 5:22:01 PM,C,19.431
12/21/19 5:32:01 PM,C,19.431
12/21/19 5:42:01 PM,C,21.935
12/21/19 5:52:01 PM,C,21.497
12/21/19 6:02:01 PM,C,21.434
12/21/19 6:12:01 PM,C,21.497
12/21/19 6:22:01 PM,C,21.56
12/21/19 6:32:01 PM,C,21.622
12/21/19 6:42:01 PM,C,21.685
12/21/19 6:52:01 PM,C,21.747
12/21/19 7:02:01 PM,C,21.247
12/21/19 7:12:01 PM,C,21.434
12/21/19 7:22:01 PM,C,19.368
12/21/19 7:32:01 PM,C,19.306
12/21/19 7:42:01 PM,C,19.807
12/21/19 7:52:01 PM,C,20.182
12/21/19 8:02:01 PM,C,20.746
12/21/19 8:12:01 PM,C,21.372
12/21/19 8:22:01 PM,C,21.998
12/21/19 8:32:01 PM,C,22.561
12/21/19 8:42:01 PM,C,23.061
12/21/19 8:52:01 PM,C,23.499
12/21/19 9:02:01 PM,C,23.937
12/21/19 9:12:01 PM,C,24.25
12/21/19 9:22:01 PM,C,24.625
12/21/19 9:32:01 PM,C,24.875
12/21/19 9:42:01 PM,C,25.187
12/21/19 9:52:01 PM,C,25.375
12/21/19 10:02:01 PM,C,25.625
12/21/19 10:12:01 PM,C,25.813
12/21/19 10:22:01 PM,C,26
12/21/19 10:32:01 PM,C,26.125
12/21/19 10:42:01 PM,C,26.25
12/21/19 10:52:01 PM,C,26.375
12/21/19 11:02:01 PM,C,26.5
12/21/19 11:12:01 PM,C,26.562
12/21/19 11:22:01 PM,C,26.687
12/21/19 11:32:01 PM,C,26.75
12/21/19 11:42:01 PM,C,26.812
12/21/19 11:52:01 PM,C,26.875
12/22/19 12:02:01 AM,C,26.937
12/22/19 12:12:01 AM,C,27
12/22/19 12:22:01 AM,C,27
12/22/19 12:32:01 AM,C,27.062
12/22/19 12:42:01 AM,C,27.125
12/22/19 12:52:01 AM,C,27.125
12/22/19 1:02:01 AM,C,27.187
12/22/19 1:12:01 AM,C,27.187
12/22/19 1:22:01 AM,C,27.25
12/22/19 1:32:01 AM,C,27.25
12/22/19 1:42:01 AM,C,27.25
12/22/19 1:52:01 AM,C,27.25
12/22/19 2:02:01 AM,C,27.312
12/22/19 2:12:01 AM,C,27.312
12/22/19 2:22:01 AM,C,27.312
12/22/19 2:32:01 AM,C,27.312
12/22/19 2:42:01 AM,C,27.312
12/22/19 2:52:01 AM,C,27.312
12/22/19 3:02:01 AM,C,27.375
12/22/19 3:12:01 AM,C,27.375
12/22/19 3:22:01 AM,C,27.375
12/22/19 3:32:01 AM,C,27.375
12/22/19 3:42:01 AM,C,27.375
12/22/19 3:52:01 AM,C,27.437
12/22/19 4:02:01 AM,C,27.437
12/22/19 4:12:01 AM,C,27.437
12/22/19 4:22:01 AM,C,27.437
12/22/19 4:32:01 AM,C,27.5
12/22/19 4:42:01 AM,C,27.5
12/22/19 4:52:01 AM,C,27.5
12/22/19 5:02:01 AM,C,27.5
12/22/19 5:12:01 AM,C,27.562
12/22/19 5:22:01 AM,C,27.562
12/22/19 5:32:01 AM,C,27.562
12/22/19 5:42:01 AM,C,27.562
12/22/19 5:52:01 AM,C,27.624
12/22/19 6:02:01 AM,C,27.624
12/22/19 6:12:01 AM,C,27.687
12/22/19 6:22:01 AM,C,27.687
12/22/19 6:32:01 AM,C,27.687
12/22/19 6:42:01 AM,C,27.749
12/22/19 6:52:01 AM,C,27.749
12/22/19 7:02:01 AM,C,27.812
12/22/19 7:12:01 AM,C,27.812
12/22/19 7:22:01 AM,C,27.874
12/22/19 7:32:01 AM,C,27.874
12/22/19 7:42:01 AM,C,27.937
12/22/19 7:52:01 AM,C,27.937
12/22/19 8:02:01 AM,C,27.999
12/22/19 8:12:01 AM,C,28.062
12/22/19 8:22:01 AM,C,28.124
12/22/19 8:32:01 AM,C,28.187
12/22/19 8:42:01 AM,C,28.187
12/22/19 8:52:01 AM,C,28.249
12/22/19 9:02:01 AM,C,28.311
12/22/19 9:12:01 AM,C,28.374
12/22/19 9:22:01 AM,C,28.436
12/22/19 9:32:01 AM,C,28.499
12/22/19 9:42:01 AM,C,28.561
12/22/19 9:52:01 AM,C,28.624
12/22/19 10:02:01 AM,C,28.686
12/22/19 10:12:01 AM,C,28.749
12/22/19 10:22:01 AM,C,28.811
12/22/19 10:32:01 AM,C,28.873
12/22/19 10:42:01 AM,C,28.998
12/22/19 10:52:01 AM,C,29.061
12/22/19 11:02:01 AM,C,29.123
12/22/19 11:12:01 AM,C,29.123
12/22/19 11:22:01 AM,C,29.186
12/22/19 11:32:01 AM,C,29.248
12/22/19 11:42:01 AM,C,29.31
12/22/19 11:52:01 AM,C,29.373
12/22/19 12:02:01 PM,C,29.435
12/22/19 12:12:01 PM,C,29.498
12/22/19 12:22:01 PM,C,29.56
12/22/19 12:32:01 PM,C,29.623
12/22/19 12:42:01 PM,C,29.685
12/22/19 12:52:01 PM,C,29.747
12/22/19 1:02:01 PM,C,29.81
12/22/19 1:12:01 PM,C,29.872
12/22/19 1:22:01 PM,C,29.872
12/22/19 1:32:01 PM,C,29.935
12/22/19 1:42:01 PM,C,29.935
12/22/19 1:52:01 PM,C,29.997
12/22/19 2:02:01 PM,C,30.059
12/22/19 2:12:01 PM,C,30.059
12/22/19 2:22:01 PM,C,30.122
12/22/19 2:32:01 PM,C,30.184
12/22/19 2:42:01 PM,C,30.247
12/22/19 2:52:01 PM,C,30.247
12/22/19 3:02:01 PM,C,30.309
12/22/19 3:12:01 PM,C,30.372
12/22/19 3:22:01 PM,C,30.372
12/22/19 3:32:01 PM,C,30.434
12/22/19 3:42:01 PM,C,30.434
12/22/19 3:52:01 PM,C,30.496
12/22/19 4:02:01 PM,C,30.496
12/22/19 4:12:01 PM,C,30.496
12/22/19 4:22:01 PM,C,30.559
12/22/19 4:32:01 PM,C,30.559
12/22/19 4:42:01 PM,C,30.559
12/22/19 4:52:01 PM,C,30.559
12/22/19 5:02:01 PM,C,30.559
12/22/19 5:12:01 PM,C,30.621
12/22/19 5:22:01 PM,C,30.621
12/22/19 5:32:01 PM,C,30.621
12/22/19 5:42:01 PM,C,30.621
