1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F40000005EF5A541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:01:01 PST 2019
Mission Sample Count:  1412
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:01:01 PST 2019
Total Mission Samples:  1412
Total Device Samples:  7883
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:01:01 PM,C,19.167
12/21/19 3:11:01 PM,C,19.229
12/21/19 3:21:01 PM,C,19.229
12/21/19 3:31:01 PM,C,19.292
12/21/19 3:41:01 PM,C,19.292
12/21/19 3:51:01 PM,C,19.292
12/21/19 4:01:01 PM,C,19.355
12/21/19 4:11:01 PM,C,19.355
12/21/19 4:21:01 PM,C,19.355
12/21/19 4:31:01 PM,C,19.355
12/21/19 4:41:01 PM,C,19.355
12/21/19 4:51:01 PM,C,19.417
12/21/19 5:01:01 PM,C,19.417
12/21/19 5:11:01 PM,C,19.417
12/21/19 5:21:01 PM,C,19.417
12/21/19 5:31:01 PM,C,19.417
12/21/19 5:41:01 PM,C,21.231
12/21/19 5:51:01 PM,C,21.356
12/21/19 6:01:01 PM,C,21.419
12/21/19 6:11:01 PM,C,21.481
12/21/19 6:21:01 PM,C,21.606
12/21/19 6:31:01 PM,C,21.731
12/21/19 6:41:01 PM,C,21.794
12/21/19 6:51:01 PM,C,21.794
12/21/19 7:01:01 PM,C,21.669
12/21/19 7:11:01 PM,C,20.981
12/21/19 7:21:01 PM,C,19.605
12/21/19 7:31:01 PM,C,16.476
12/21/19 7:41:01 PM,C,19.792
12/21/19 7:51:01 PM,C,20.418
12/21/19 8:01:01 PM,C,21.106
12/21/19 8:11:01 PM,C,21.856
12/21/19 8:21:01 PM,C,22.419
12/21/19 8:31:01 PM,C,22.982
12/21/19 8:41:01 PM,C,23.482
12/21/19 8:51:01 PM,C,23.92
12/21/19 9:01:01 PM,C,24.295
12/21/19 9:11:01 PM,C,24.607
12/21/19 9:21:01 PM,C,24.857
12/21/19 9:31:01 PM,C,25.107
12/21/19 9:41:01 PM,C,25.295
12/21/19 9:51:01 PM,C,25.482
12/21/19 10:01:01 PM,C,25.67
12/21/19 10:11:01 PM,C,25.795
12/21/19 10:21:01 PM,C,25.92
12/21/19 10:31:01 PM,C,26.045
12/21/19 10:41:01 PM,C,26.17
12/21/19 10:51:01 PM,C,26.295
12/21/19 11:01:01 PM,C,26.357
