1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2E000000586D3041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:21:01 PST 2019
Mission Sample Count:  1410
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:21:01 PST 2019
Total Mission Samples:  1410
Total Device Samples:  12904
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:21:01 PM,C,19.341
12/21/19 3:31:01 PM,C,19.341
12/21/19 3:41:01 PM,C,19.403
12/21/19 3:51:01 PM,C,19.403
12/21/19 4:01:01 PM,C,19.403
12/21/19 4:11:01 PM,C,19.403
12/21/19 4:21:01 PM,C,19.403
12/21/19 4:31:01 PM,C,19.403
12/21/19 4:41:01 PM,C,19.403
12/21/19 4:51:01 PM,C,19.466
12/21/19 5:01:01 PM,C,19.466
12/21/19 5:11:01 PM,C,19.466
12/21/19 5:21:01 PM,C,19.466
12/21/19 5:31:01 PM,C,19.466
12/21/19 5:41:01 PM,C,20.592
12/21/19 5:51:01 PM,C,22.218
12/21/19 6:01:01 PM,C,21.78
12/21/19 6:11:01 PM,C,21.718
12/21/19 6:21:01 PM,C,21.655
12/21/19 6:31:01 PM,C,21.655
12/21/19 6:41:01 PM,C,21.718
12/21/19 6:51:01 PM,C,21.718
12/21/19 7:01:01 PM,C,21.28
12/21/19 7:11:01 PM,C,20.091
12/21/19 7:21:01 PM,C,19.779
12/21/19 7:31:01 PM,C,20.279
12/21/19 7:41:01 PM,C,20.967
12/21/19 7:51:01 PM,C,21.718
12/21/19 8:01:01 PM,C,22.468
12/21/19 8:11:01 PM,C,23.093
12/21/19 8:21:01 PM,C,23.593
12/21/19 8:31:01 PM,C,24.094
12/21/19 8:41:01 PM,C,24.469
12/21/19 8:51:01 PM,C,24.844
12/21/19 9:01:01 PM,C,25.156
12/21/19 9:11:01 PM,C,25.406
12/21/19 9:21:01 PM,C,25.656
12/21/19 9:31:01 PM,C,25.844
12/21/19 9:41:01 PM,C,26.031
12/21/19 9:51:01 PM,C,26.156
