1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7700000069AA0041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:10:01 PST 2019
Mission Sample Count:  1411
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:10:01 PST 2019
Total Mission Samples:  1411
Total Device Samples:  8994
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:10:01 PM,C,19.071
12/21/19 3:20:01 PM,C,19.071
12/21/19 3:30:01 PM,C,19.134
12/21/19 3:40:01 PM,C,19.134
12/21/19 3:50:01 PM,C,19.196
12/21/19 4:00:01 PM,C,19.196
12/21/19 4:10:01 PM,C,19.196
12/21/19 4:20:01 PM,C,19.196
12/21/19 4:30:01 PM,C,19.259
12/21/19 4:40:01 PM,C,19.259
12/21/19 4:50:01 PM,C,19.259
12/21/19 5:00:01 PM,C,19.259
12/21/19 5:10:01 PM,C,19.259
12/21/19 5:20:01 PM,C,19.259
12/21/19 5:30:01 PM,C,19.259
12/21/19 5:40:01 PM,C,20.949
12/21/19 5:50:01 PM,C,21.324
12/21/19 6:00:01 PM,C,21.387
12/21/19 6:10:01 PM,C,21.324
12/21/19 6:20:01 PM,C,21.324
12/21/19 6:30:01 PM,C,21.387
12/21/19 6:40:01 PM,C,21.449
12/21/19 6:50:01 PM,C,21.512
12/21/19 7:00:01 PM,C,21.449
12/21/19 7:10:01 PM,C,21.074
12/21/19 7:20:01 PM,C,20.072
12/21/19 7:30:01 PM,C,19.196
12/21/19 7:40:01 PM,C,20.072
12/21/19 7:50:01 PM,C,20.886
12/21/19 8:00:01 PM,C,21.762
12/21/19 8:10:01 PM,C,22.513
12/21/19 8:20:01 PM,C,23.263
12/21/19 8:30:01 PM,C,23.888
12/21/19 8:40:01 PM,C,24.451
12/21/19 8:50:01 PM,C,24.889
12/21/19 9:00:01 PM,C,25.326
12/21/19 9:10:01 PM,C,25.701
12/21/19 9:20:01 PM,C,26.014
12/21/19 9:30:01 PM,C,26.326
12/21/19 9:40:01 PM,C,26.576
12/21/19 9:50:01 PM,C,26.763
12/21/19 10:00:01 PM,C,26.951
12/21/19 10:10:01 PM,C,27.138
12/21/19 10:20:01 PM,C,27.263
12/21/19 10:30:01 PM,C,27.388
12/21/19 10:40:01 PM,C,27.513
12/21/19 10:50:01 PM,C,27.638
12/21/19 11:00:01 PM,C,27.7
12/21/19 11:10:01 PM,C,27.825
12/21/19 11:20:01 PM,C,27.888
12/21/19 11:30:01 PM,C,27.95
12/21/19 11:40:01 PM,C,27.95
12/21/19 11:50:01 PM,C,28.013
12/22/19 12:00:01 AM,C,28.075
12/22/19 12:10:01 AM,C,28.075
12/22/19 12:20:01 AM,C,28.138
12/22/19 12:30:01 AM,C,28.138
12/22/19 12:40:01 AM,C,28.2
12/22/19 12:50:01 AM,C,28.2
12/22/19 1:00:01 AM,C,28.263
12/22/19 1:10:01 AM,C,28.263
12/22/19 1:20:01 AM,C,28.263
12/22/19 1:30:01 AM,C,28.263
12/22/19 1:40:01 AM,C,28.263
12/22/19 1:50:01 AM,C,28.325
12/22/19 2:00:01 AM,C,28.325
12/22/19 2:10:01 AM,C,28.325
12/22/19 2:20:01 AM,C,28.325
12/22/19 2:30:01 AM,C,28.325
12/22/19 2:40:01 AM,C,28.325
12/22/19 2:50:01 AM,C,28.325
12/22/19 3:00:01 AM,C,28.325
12/22/19 3:10:01 AM,C,28.325
12/22/19 3:20:01 AM,C,28.325
12/22/19 3:30:01 AM,C,28.387
12/22/19 3:40:01 AM,C,28.387
12/22/19 3:50:01 AM,C,28.387
12/22/19 4:00:01 AM,C,28.387
12/22/19 4:10:01 AM,C,28.387
12/22/19 4:20:01 AM,C,28.387
12/22/19 4:30:01 AM,C,28.387
12/22/19 4:40:01 AM,C,28.387
12/22/19 4:50:01 AM,C,28.45
12/22/19 5:00:01 AM,C,28.45
12/22/19 5:10:01 AM,C,28.45
12/22/19 5:20:01 AM,C,28.45
12/22/19 5:30:01 AM,C,28.512
12/22/19 5:40:01 AM,C,28.512
12/22/19 5:50:01 AM,C,28.512
12/22/19 6:00:01 AM,C,28.575
12/22/19 6:10:01 AM,C,28.575
12/22/19 6:20:01 AM,C,28.575
12/22/19 6:30:01 AM,C,28.637
12/22/19 6:40:01 AM,C,28.637
12/22/19 6:50:01 AM,C,28.7
12/22/19 7:00:01 AM,C,28.7
12/22/19 7:10:01 AM,C,28.762
12/22/19 7:20:01 AM,C,28.825
12/22/19 7:30:01 AM,C,28.825
12/22/19 7:40:01 AM,C,28.887
12/22/19 7:50:01 AM,C,28.949
12/22/19 8:00:01 AM,C,29.012
12/22/19 8:10:01 AM,C,29.074
12/22/19 8:20:01 AM,C,29.074
12/22/19 8:30:01 AM,C,29.137
12/22/19 8:40:01 AM,C,29.199
12/22/19 8:50:01 AM,C,29.262
12/22/19 9:00:01 AM,C,29.324
12/22/19 9:10:01 AM,C,29.386
12/22/19 9:20:01 AM,C,29.449
12/22/19 9:30:01 AM,C,29.511
12/22/19 9:40:01 AM,C,29.574
12/22/19 9:50:01 AM,C,29.636
12/22/19 10:00:01 AM,C,29.699
12/22/19 10:10:01 AM,C,29.761
12/22/19 10:20:01 AM,C,29.823
12/22/19 10:30:01 AM,C,29.886
12/22/19 10:40:01 AM,C,29.886
12/22/19 10:50:01 AM,C,29.948
12/22/19 11:00:01 AM,C,30.011
12/22/19 11:10:01 AM,C,30.073
12/22/19 11:20:01 AM,C,30.136
12/22/19 11:30:01 AM,C,30.198
12/22/19 11:40:01 AM,C,30.198
12/22/19 11:50:01 AM,C,30.26
12/22/19 12:00:01 PM,C,30.323
12/22/19 12:10:01 PM,C,30.385
12/22/19 12:20:01 PM,C,30.448
12/22/19 12:30:01 PM,C,30.448
12/22/19 12:40:01 PM,C,30.51
12/22/19 12:50:01 PM,C,30.573
12/22/19 1:00:01 PM,C,30.573
12/22/19 1:10:01 PM,C,30.635
12/22/19 1:20:01 PM,C,30.635
12/22/19 1:30:01 PM,C,30.697
12/22/19 1:40:01 PM,C,30.697
12/22/19 1:50:01 PM,C,30.635
12/22/19 2:00:01 PM,C,30.635
12/22/19 2:10:01 PM,C,30.635
12/22/19 2:20:01 PM,C,30.635
12/22/19 2:30:01 PM,C,30.635
12/22/19 2:40:01 PM,C,30.573
12/22/19 2:50:01 PM,C,30.573
12/22/19 3:00:01 PM,C,30.573
12/22/19 3:10:01 PM,C,30.573
12/22/19 3:20:01 PM,C,30.573
12/22/19 3:30:01 PM,C,30.573
12/22/19 3:40:01 PM,C,30.573
12/22/19 3:50:01 PM,C,30.573
12/22/19 4:00:01 PM,C,30.573
12/22/19 4:10:01 PM,C,30.573
12/22/19 4:20:01 PM,C,30.573
12/22/19 4:30:01 PM,C,30.51
12/22/19 4:40:01 PM,C,30.51
12/22/19 4:50:01 PM,C,30.573
12/22/19 5:00:01 PM,C,30.573
12/22/19 5:10:01 PM,C,30.573
12/22/19 5:20:01 PM,C,30.573
12/22/19 5:30:01 PM,C,30.573
12/22/19 5:40:01 PM,C,30.573
12/22/19 5:50:01 PM,C,30.573
12/22/19 6:00:01 PM,C,30.573
12/22/19 6:10:01 PM,C,30.573
12/22/19 6:20:01 PM,C,30.573
12/22/19 6:30:01 PM,C,30.573
12/22/19 6:40:01 PM,C,30.573
12/22/19 6:50:01 PM,C,30.573
12/22/19 7:00:01 PM,C,30.635
12/22/19 7:10:01 PM,C,30.635
12/22/19 7:20:01 PM,C,30.635
12/22/19 7:30:01 PM,C,30.697
12/22/19 7:40:01 PM,C,30.697
12/22/19 7:50:01 PM,C,30.76
12/22/19 8:00:01 PM,C,30.76
12/22/19 8:10:01 PM,C,30.822
12/22/19 8:20:01 PM,C,30.885
12/22/19 8:30:01 PM,C,30.885
12/22/19 8:40:01 PM,C,30.947
12/22/19 8:50:01 PM,C,31.009
12/22/19 9:00:01 PM,C,31.072
12/22/19 9:10:01 PM,C,31.134
12/22/19 9:20:01 PM,C,31.197
12/22/19 9:30:01 PM,C,31.321
12/22/19 9:40:01 PM,C,31.384
12/22/19 9:50:01 PM,C,31.446
12/22/19 10:00:01 PM,C,31.571
12/22/19 10:10:01 PM,C,31.633
12/22/19 10:20:01 PM,C,31.758
12/22/19 10:30:01 PM,C,31.821
12/22/19 10:40:01 PM,C,31.945
12/22/19 10:50:01 PM,C,32.07
12/22/19 11:00:01 PM,C,32.195
12/22/19 11:10:01 PM,C,32.257
12/22/19 11:20:01 PM,C,32.382
12/22/19 11:30:01 PM,C,32.507
12/22/19 11:40:01 PM,C,32.632
12/22/19 11:50:01 PM,C,32.756
12/23/19 12:00:01 AM,C,32.881
12/23/19 12:10:01 AM,C,32.943
12/23/19 12:20:01 AM,C,33.068
12/23/19 12:30:01 AM,C,33.193
12/23/19 12:40:01 AM,C,33.318
12/23/19 12:50:01 AM,C,33.38
12/23/19 1:00:01 AM,C,33.505
12/23/19 1:10:01 AM,C,33.567
12/23/19 1:20:01 AM,C,33.692
12/23/19 1:30:01 AM,C,33.754
12/23/19 1:40:01 AM,C,33.817
12/23/19 1:50:01 AM,C,33.879
12/23/19 2:00:01 AM,C,33.879
12/23/19 2:10:01 AM,C,33.941
12/23/19 2:20:01 AM,C,33.941
12/23/19 2:30:01 AM,C,33.941
12/23/19 2:40:01 AM,C,33.941
12/23/19 2:50:01 AM,C,33.941
12/23/19 3:00:01 AM,C,33.879
12/23/19 3:10:01 AM,C,33.879
12/23/19 3:20:01 AM,C,33.817
12/23/19 3:30:01 AM,C,33.754
12/23/19 3:40:01 AM,C,33.629
12/23/19 3:50:01 AM,C,33.567
12/23/19 4:00:01 AM,C,33.38
12/23/19 4:10:01 AM,C,33.255
12/23/19 4:20:01 AM,C,33.131
12/23/19 4:30:01 AM,C,33.006
12/23/19 4:40:01 AM,C,32.819
12/23/19 4:50:01 AM,C,32.694
12/23/19 5:00:01 AM,C,32.569
12/23/19 5:10:01 AM,C,32.444
12/23/19 5:20:01 AM,C,32.32
12/23/19 5:30:01 AM,C,32.195
12/23/19 5:40:01 AM,C,32.07
12/23/19 5:50:01 AM,C,32.008
12/23/19 6:00:01 AM,C,31.945
12/23/19 6:10:01 AM,C,31.821
12/23/19 6:20:01 AM,C,31.758
12/23/19 6:30:01 AM,C,31.696
12/23/19 6:40:01 AM,C,31.633
12/23/19 6:50:01 AM,C,31.571
12/23/19 7:00:01 AM,C,31.571
12/23/19 7:10:01 AM,C,31.509
12/23/19 7:20:01 AM,C,31.509
12/23/19 7:30:01 AM,C,31.509
12/23/19 7:40:01 AM,C,31.446
12/23/19 7:50:01 AM,C,31.446
12/23/19 8:00:01 AM,C,31.446
12/23/19 8:10:01 AM,C,31.446
12/23/19 8:20:01 AM,C,31.446
12/23/19 8:30:01 AM,C,31.446
12/23/19 8:40:01 AM,C,31.446
12/23/19 8:50:01 AM,C,31.446
12/23/19 9:00:01 AM,C,31.509
12/23/19 9:10:01 AM,C,31.509
12/23/19 9:20:01 AM,C,31.509
12/23/19 9:30:01 AM,C,31.509
12/23/19 9:40:01 AM,C,31.571
12/23/19 9:50:01 AM,C,31.571
12/23/19 10:00:01 AM,C,31.633
12/23/19 10:10:01 AM,C,31.633
12/23/19 10:20:01 AM,C,31.696
12/23/19 10:30:01 AM,C,31.696
12/23/19 10:40:01 AM,C,31.758
12/23/19 10:50:01 AM,C,31.821
12/23/19 11:00:01 AM,C,31.821
12/23/19 11:10:01 AM,C,31.883
12/23/19 11:20:01 AM,C,31.945
12/23/19 11:30:01 AM,C,31.945
12/23/19 11:40:01 AM,C,32.008
12/23/19 11:50:01 AM,C,32.07
12/23/19 12:00:01 PM,C,32.133
12/23/19 12:10:01 PM,C,32.133
12/23/19 12:20:01 PM,C,32.195
12/23/19 12:30:01 PM,C,32.257
12/23/19 12:40:01 PM,C,32.32
12/23/19 12:50:01 PM,C,32.382
12/23/19 1:00:01 PM,C,32.444
12/23/19 1:10:01 PM,C,32.507
12/23/19 1:20:01 PM,C,32.569
12/23/19 1:30:01 PM,C,32.632
12/23/19 1:40:01 PM,C,32.694
12/23/19 1:50:01 PM,C,32.756
12/23/19 2:00:01 PM,C,32.819
12/23/19 2:10:01 PM,C,32.819
12/23/19 2:20:01 PM,C,32.881
12/23/19 2:30:01 PM,C,32.943
12/23/19 2:40:01 PM,C,33.006
12/23/19 2:50:01 PM,C,33.006
12/23/19 3:00:01 PM,C,33.068
12/23/19 3:10:01 PM,C,33.131
12/23/19 3:20:01 PM,C,33.131
12/23/19 3:30:01 PM,C,33.193
12/23/19 3:40:01 PM,C,33.255
12/23/19 3:50:01 PM,C,33.255
12/23/19 4:00:01 PM,C,33.318
12/23/19 4:10:01 PM,C,33.318
12/23/19 4:20:01 PM,C,33.38
12/23/19 4:30:01 PM,C,33.38
12/23/19 4:40:01 PM,C,33.442
12/23/19 4:50:01 PM,C,33.442
12/23/19 5:00:01 PM,C,33.442
12/23/19 5:10:01 PM,C,33.442
12/23/19 5:20:01 PM,C,33.505
12/23/19 5:30:01 PM,C,33.505
12/23/19 5:40:01 PM,C,33.505
12/23/19 5:50:01 PM,C,33.505
12/23/19 6:00:01 PM,C,33.505
12/23/19 6:10:01 PM,C,33.505
12/23/19 6:20:01 PM,C,33.505
12/23/19 6:30:01 PM,C,33.505
12/23/19 6:40:01 PM,C,33.505
12/23/19 6:50:01 PM,C,33.505
12/23/19 7:00:01 PM,C,33.505
12/23/19 7:10:01 PM,C,33.442
12/23/19 7:20:01 PM,C,33.442
12/23/19 7:30:01 PM,C,33.442
12/23/19 7:40:01 PM,C,33.442
12/23/19 7:50:01 PM,C,33.442
12/23/19 8:00:01 PM,C,33.38
12/23/19 8:10:01 PM,C,33.38
12/23/19 8:20:01 PM,C,33.318
12/23/19 8:30:01 PM,C,33.318
12/23/19 8:40:01 PM,C,33.255
12/23/19 8:50:01 PM,C,33.255
12/23/19 9:00:01 PM,C,33.193
12/23/19 9:10:01 PM,C,33.193
12/23/19 9:20:01 PM,C,33.193
12/23/19 9:30:01 PM,C,33.131
12/23/19 9:40:01 PM,C,33.131
12/23/19 9:50:01 PM,C,33.131
12/23/19 10:00:01 PM,C,33.068
12/23/19 10:10:01 PM,C,33.068
12/23/19 10:20:01 PM,C,33.006
12/23/19 10:30:01 PM,C,33.006
12/23/19 10:40:01 PM,C,32.943
12/23/19 10:50:01 PM,C,32.943
12/23/19 11:00:01 PM,C,32.881
12/23/19 11:10:01 PM,C,32.881
12/23/19 11:20:01 PM,C,32.819
12/23/19 11:30:01 PM,C,32.819
12/23/19 11:40:01 PM,C,32.819
12/23/19 11:50:01 PM,C,32.756
12/24/19 12:00:01 AM,C,32.756
12/24/19 12:10:01 AM,C,32.694
12/24/19 12:20:01 AM,C,32.694
12/24/19 12:30:01 AM,C,32.694
12/24/19 12:40:01 AM,C,32.632
12/24/19 12:50:01 AM,C,32.569
12/24/19 1:00:01 AM,C,32.569
12/24/19 1:10:01 AM,C,32.569
12/24/19 1:20:01 AM,C,32.507
12/24/19 1:30:01 AM,C,32.507
12/24/19 1:40:01 AM,C,32.444
12/24/19 1:50:01 AM,C,32.444
12/24/19 2:00:01 AM,C,32.382
12/24/19 2:10:01 AM,C,32.382
12/24/19 2:20:01 AM,C,32.32
12/24/19 2:30:01 AM,C,32.32
12/24/19 2:40:01 AM,C,32.257
12/24/19 2:50:01 AM,C,32.257
12/24/19 3:00:01 AM,C,32.257
12/24/19 3:10:01 AM,C,32.195
12/24/19 3:20:01 AM,C,32.195
12/24/19 3:30:01 AM,C,32.133
12/24/19 3:40:01 AM,C,32.133
12/24/19 3:50:01 AM,C,32.07
12/24/19 4:00:01 AM,C,32.07
12/24/19 4:10:01 AM,C,32.008
12/24/19 4:20:01 AM,C,32.008
12/24/19 4:30:01 AM,C,32.008
12/24/19 4:40:01 AM,C,31.945
12/24/19 4:50:01 AM,C,31.945
12/24/19 5:00:01 AM,C,31.883
12/24/19 5:10:01 AM,C,31.883
12/24/19 5:20:01 AM,C,31.821
12/24/19 5:30:01 AM,C,31.821
12/24/19 5:40:01 AM,C,31.821
12/24/19 5:50:01 AM,C,31.758
12/24/19 6:00:01 AM,C,31.758
12/24/19 6:10:01 AM,C,31.696
