1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5700000069AB3041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:13:01 PST 2019
Mission Sample Count:  1410
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:13:01 PST 2019
Total Mission Samples:  1410
Total Device Samples:  6749
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:13:01 PM,C,19.047
12/21/19 3:23:01 PM,C,19.11
12/21/19 3:33:01 PM,C,19.11
12/21/19 3:43:01 PM,C,19.172
12/21/19 3:53:01 PM,C,19.172
12/21/19 4:03:01 PM,C,19.172
12/21/19 4:13:01 PM,C,19.172
12/21/19 4:23:01 PM,C,19.172
12/21/19 4:33:01 PM,C,19.235
12/21/19 4:43:01 PM,C,19.235
12/21/19 4:53:01 PM,C,19.235
12/21/19 5:03:01 PM,C,19.235
12/21/19 5:13:01 PM,C,19.235
12/21/19 5:23:01 PM,C,19.235
12/21/19 5:33:01 PM,C,19.235
12/21/19 5:43:01 PM,C,21.989
12/21/19 5:53:01 PM,C,21.488
12/21/19 6:03:01 PM,C,21.426
12/21/19 6:13:01 PM,C,21.426
12/21/19 6:23:01 PM,C,21.426
12/21/19 6:33:01 PM,C,21.426
12/21/19 6:43:01 PM,C,21.488
12/21/19 6:53:01 PM,C,21.488
12/21/19 7:03:01 PM,C,20.925
12/21/19 7:13:01 PM,C,19.986
12/21/19 7:23:01 PM,C,20.049
12/21/19 7:33:01 PM,C,20.487
12/21/19 7:43:01 PM,C,21.113
12/21/19 7:53:01 PM,C,21.738
12/21/19 8:03:01 PM,C,22.364
12/21/19 8:13:01 PM,C,23.052
12/21/19 8:23:01 PM,C,23.677
12/21/19 8:33:01 PM,C,24.24
12/21/19 8:43:01 PM,C,24.74
12/21/19 8:53:01 PM,C,25.178
12/21/19 9:03:01 PM,C,25.553
12/21/19 9:13:01 PM,C,25.865
