1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: EC0000005EF8C441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:22:01 PST 2019
Mission Sample Count:  1409
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:22:01 PST 2019
Total Mission Samples:  1409
Total Device Samples:  8334
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:22:01 PM,C,19.338
12/21/19 3:32:01 PM,C,19.338
12/21/19 3:42:01 PM,C,19.338
12/21/19 3:52:01 PM,C,19.338
12/21/19 4:02:01 PM,C,19.338
12/21/19 4:12:01 PM,C,19.4
12/21/19 4:22:01 PM,C,19.4
12/21/19 4:32:01 PM,C,19.4
12/21/19 4:42:01 PM,C,19.4
12/21/19 4:52:01 PM,C,19.4
12/21/19 5:02:01 PM,C,19.4
12/21/19 5:12:01 PM,C,19.4
12/21/19 5:22:01 PM,C,19.4
12/21/19 5:32:01 PM,C,19.4
12/21/19 5:42:01 PM,C,21.652
12/21/19 5:52:01 PM,C,21.464
12/21/19 6:02:01 PM,C,21.464
12/21/19 6:12:01 PM,C,21.527
12/21/19 6:22:01 PM,C,21.527
12/21/19 6:32:01 PM,C,21.589
12/21/19 6:42:01 PM,C,21.652
12/21/19 6:52:01 PM,C,21.652
12/21/19 7:02:01 PM,C,21.026
12/21/19 7:12:01 PM,C,19.838
12/21/19 7:22:01 PM,C,20.026
12/21/19 7:32:01 PM,C,21.214
12/21/19 7:42:01 PM,C,22.277
12/21/19 7:52:01 PM,C,23.277
12/21/19 8:02:01 PM,C,24.027
12/21/19 8:12:01 PM,C,24.715
12/21/19 8:22:01 PM,C,25.215
12/21/19 8:32:01 PM,C,25.715
12/21/19 8:42:01 PM,C,26.09
12/21/19 8:52:01 PM,C,26.465
12/21/19 9:02:01 PM,C,26.715
12/21/19 9:12:01 PM,C,27.027
12/21/19 9:22:01 PM,C,27.277
12/21/19 9:32:01 PM,C,27.402
12/21/19 9:42:01 PM,C,27.59
12/21/19 9:52:01 PM,C,27.714
12/21/19 10:02:01 PM,C,27.839
12/21/19 10:12:01 PM,C,27.902
12/21/19 10:22:01 PM,C,27.964
12/21/19 10:32:01 PM,C,28.027
12/21/19 10:42:01 PM,C,28.089
12/21/19 10:52:01 PM,C,28.152
12/21/19 11:02:01 PM,C,28.152
12/21/19 11:12:01 PM,C,28.214
12/21/19 11:22:01 PM,C,28.214
12/21/19 11:32:01 PM,C,28.277
12/21/19 11:42:01 PM,C,28.277
12/21/19 11:52:01 PM,C,28.277
12/22/19 12:02:01 AM,C,28.339
12/22/19 12:12:01 AM,C,28.402
12/22/19 12:22:01 AM,C,28.402
12/22/19 12:32:01 AM,C,28.464
12/22/19 12:42:01 AM,C,28.527
12/22/19 12:52:01 AM,C,28.527
12/22/19 1:02:01 AM,C,28.589
12/22/19 1:12:01 AM,C,28.589
12/22/19 1:22:01 AM,C,28.652
12/22/19 1:32:01 AM,C,28.714
12/22/19 1:42:01 AM,C,28.714
12/22/19 1:52:01 AM,C,28.777
12/22/19 2:02:01 AM,C,28.777
12/22/19 2:12:01 AM,C,28.839
12/22/19 2:22:01 AM,C,28.902
12/22/19 2:32:01 AM,C,28.902
12/22/19 2:42:01 AM,C,28.964
12/22/19 2:52:01 AM,C,29.027
12/22/19 3:02:01 AM,C,29.089
12/22/19 3:12:01 AM,C,29.089
12/22/19 3:22:01 AM,C,29.151
12/22/19 3:32:01 AM,C,29.214
12/22/19 3:42:01 AM,C,29.276
12/22/19 3:52:01 AM,C,29.276
12/22/19 4:02:01 AM,C,29.339
12/22/19 4:12:01 AM,C,29.401
12/22/19 4:22:01 AM,C,29.401
12/22/19 4:32:01 AM,C,29.464
12/22/19 4:42:01 AM,C,29.464
12/22/19 4:52:01 AM,C,29.526
12/22/19 5:02:01 AM,C,29.589
12/22/19 5:12:01 AM,C,29.589
12/22/19 5:22:01 AM,C,29.651
12/22/19 5:32:01 AM,C,29.714
12/22/19 5:42:01 AM,C,29.714
12/22/19 5:52:01 AM,C,29.776
12/22/19 6:02:01 AM,C,29.839
12/22/19 6:12:01 AM,C,29.839
12/22/19 6:22:01 AM,C,29.901
12/22/19 6:32:01 AM,C,29.901
12/22/19 6:42:01 AM,C,29.964
12/22/19 6:52:01 AM,C,30.026
12/22/19 7:02:01 AM,C,30.026
12/22/19 7:12:01 AM,C,30.089
12/22/19 7:22:01 AM,C,30.089
12/22/19 7:32:01 AM,C,30.151
12/22/19 7:42:01 AM,C,30.151
12/22/19 7:52:01 AM,C,30.213
12/22/19 8:02:01 AM,C,30.213
12/22/19 8:12:01 AM,C,30.276
12/22/19 8:22:01 AM,C,30.338
12/22/19 8:32:01 AM,C,30.401
12/22/19 8:42:01 AM,C,30.401
12/22/19 8:52:01 AM,C,30.401
12/22/19 9:02:01 AM,C,30.463
12/22/19 9:12:01 AM,C,30.463
12/22/19 9:22:01 AM,C,30.463
12/22/19 9:32:01 AM,C,30.463
12/22/19 9:42:01 AM,C,30.463
12/22/19 9:52:01 AM,C,30.463
12/22/19 10:02:01 AM,C,30.463
12/22/19 10:12:01 AM,C,30.463
12/22/19 10:22:01 AM,C,30.463
12/22/19 10:32:01 AM,C,30.463
12/22/19 10:42:01 AM,C,30.463
12/22/19 10:52:01 AM,C,30.463
12/22/19 11:02:01 AM,C,30.401
12/22/19 11:12:01 AM,C,30.401
12/22/19 11:22:01 AM,C,30.401
12/22/19 11:32:01 AM,C,30.401
12/22/19 11:42:01 AM,C,30.401
12/22/19 11:52:01 AM,C,30.338
12/22/19 12:02:01 PM,C,30.338
12/22/19 12:12:01 PM,C,30.338
12/22/19 12:22:01 PM,C,30.276
12/22/19 12:32:01 PM,C,30.276
12/22/19 12:42:01 PM,C,30.213
12/22/19 12:52:01 PM,C,30.213
12/22/19 1:02:01 PM,C,30.151
12/22/19 1:12:01 PM,C,30.151
12/22/19 1:22:01 PM,C,30.089
12/22/19 1:32:01 PM,C,30.089
12/22/19 1:42:01 PM,C,29.964
12/22/19 1:52:01 PM,C,29.839
12/22/19 2:02:01 PM,C,29.714
12/22/19 2:12:01 PM,C,29.589
12/22/19 2:22:01 PM,C,29.526
12/22/19 2:32:01 PM,C,29.464
12/22/19 2:42:01 PM,C,29.401
12/22/19 2:52:01 PM,C,29.339
12/22/19 3:02:01 PM,C,29.276
12/22/19 3:12:01 PM,C,29.214
12/22/19 3:22:01 PM,C,29.214
12/22/19 3:32:01 PM,C,29.151
12/22/19 3:42:01 PM,C,29.151
12/22/19 3:52:01 PM,C,29.089
12/22/19 4:02:01 PM,C,29.089
12/22/19 4:12:01 PM,C,29.027
12/22/19 4:22:01 PM,C,29.027
12/22/19 4:32:01 PM,C,29.027
12/22/19 4:42:01 PM,C,29.027
12/22/19 4:52:01 PM,C,29.027
12/22/19 5:02:01 PM,C,28.964
12/22/19 5:12:01 PM,C,28.964
12/22/19 5:22:01 PM,C,28.964
12/22/19 5:32:01 PM,C,28.964
12/22/19 5:42:01 PM,C,28.964
12/22/19 5:52:01 PM,C,28.964
12/22/19 6:02:01 PM,C,28.964
12/22/19 6:12:01 PM,C,28.964
12/22/19 6:22:01 PM,C,29.027
12/22/19 6:32:01 PM,C,29.027
12/22/19 6:42:01 PM,C,29.027
12/22/19 6:52:01 PM,C,29.027
12/22/19 7:02:01 PM,C,29.089
12/22/19 7:12:01 PM,C,29.089
12/22/19 7:22:01 PM,C,29.151
12/22/19 7:32:01 PM,C,29.214
12/22/19 7:42:01 PM,C,29.214
12/22/19 7:52:01 PM,C,29.276
12/22/19 8:02:01 PM,C,29.339
12/22/19 8:12:01 PM,C,29.401
12/22/19 8:22:01 PM,C,29.464
12/22/19 8:32:01 PM,C,29.526
12/22/19 8:42:01 PM,C,29.589
12/22/19 8:52:01 PM,C,29.651
12/22/19 9:02:01 PM,C,29.714
12/22/19 9:12:01 PM,C,29.839
12/22/19 9:22:01 PM,C,29.901
12/22/19 9:32:01 PM,C,29.964
12/22/19 9:42:01 PM,C,30.089
12/22/19 9:52:01 PM,C,30.151
12/22/19 10:02:01 PM,C,30.276
12/22/19 10:12:01 PM,C,30.338
12/22/19 10:22:01 PM,C,30.463
12/22/19 10:32:01 PM,C,30.526
12/22/19 10:42:01 PM,C,30.651
12/22/19 10:52:01 PM,C,30.713
12/22/19 11:02:01 PM,C,30.776
12/22/19 11:12:01 PM,C,30.901
12/22/19 11:22:01 PM,C,30.901
12/22/19 11:32:01 PM,C,30.963
12/22/19 11:42:01 PM,C,30.963
12/22/19 11:52:01 PM,C,31.025
12/23/19 12:02:01 AM,C,31.025
12/23/19 12:12:01 AM,C,30.963
12/23/19 12:22:01 AM,C,30.963
12/23/19 12:32:01 AM,C,30.963
12/23/19 12:42:01 AM,C,30.901
12/23/19 12:52:01 AM,C,30.901
12/23/19 1:02:01 AM,C,30.901
12/23/19 1:12:01 AM,C,30.838
12/23/19 1:22:01 AM,C,30.838
12/23/19 1:32:01 AM,C,30.838
12/23/19 1:42:01 AM,C,30.776
12/23/19 1:52:01 AM,C,30.776
12/23/19 2:02:01 AM,C,30.776
12/23/19 2:12:01 AM,C,30.776
12/23/19 2:22:01 AM,C,30.776
12/23/19 2:32:01 AM,C,30.776
12/23/19 2:42:01 AM,C,30.776
12/23/19 2:52:01 AM,C,30.838
12/23/19 3:02:01 AM,C,30.838
12/23/19 3:12:01 AM,C,30.838
12/23/19 3:22:01 AM,C,30.838
12/23/19 3:32:01 AM,C,30.901
12/23/19 3:42:01 AM,C,30.901
12/23/19 3:52:01 AM,C,30.963
12/23/19 4:02:01 AM,C,31.025
12/23/19 4:12:01 AM,C,31.025
12/23/19 4:22:01 AM,C,31.088
12/23/19 4:32:01 AM,C,31.15
12/23/19 4:42:01 AM,C,31.213
12/23/19 4:52:01 AM,C,31.213
12/23/19 5:02:01 AM,C,31.275
12/23/19 5:12:01 AM,C,31.338
12/23/19 5:22:01 AM,C,31.4
12/23/19 5:32:01 AM,C,31.463
12/23/19 5:42:01 AM,C,31.525
12/23/19 5:52:01 AM,C,31.588
12/23/19 6:02:01 AM,C,31.65
12/23/19 6:12:01 AM,C,31.712
12/23/19 6:22:01 AM,C,31.775
12/23/19 6:32:01 AM,C,31.837
12/23/19 6:42:01 AM,C,31.9
