1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: AD0000005EF79441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Dec 09 16:26:01 PST 2019
Mission Sample Count:  1708
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Dec 09 16:26:01 PST 2019
Total Mission Samples:  1708
Total Device Samples:  3856
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/19 4:26:01 PM,C,22.561
12/9/19 4:36:01 PM,C,22.749
12/9/19 4:46:01 PM,C,22.811
12/9/19 4:56:01 PM,C,22.874
12/9/19 5:06:01 PM,C,22.874
12/9/19 5:16:01 PM,C,22.874
12/9/19 5:26:01 PM,C,23.124
12/9/19 5:36:01 PM,C,23.499
12/9/19 5:46:01 PM,C,23.874
12/9/19 5:56:01 PM,C,24.25
12/9/19 6:06:01 PM,C,24.562
12/9/19 6:16:01 PM,C,24.875
12/9/19 6:26:01 PM,C,25.125
12/9/19 6:36:01 PM,C,25.375
12/9/19 6:46:01 PM,C,25.563
12/9/19 6:56:01 PM,C,25.75
12/9/19 7:06:01 PM,C,25.875
12/9/19 7:16:01 PM,C,26.063
12/9/19 7:26:01 PM,C,26.125
12/9/19 7:36:01 PM,C,26.25
12/9/19 7:46:01 PM,C,26.312
12/9/19 7:56:01 PM,C,26.437
12/9/19 8:06:01 PM,C,26.5
12/9/19 8:16:01 PM,C,26.562
12/9/19 8:26:01 PM,C,26.625
12/9/19 8:36:01 PM,C,26.625
12/9/19 8:46:01 PM,C,26.687
12/9/19 8:56:01 PM,C,26.75
12/9/19 9:06:01 PM,C,26.75
12/9/19 9:16:01 PM,C,26.812
12/9/19 9:26:01 PM,C,26.812
12/9/19 9:36:01 PM,C,26.875
12/9/19 9:46:01 PM,C,26.875
12/9/19 9:56:01 PM,C,26.875
12/9/19 10:06:01 PM,C,26.937
12/9/19 10:16:01 PM,C,26.937
12/9/19 10:26:01 PM,C,26.937
12/9/19 10:36:01 PM,C,27
12/9/19 10:46:01 PM,C,27
12/9/19 10:56:01 PM,C,27
12/9/19 11:06:01 PM,C,27
12/9/19 11:16:01 PM,C,27
12/9/19 11:26:01 PM,C,27.062
12/9/19 11:36:01 PM,C,27.062
12/9/19 11:46:01 PM,C,27.062
12/9/19 11:56:01 PM,C,27.062
12/10/19 12:06:01 AM,C,27.125
12/10/19 12:16:01 AM,C,27.125
12/10/19 12:26:01 AM,C,27.125
12/10/19 12:36:01 AM,C,27.187
12/10/19 12:46:01 AM,C,27.187
12/10/19 12:56:01 AM,C,27.25
12/10/19 1:06:01 AM,C,27.25
12/10/19 1:16:01 AM,C,27.312
12/10/19 1:26:01 AM,C,27.312
12/10/19 1:36:01 AM,C,27.375
12/10/19 1:46:01 AM,C,27.375
12/10/19 1:56:01 AM,C,27.437
12/10/19 2:06:01 AM,C,27.5
12/10/19 2:16:01 AM,C,27.5
12/10/19 2:26:01 AM,C,27.562
12/10/19 2:36:01 AM,C,27.624
12/10/19 2:46:01 AM,C,27.687
12/10/19 2:56:01 AM,C,27.749
12/10/19 3:06:01 AM,C,27.812
12/10/19 3:16:01 AM,C,27.874
12/10/19 3:26:01 AM,C,27.937
12/10/19 3:36:01 AM,C,27.999
12/10/19 3:46:01 AM,C,28.062
12/10/19 3:56:01 AM,C,28.124
12/10/19 4:06:01 AM,C,28.124
12/10/19 4:16:01 AM,C,28.187
12/10/19 4:26:01 AM,C,28.249
12/10/19 4:36:01 AM,C,28.311
12/10/19 4:46:01 AM,C,28.374
12/10/19 4:56:01 AM,C,28.436
12/10/19 5:06:01 AM,C,28.499
12/10/19 5:16:01 AM,C,28.561
12/10/19 5:26:01 AM,C,28.624
12/10/19 5:36:01 AM,C,28.624
12/10/19 5:46:01 AM,C,28.686
12/10/19 5:56:01 AM,C,28.749
12/10/19 6:06:01 AM,C,28.749
12/10/19 6:16:01 AM,C,28.811
12/10/19 6:26:01 AM,C,28.811
12/10/19 6:36:01 AM,C,28.873
12/10/19 6:46:01 AM,C,28.873
12/10/19 6:56:01 AM,C,28.936
12/10/19 7:06:01 AM,C,28.936
12/10/19 7:16:01 AM,C,28.998
12/10/19 7:26:01 AM,C,28.998
12/10/19 7:36:01 AM,C,29.061
12/10/19 7:46:01 AM,C,29.061
12/10/19 7:56:01 AM,C,29.061
12/10/19 8:06:01 AM,C,29.123
12/10/19 8:16:01 AM,C,29.186
12/10/19 8:26:01 AM,C,29.186
12/10/19 8:36:01 AM,C,29.248
12/10/19 8:46:01 AM,C,29.248
12/10/19 8:56:01 AM,C,29.31
12/10/19 9:06:01 AM,C,29.31
12/10/19 9:16:01 AM,C,29.31
12/10/19 9:26:01 AM,C,29.373
12/10/19 9:36:01 AM,C,29.373
12/10/19 9:46:01 AM,C,29.435
12/10/19 9:56:01 AM,C,29.435
12/10/19 10:06:01 AM,C,29.498
12/10/19 10:16:01 AM,C,29.498
12/10/19 10:26:01 AM,C,29.56
12/10/19 10:36:01 AM,C,29.623
12/10/19 10:46:01 AM,C,29.623
12/10/19 10:56:01 AM,C,29.685
12/10/19 11:06:01 AM,C,29.685
12/10/19 11:16:01 AM,C,29.747
12/10/19 11:26:01 AM,C,29.81
12/10/19 11:36:01 AM,C,29.81
12/10/19 11:46:01 AM,C,29.872
12/10/19 11:56:01 AM,C,29.872
12/10/19 12:06:01 PM,C,29.935
12/10/19 12:16:01 PM,C,29.935
12/10/19 12:26:01 PM,C,29.997
12/10/19 12:36:01 PM,C,29.997
12/10/19 12:46:01 PM,C,30.059
12/10/19 12:56:01 PM,C,30.122
12/10/19 1:06:01 PM,C,30.122
12/10/19 1:16:01 PM,C,30.184
12/10/19 1:26:01 PM,C,30.184
12/10/19 1:36:01 PM,C,30.247
12/10/19 1:46:01 PM,C,30.247
12/10/19 1:56:01 PM,C,30.309
12/10/19 2:06:01 PM,C,30.309
12/10/19 2:16:01 PM,C,30.372
12/10/19 2:26:01 PM,C,30.434
12/10/19 2:36:01 PM,C,30.496
12/10/19 2:46:01 PM,C,30.496
12/10/19 2:56:01 PM,C,30.559
12/10/19 3:06:01 PM,C,30.559
12/10/19 3:16:01 PM,C,30.621
12/10/19 3:26:01 PM,C,30.684
12/10/19 3:36:01 PM,C,30.684
12/10/19 3:46:01 PM,C,30.746
12/10/19 3:56:01 PM,C,30.746
12/10/19 4:06:01 PM,C,30.808
12/10/19 4:16:01 PM,C,30.871
12/10/19 4:26:01 PM,C,30.871
12/10/19 4:36:01 PM,C,30.933
12/10/19 4:46:01 PM,C,30.995
12/10/19 4:56:01 PM,C,30.995
12/10/19 5:06:01 PM,C,30.995
12/10/19 5:16:01 PM,C,31.058
12/10/19 5:26:01 PM,C,31.058
12/10/19 5:36:01 PM,C,31.12
12/10/19 5:46:01 PM,C,31.183
12/10/19 5:56:01 PM,C,31.183
12/10/19 6:06:01 PM,C,31.245
12/10/19 6:16:01 PM,C,31.245
12/10/19 6:26:01 PM,C,31.307
12/10/19 6:36:01 PM,C,31.307
12/10/19 6:46:01 PM,C,31.37
12/10/19 6:56:01 PM,C,31.432
12/10/19 7:06:01 PM,C,31.432
12/10/19 7:16:01 PM,C,31.432
12/10/19 7:26:01 PM,C,31.495
12/10/19 7:36:01 PM,C,31.495
12/10/19 7:46:01 PM,C,31.495
12/10/19 7:56:01 PM,C,31.557
12/10/19 8:06:01 PM,C,31.557
