1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3F0000005EF3DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Dec 09 16:22:01 PST 2019
Mission Sample Count:  1709
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Dec 09 16:22:01 PST 2019
Total Mission Samples:  1709
Total Device Samples:  5303
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/19 4:22:01 PM,C,22.429
12/9/19 4:32:01 PM,C,22.366
12/9/19 4:42:01 PM,C,22.366
12/9/19 4:52:01 PM,C,22.366
12/9/19 5:02:01 PM,C,22.429
12/9/19 5:12:01 PM,C,22.429
12/9/19 5:22:01 PM,C,22.491
12/9/19 5:32:01 PM,C,22.991
12/9/19 5:42:01 PM,C,23.804
12/9/19 5:52:01 PM,C,24.555
12/9/19 6:02:01 PM,C,25.117
12/9/19 6:12:01 PM,C,25.617
12/9/19 6:22:01 PM,C,26.117
12/9/19 6:32:01 PM,C,26.492
12/9/19 6:42:01 PM,C,26.805
12/9/19 6:52:01 PM,C,27.117
12/9/19 7:02:01 PM,C,27.304
12/9/19 7:12:01 PM,C,27.554
12/9/19 7:22:01 PM,C,27.742
12/9/19 7:32:01 PM,C,27.867
12/9/19 7:42:01 PM,C,27.804
12/9/19 7:52:01 PM,C,28.054
12/9/19 8:02:01 PM,C,28.117
12/9/19 8:12:01 PM,C,28.054
12/9/19 8:22:01 PM,C,28.242
12/9/19 8:32:01 PM,C,28.304
12/9/19 8:42:01 PM,C,28.366
12/9/19 8:52:01 PM,C,28.429
12/9/19 9:02:01 PM,C,28.429
12/9/19 9:12:01 PM,C,28.554
12/9/19 9:22:01 PM,C,28.491
12/9/19 9:32:01 PM,C,28.491
12/9/19 9:42:01 PM,C,28.554
