1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 74000000586F9741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Dec 09 16:24:01 PST 2019
Mission Sample Count:  1709
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Dec 09 16:24:01 PST 2019
Total Mission Samples:  1709
Total Device Samples:  8278
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/19 4:24:01 PM,C,22.446
12/9/19 4:34:01 PM,C,22.446
12/9/19 4:44:01 PM,C,22.384
12/9/19 4:54:01 PM,C,22.446
12/9/19 5:04:01 PM,C,22.446
12/9/19 5:14:01 PM,C,22.446
12/9/19 5:24:01 PM,C,22.509
12/9/19 5:34:01 PM,C,23.072
12/9/19 5:44:01 PM,C,23.885
12/9/19 5:54:01 PM,C,24.822
12/9/19 6:04:01 PM,C,25.572
12/9/19 6:14:01 PM,C,26.26
12/9/19 6:24:01 PM,C,26.822
12/9/19 6:34:01 PM,C,27.384
12/9/19 6:44:01 PM,C,27.821
12/9/19 6:54:01 PM,C,28.196
12/9/19 7:04:01 PM,C,28.508
12/9/19 7:14:01 PM,C,28.758
12/9/19 7:24:01 PM,C,29.008
12/9/19 7:34:01 PM,C,29.195
12/9/19 7:44:01 PM,C,29.257
12/9/19 7:54:01 PM,C,29.382
12/9/19 8:04:01 PM,C,29.569
12/9/19 8:14:01 PM,C,29.569
12/9/19 8:24:01 PM,C,29.694
12/9/19 8:34:01 PM,C,29.819
12/9/19 8:44:01 PM,C,29.882
12/9/19 8:54:01 PM,C,29.944
12/9/19 9:04:01 PM,C,30.006
12/9/19 9:14:01 PM,C,30.069
12/9/19 9:24:01 PM,C,30.069
12/9/19 9:34:01 PM,C,30.069
12/9/19 9:44:01 PM,C,30.131
12/9/19 9:54:01 PM,C,30.194
12/9/19 10:04:01 PM,C,30.194
12/9/19 10:14:01 PM,C,30.256
12/9/19 10:24:01 PM,C,30.256
12/9/19 10:34:01 PM,C,30.256
12/9/19 10:44:01 PM,C,30.256
12/9/19 10:54:01 PM,C,30.318
12/9/19 11:04:01 PM,C,30.318
12/9/19 11:14:01 PM,C,30.381
12/9/19 11:24:01 PM,C,30.443
12/9/19 11:34:01 PM,C,30.443
12/9/19 11:44:01 PM,C,30.443
12/9/19 11:54:01 PM,C,30.443
12/10/19 12:04:01 AM,C,30.506
12/10/19 12:14:01 AM,C,30.568
12/10/19 12:24:01 AM,C,30.631
12/10/19 12:34:01 AM,C,30.631
12/10/19 12:44:01 AM,C,30.693
12/10/19 12:54:01 AM,C,30.755
12/10/19 1:04:01 AM,C,30.755
12/10/19 1:14:01 AM,C,30.818
12/10/19 1:24:01 AM,C,30.88
