1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D60000005EEEF541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Dec 09 16:24:01 PST 2019
Mission Sample Count:  1709
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Dec 09 16:24:01 PST 2019
Total Mission Samples:  1709
Total Device Samples:  6455
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/19 4:24:01 PM,C,22.712
12/9/19 4:34:01 PM,C,22.9
12/9/19 4:44:01 PM,C,22.9
12/9/19 4:54:01 PM,C,22.9
12/9/19 5:04:01 PM,C,22.9
12/9/19 5:14:01 PM,C,23.025
12/9/19 5:24:01 PM,C,23.212
12/9/19 5:34:01 PM,C,23.9
12/9/19 5:44:01 PM,C,24.4
12/9/19 5:54:01 PM,C,24.775
12/9/19 6:04:01 PM,C,25.088
12/9/19 6:14:01 PM,C,25.4
12/9/19 6:24:01 PM,C,25.65
12/9/19 6:34:01 PM,C,25.838
12/9/19 6:44:01 PM,C,26.025
12/9/19 6:54:01 PM,C,26.213
12/9/19 7:04:01 PM,C,26.338
12/9/19 7:14:01 PM,C,26.463
12/9/19 7:24:01 PM,C,26.588
12/9/19 7:34:01 PM,C,26.713
12/9/19 7:44:01 PM,C,26.775
12/9/19 7:54:01 PM,C,26.838
12/9/19 8:04:01 PM,C,26.963
12/9/19 8:14:01 PM,C,27.025
12/9/19 8:24:01 PM,C,27.025
12/9/19 8:34:01 PM,C,27.088
12/9/19 8:44:01 PM,C,27.15
12/9/19 8:54:01 PM,C,27.213
12/9/19 9:04:01 PM,C,27.213
12/9/19 9:14:01 PM,C,27.275
12/9/19 9:24:01 PM,C,27.275
12/9/19 9:34:01 PM,C,27.338
12/9/19 9:44:01 PM,C,27.338
12/9/19 9:54:01 PM,C,27.4
12/9/19 10:04:01 PM,C,27.4
12/9/19 10:14:01 PM,C,27.4
12/9/19 10:24:01 PM,C,27.463
12/9/19 10:34:01 PM,C,27.463
12/9/19 10:44:01 PM,C,27.463
12/9/19 10:54:01 PM,C,27.463
12/9/19 11:04:01 PM,C,27.525
12/9/19 11:14:01 PM,C,27.525
12/9/19 11:24:01 PM,C,27.525
12/9/19 11:34:01 PM,C,27.525
12/9/19 11:44:01 PM,C,27.588
12/9/19 11:54:01 PM,C,27.588
12/10/19 12:04:01 AM,C,27.588
12/10/19 12:14:01 AM,C,27.588
12/10/19 12:24:01 AM,C,27.65
12/10/19 12:34:01 AM,C,27.65
12/10/19 12:44:01 AM,C,27.713
12/10/19 12:54:01 AM,C,27.713
12/10/19 1:04:01 AM,C,27.713
12/10/19 1:14:01 AM,C,27.775
12/10/19 1:24:01 AM,C,27.775
12/10/19 1:34:01 AM,C,27.838
