1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5D0000005EEF9241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Dec 09 16:22:01 PST 2019
Mission Sample Count:  1709
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Dec 09 16:22:01 PST 2019
Total Mission Samples:  1709
Total Device Samples:  5706
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/19 4:22:01 PM,C,22.097
12/9/19 4:32:01 PM,C,22.034
12/9/19 4:42:01 PM,C,22.034
12/9/19 4:52:01 PM,C,22.097
12/9/19 5:02:01 PM,C,22.097
12/9/19 5:12:01 PM,C,22.159
12/9/19 5:22:01 PM,C,22.159
12/9/19 5:32:01 PM,C,22.284
12/9/19 5:42:01 PM,C,22.91
12/9/19 5:52:01 PM,C,23.785
12/9/19 6:02:01 PM,C,24.66
12/9/19 6:12:01 PM,C,25.41
12/9/19 6:22:01 PM,C,26.035
12/9/19 6:32:01 PM,C,26.598
12/9/19 6:42:01 PM,C,27.035
12/9/19 6:52:01 PM,C,27.472
12/9/19 7:02:01 PM,C,27.785
12/9/19 7:12:01 PM,C,28.097
12/9/19 7:22:01 PM,C,28.347
12/9/19 7:32:01 PM,C,28.534
12/9/19 7:42:01 PM,C,28.659
12/9/19 7:52:01 PM,C,28.722
12/9/19 8:02:01 PM,C,28.847
12/9/19 8:12:01 PM,C,28.909
12/9/19 8:22:01 PM,C,28.909
12/9/19 8:32:01 PM,C,29.034
12/9/19 8:42:01 PM,C,29.097
12/9/19 8:52:01 PM,C,29.097
12/9/19 9:02:01 PM,C,29.159
12/9/19 9:12:01 PM,C,29.222
12/9/19 9:22:01 PM,C,29.222
12/9/19 9:32:01 PM,C,29.222
12/9/19 9:42:01 PM,C,29.222
12/9/19 9:52:01 PM,C,29.222
12/9/19 10:02:01 PM,C,29.284
12/9/19 10:12:01 PM,C,29.284
12/9/19 10:22:01 PM,C,29.284
12/9/19 10:32:01 PM,C,29.346
12/9/19 10:42:01 PM,C,29.284
12/9/19 10:52:01 PM,C,29.284
12/9/19 11:02:01 PM,C,29.284
12/9/19 11:12:01 PM,C,29.346
12/9/19 11:22:01 PM,C,29.409
12/9/19 11:32:01 PM,C,29.409
12/9/19 11:42:01 PM,C,29.409
12/9/19 11:52:01 PM,C,29.409
12/10/19 12:02:01 AM,C,29.471
12/10/19 12:12:01 AM,C,29.471
12/10/19 12:22:01 AM,C,29.534
12/10/19 12:32:01 AM,C,29.534
12/10/19 12:42:01 AM,C,29.596
12/10/19 12:52:01 AM,C,29.659
12/10/19 1:02:01 AM,C,29.659
12/10/19 1:12:01 AM,C,29.721
12/10/19 1:22:01 AM,C,29.721
12/10/19 1:32:01 AM,C,29.784
12/10/19 1:42:01 AM,C,29.784
12/10/19 1:52:01 AM,C,29.846
12/10/19 2:02:01 AM,C,29.909
12/10/19 2:12:01 AM,C,29.971
12/10/19 2:22:01 AM,C,29.971
12/10/19 2:32:01 AM,C,30.034
12/10/19 2:42:01 AM,C,30.158
12/10/19 2:52:01 AM,C,30.221
12/10/19 3:02:01 AM,C,30.283
12/10/19 3:12:01 AM,C,30.346
12/10/19 3:22:01 AM,C,30.408
12/10/19 3:32:01 AM,C,30.471
12/10/19 3:42:01 AM,C,30.533
12/10/19 3:52:01 AM,C,30.658
12/10/19 4:02:01 AM,C,30.721
12/10/19 4:12:01 AM,C,30.845
12/10/19 4:22:01 AM,C,30.908
12/10/19 4:32:01 AM,C,30.97
12/10/19 4:42:01 AM,C,30.97
12/10/19 4:52:01 AM,C,30.97
12/10/19 5:02:01 AM,C,31.033
12/10/19 5:12:01 AM,C,31.095
12/10/19 5:22:01 AM,C,31.158
12/10/19 5:32:01 AM,C,31.158
12/10/19 5:42:01 AM,C,31.22
